station,month,valid_days,expected_days,station_mm,gridmet_mm,wepp_cli_mm,wepp_hillslope_area_weighted_mm
CENMET,2000-11,28,30,116.5,134.20000000000002,134.4,136.96721315749767
CENMET,2000-12,31,31,244.70000000000002,204.5,204.70000000000002,210.38699216170022
CENMET,2001-01,26,31,72.0,67.4,67.39999999999999,69.33835845598878
CENMET,2001-02,28,28,72.3,78.70000000000002,79.0,81.90182270096005
CENMET,2001-03,27,31,148.50000000000003,141.3,141.79999999999998,147.38836179151195
CENMET,2001-04,30,30,181.10000000000002,171.8,172.0,178.9838836271723
CENMET,2001-05,31,31,111.39999999999998,94.6,94.4,101.16241805968158
CENMET,2001-06,30,30,92.7,81.69999999999999,81.7,87.6250327029842
CENMET,2001-07,31,31,17.1,18.599999999999998,18.5,20.821851402459323
CENMET,2001-08,31,31,15.100000000000001,21.199999999999996,21.4,22.566168799153868
CENMET,2001-09,30,30,31.8,26.7,27.0,28.632486178476906
CENMET,2001-10,31,31,218.99999999999997,182.7,183.1,185.9323833552202
CENMET,2001-11,30,30,384.5,357.09999999999997,357.29999999999995,364.09013327104844
CENMET,2001-12,31,31,504.30000000000007,463.7,463.3,476.1843130606776
CENMET,2002-01,31,31,433.8,376.7,376.6,387.36644386471244
CENMET,2002-02,28,28,142.3,162.8,162.7,168.68743552668823
CENMET,2002-03,31,31,290.70000000000005,255.4,255.90000000000006,266.0014112544633
CENMET,2002-04,30,30,192.6,197.60000000000002,197.79999999999998,205.80144245784987
CENMET,2002-05,31,31,63.1,55.10000000000001,55.199999999999996,59.14740939238262
CENMET,2002-06,30,30,45.1,49.0,48.79999999999999,52.33683220026226
CENMET,2002-07,31,31,12.6,1.7,1.8,2.025440911917339
CENMET,2002-08,31,31,36.400000000000006,17.1,17.5,18.450531673902667
CENMET,2002-09,30,30,48.8,43.0,43.3,45.92520651753717
CENMET,2002-10,31,31,20.7,18.1,18.1,18.392935520304547
CENMET,2002-11,30,30,202.2,175.9,176.1,179.4453515476517
CENMET,2002-12,31,31,384.1,386.6,386.8,397.5557598591158
