station,epoch,n,station_mm,forcing_mm,bias_pct
CENMET,before,590,2652.06,2624.3854342111567,-1.0435120543593746
CENMET,after,590,2826.5999999999995,2746.422412650354,-2.8365381500617515
PRIMET,before,858,4740.148,4509.883775647977,-4.857743352148991
PRIMET,after,858,5354.049999999999,4621.4091878348845,-13.68386197673004
UPLMET,before,522,2840.92,2130.1571182790885,-25.018757364547806
UPLMET,after,522,3210.36,2431.9449609485832,-24.246970403674883
VARMET,before,244,324.39,1184.5038974747363,265.1480925659658
VARMET,after,244,1310.63,1267.9683672730025,-3.255047780609144
