station,epoch,start,end,valid_days,station_mm,gridmet_mm,bias_pct
CENMET,before,2020-08-01,2022-12-31,720,3262.1600000000008,3081.8,-5.528852048949185
CENMET,after,2023-08-01,2025-12-31,718,3722.06,3416.0,-8.222865832361649
PRIMET,before,2020-08-01,2022-12-31,869,4834.636,4436.200000000001,-8.241282280610152
PRIMET,after,2023-08-01,2025-12-31,873,5645.299,4677.0,-17.152306724586243
UPLMET,before,2020-08-01,2022-12-31,627,3476.42,2575.3,-25.920918646193492
UPLMET,after,2023-08-01,2025-12-31,728,4784.57,3584.1000000000004,-25.09044699941686
VARMET,before,2020-08-01,2022-12-31,298,522.14,1447.7,177.26280307963384
VARMET,after,2023-08-01,2025-12-31,707,3545.0600000000004,3361.7999999999997,-5.169447061544819
