group,date,burned_Qp_out,undist_Qp_out,Qp_ratio,V_ratio,burned_upstream_peak_spread_hr,undist_upstream_peak_spread_hr,delta_upstream_peak_spread_hr,burned_upstream_simult_at_outlet_peak,undist_upstream_simult_at_outlet_peak,delta_upstream_simult_at_outlet_peak,burned_lag_top_to_out_hr,undist_lag_top_to_out_hr,burned_lag_mid_to_out_hr,undist_lag_mid_to_out_hr,burned_outlet_width50_hr,undist_outlet_width50_hr,delta_outlet_width50_hr,burned_outlet_rise10_hr,undist_outlet_rise10_hr,delta_outlet_rise10_hr,burned_tpk_top_hr,burned_tpk_mid_hr,burned_tpk_out_hr,undist_tpk_top_hr,undist_tpk_mid_hr,undist_tpk_out_hr,soilSat_b,soilSat_u,soilTSW_b,soilTSW_u,soilSuct_b,soilSuct_u,tc_hr,storm_peak_hr,storm_dur_hr,plot
flagged,1980-02-14,118.64478,206.84121,1.7433654476834126,0.9987768389295566,0.08333333333333304,0.0,-0.08333333333333304,0.8385382059800663,0.8110720278817607,-0.02746617809830565,0.16666666666666652,0.08333333333333304,0.08333333333333348,0.08333333333333304,0.9166666666666667,0.3333333333333335,-0.5833333333333333,1.1666666666666667,0.5833333333333333,-0.5833333333333335,2.0833333333333335,2.1666666666666665,2.25,2.0833333333333335,2.0833333333333335,2.1666666666666665,0.9250428533168642,0.9249892768797687,39.08561118871514,39.08419842819893,0.34,0.34,0.64,1.08,5.4,tmp_upset_reckoning_desync/flagged_1980-02-14_chan_wave_overlay.png
flagged,1980-02-15,168.85641,224.33325,1.3285444716016406,0.9820479485103205,0.0,0.0,0.0,0.9420144301874724,0.8867399080224834,-0.05527452216498907,0.08333333333333348,0.08333333333333348,0.08333333333333348,0.08333333333333348,0.916666666666667,0.6666666666666665,-0.25000000000000044,1.25,1.0,-0.25,2.9166666666666665,2.9166666666666665,3.0,2.9166666666666665,2.9166666666666665,3.0,0.9245182074665128,0.9245182074665128,39.180900525600535,39.17943418864722,0.34,0.34,0.6,0.76,7.6,tmp_upset_reckoning_desync/flagged_1980-02-15_chan_wave_overlay.png
flagged,1983-03-01,117.8075,180.22236,1.5298037900812766,1.0007320167446998,0.0,0.0,0.0,0.9504011924330649,0.9105048444671084,-0.039896347965956425,0.08333333333333304,0.08333333333333304,0.08333333333333304,0.08333333333333304,1.75,0.8333333333333335,-0.9166666666666665,2.4166666666666665,1.583333333333333,-0.8333333333333335,3.5833333333333335,3.5833333333333335,3.6666666666666665,3.5833333333333335,3.5833333333333335,3.6666666666666665,0.8915012380856658,0.8902379689880785,37.79426993331708,37.738440357644976,0.34,0.34,0.61,2.79,9.3,tmp_upset_reckoning_desync/flagged_1983-03-01_chan_wave_overlay.png
flagged,1986-02-14,137.50784,140.76742,1.0237046847656104,0.891651086111599,0.08333333333333337,0.0,-0.08333333333333337,0.8014771130156806,0.9482139275359676,0.14673681452028697,0.16666666666666663,0.08333333333333337,0.08333333333333326,0.08333333333333337,0.5833333333333334,0.4999999999999999,-0.08333333333333348,0.75,0.5833333333333333,-0.16666666666666674,0.9166666666666666,1.0,1.0833333333333333,0.9166666666666666,0.9166666666666666,1.0,0.9333844705281977,0.9333844705281977,39.52005907099836,39.52005907099836,0.34,0.34,0.56,0.69,2.3,tmp_upset_reckoning_desync/flagged_1986-02-14_chan_wave_overlay.png
flagged,1992-02-10,165.0951,172.85146,1.0469811641896094,0.8761077014829128,0.0,0.0,0.0,0.871449946562166,0.818009763690392,-0.05344018287177399,0.08333333333333348,0.08333333333333348,0.08333333333333348,0.08333333333333348,0.583333333333333,0.5,-0.08333333333333304,0.8333333333333335,0.75,-0.08333333333333348,3.9166666666666665,3.9166666666666665,4.0,3.9166666666666665,3.9166666666666665,4.0,0.9155874637528779,0.905883354822394,38.737658728811006,38.33293063518221,0.3413298978200218,0.42103008533128544,0.74,4.08,10.2,tmp_upset_reckoning_desync/flagged_1992-02-10_chan_wave_overlay.png
flagged,1992-02-11,109.22912,142.89277,1.308192998350623,0.8936149222865517,0.08333333333333326,0.08333333333333326,0.0,0.8406784279000068,0.7282014854693186,-0.11247694243068818,0.16666666666666674,0.16666666666666674,0.08333333333333348,0.08333333333333348,0.6666666666666667,0.4166666666666665,-0.2500000000000002,1.0,0.6666666666666667,-0.33333333333333326,1.5,1.5833333333333333,1.6666666666666667,1.5,1.5833333333333333,1.6666666666666667,0.9070850761863207,0.8979280616333312,38.441684161201046,38.05572339688648,0.3394815652566018,0.3673691729201753,0.68,0.39,3.9,tmp_upset_reckoning_desync/flagged_1992-02-11_chan_wave_overlay.png
flagged,1993-01-14,155.72045,164.38767,1.0556588424962812,0.9417251424655121,0.08333333333333348,0.08333333333333348,0.0,0.8387966075357198,0.8019543846022943,-0.03684222293342554,0.16666666666666652,0.16666666666666652,0.08333333333333304,0.08333333333333304,0.6666666666666665,0.5,-0.16666666666666652,0.9166666666666665,0.7499999999999998,-0.16666666666666674,2.25,2.3333333333333335,2.4166666666666665,2.25,2.3333333333333335,2.4166666666666665,0.9516837162972882,0.9516837162972882,40.27384605628548,40.27384605628548,0.34,0.34,0.69,3.54,5.9,tmp_upset_reckoning_desync/flagged_1993-01-14_chan_wave_overlay.png
flagged,1995-01-09,120.98258,189.69391,1.5679439965654558,0.8387848990801144,0.0,0.0,0.0,0.9305642090688819,0.6799160799374155,-0.2506481291314664,0.08333333333333304,0.08333333333333304,0.08333333333333304,0.08333333333333304,1.0,0.33333333333333304,-0.666666666666667,1.333333333333333,0.6666666666666665,-0.6666666666666665,3.8333333333333335,3.8333333333333335,3.9166666666666665,3.8333333333333335,3.8333333333333335,3.9166666666666665,0.9700000000000006,0.8340937248018426,41.00715557212493,35.30139087908469,0.34,0.7663600666804192,0.76,1.0,10.0,tmp_upset_reckoning_desync/flagged_1995-01-09_chan_wave_overlay.png
flagged,1995-01-10,104.56573,176.25788,1.6856180318350955,0.9416159849332426,0.0,0.0,0.0,0.9726860898916327,0.9341490960693923,-0.038536993822240406,0.08333333333333326,0.08333333333333326,0.08333333333333326,0.08333333333333326,2.416666666666667,0.7499999999999998,-1.6666666666666672,1.8333333333333333,1.75,-0.08333333333333326,1.9166666666666667,1.9166666666666667,2.0,1.9166666666666667,1.9166666666666667,2.0,0.9503328569312373,0.8205856587595786,40.35779294812523,34.76765448530653,0.34,0.2812947745490995,0.71,0.49,4.9,tmp_upset_reckoning_desync/flagged_1995-01-10_chan_wave_overlay.png
flagged,1996-02-20,131.59739,220.32338,1.6742230222043157,0.9978521248524386,0.08333333333333348,0.0,-0.08333333333333348,0.8978110599078342,0.944633730834753,0.04682267092691883,0.16666666666666696,0.08333333333333348,0.08333333333333348,0.08333333333333348,1.0,0.6666666666666665,-0.3333333333333335,1.3333333333333335,0.8333333333333333,-0.5000000000000002,2.6666666666666665,2.75,2.8333333333333335,2.6666666666666665,2.6666666666666665,2.75,0.9600000000000001,0.8174179343708071,40.65044693432494,34.65894454512916,0.34,2.228026409486401,0.93,0.7,7.0,tmp_upset_reckoning_desync/flagged_1996-02-20_chan_wave_overlay.png
