sim_day_index,burned_date,burned_year,burned_julian,burned_precip,burned_runoff_volume,burned_peak_runoff,undisturbed_date,undisturbed_year,undisturbed_julian,undisturbed_precip,undisturbed_runoff_volume,undisturbed_peak_runoff,date,year,julian,V_ratio,Qp_ratio,flag_peak_higher_volume_not_higher
45,1980-02-14,1980,45,82.8,601368.06,118.64478,1980-02-14,1980,45,82.8,600632.49,206.84121,1980-02-14,1980,45,0.9987768389295566,1.7433654476834126,True
46,1980-02-15,1980,46,116.3,1028897.45,168.85641,1980-02-15,1980,46,116.3,1010426.63,224.33325,1980-02-15,1980,46,0.9820479485103205,1.3285444716016406,True
1044,1982-11-09,1982,313,97.5,298534.76,124.79269,1982-11-09,1982,313,97.5,212566.21,87.66405,1982-11-09,1982,313,0.7120316910499802,0.7024774447926397,False
1065,1982-11-30,1982,334,78.0,411323.21,226.18201,1982-11-30,1982,334,78.0,396440.2,200.99355,1982-11-30,1982,334,0.963816751308539,0.8886363243478118,False
1156,1983-03-01,1983,60,136.4,1228988.28,117.8075,1983-03-01,1983,60,136.4,1229887.92,180.22236,1983-03-01,1983,60,1.0007320167446998,1.5298037900812766,True
2237,1986-02-14,1986,45,65.0,503763.61,137.50784,1986-02-14,1986,45,65.0,449181.37,140.76742,1986-02-14,1986,45,0.891651086111599,1.0237046847656104,True
2861,1987-10-31,1987,304,75.2,325485.83,176.14504,1987-10-31,1987,304,75.2,269901.78,139.02354,1987-10-31,1987,304,0.8292274351851201,0.7892560585299478,False
4424,1992-02-10,1992,41,90.4,706652.48,165.0951,1992-02-10,1992,41,90.4,619103.68,172.85146,1992-02-10,1992,41,0.8761077014829128,1.0469811641896094,True
4425,1992-02-11,1992,42,68.3,625528.8,109.22912,1992-02-11,1992,42,68.3,558981.87,142.89277,1992-02-11,1992,42,0.8936149222865517,1.308192998350623,True
4445,1992-03-02,1992,62,73.9,257602.64,132.97524,1992-03-02,1992,62,73.9,143883.66,61.14159,1992-03-02,1992,62,0.5585488564868745,0.45979680126916855,False
4756,1993-01-07,1993,7,58.2,482722.71,203.72782,1993-01-07,1993,7,58.2,444664.58,186.04424,1993-01-07,1993,7,0.9211594374749843,0.9131999743579448,False
