group,Qp_ratio_median,Qp_ratio_mean,V_ratio_median,V_ratio_mean,burned_outlet_width50_hr_median,burned_outlet_width50_hr_mean,undist_outlet_width50_hr_median,undist_outlet_width50_hr_mean,delta_outlet_width50_hr_median,delta_outlet_width50_hr_mean,delta_upstream_peak_spread_hr_median,delta_upstream_peak_spread_hr_mean,delta_upstream_simult_at_outlet_peak_median,delta_upstream_simult_at_outlet_peak_mean,soilSat_b_median,soilSat_b_mean,soilSat_u_median,soilSat_u_mean,soilTSW_b_median,soilTSW_b_mean,soilTSW_u_median,soilTSW_u_mean,soilSuct_b_median,soilSuct_b_mean,soilSuct_u_median,soilSuct_u_mean,tc_hr_median,tc_hr_mean,storm_peak_hr_median,storm_peak_hr_mean,storm_dur_hr_median,storm_dur_hr_mean
control,0.8700653032218486,0.7998531288897885,0.9333751572703403,0.8930687120176944,0.3333333333333335,0.42187500000000006,0.3333333333333334,0.9687500000000001,0.0,0.546875,0.0,0.22395833333333334,-0.010994477851579143,-0.07329063481073965,0.9185891959636832,0.8625618513530529,0.632938484286877,0.6866282772369761,38.87125493545513,36.51799098874485,26.807332536506543,29.06680948524057,0.34,1.3439317106155853,4.96175776457298,4.076506593497024,0.785,0.74125,0.7250000000000001,1.25625,4.25,5.075
flagged,1.3449409910247838,1.3884350914451444,0.9425754712207943,0.9403975393392915,0.9166666666666667,0.9583333333333333,0.4583333333333333,0.48863636363636354,-0.3333333333333335,-0.4696969696969698,0.0,-0.01893939393939391,-0.05435735251838153,-0.06892566452927235,0.9510082866142627,0.9447644631429093,0.9240656151878359,0.9068784846900819,40.31581950220536,39.98216087730303,39.027683458096476,38.37982866584396,0.34,0.3432004268506806,0.34,0.6131261691825508,0.7,0.7286363636363636,0.78,1.4722727272727274,5.65,6.713636363636363
