"VACCI"|"Vaccinium"|"huckleberry"|||"2991310"|"13908569"
"THOC2"|"Thuja occidentalis"|"northern whitecedar"|||"2991310"|"13756775"
"POTRT"|"Populus tremula ssp. tremuloides"|"quaking aspen"|||"2991310"|"14212156"
"ACRU"|"Acer rubrum"|"red maple"|||"3023693"|"13794771"
"PIRU"|"Picea rubens"|"red spruce"|||"3023693"|"14098359"
"BEPA"|"Betula papyrifera"|"paper birch"|||"3023693"|"13946565"
"PIST"|"Pinus strobus"|"eastern white pine"|||"3023693"|"14250153"
"VIBUR"|"Viburnum"|"viburnum"|||"3023693"|"13794772"
"ACPE"|"Acer pensylvanicum"|"striped maple"|||"3023693"|"14250152"
"ACRU"|"Acer rubrum"|"red maple"|||"3010740"|"14174215"
"ACPE"|"Acer pensylvanicum"|"striped maple"|||"3010740"|"14022421"
"PIST"|"Pinus strobus"|"eastern white pine"|||"3010740"|"14022422"
"VIBUR"|"Viburnum"|"viburnum"|||"3010740"|"14174216"
"BEPA"|"Betula papyrifera"|"paper birch"|||"3010740"|"14326009"
"PIRU"|"Picea rubens"|"red spruce"|||"3010740"|"13870628"
"VIAC"|"Viburnum acerifolium"|"mapleleaf viburnum"|||"3056076"|"14287886"
"LYCE"|"Lycopodium cernuum"|"wolfclaw clubmoss"|||"3056076"|"14136091"
"COAL2"|"Cornus alternifolia"|"alternateleaf dogwood"|||"3056076"|"13984297"
"RIBES"|"Ribes"|"gooseberry"|||"3056076"|"13832504"
"UNKNOWN"|"unknown scientific name"|"false Solomons seal"|||"3056076"|"13984298"
"MACA4"|"Maianthemum canadense"|"wild lily of the valley"|||"3056076"|"14287885"
"ACPE"|"Acer pensylvanicum"|"striped maple"|||"3056076"|"14287884"
"TRILL"|"Trillium"|"trillium"|||"3056076"|"14136092"
"CAREX"|"Carex"|"sedge"|||"3056076"|"13832503"
"OSCL2"|"Osmunda claytoniana"|"interrupted fern"|||"3043122"|"13756774"
"VIAC"|"Viburnum acerifolium"|"mapleleaf viburnum"|||"3043122"|"13908568"
"ATFI"|"Athyrium filix-femina"|"ladyfern"|||"3043122"|"13756772"
"KAAN"|"Kalmia angustifolia"|"sheep laurel"|||"3043122"|"14212154"
"UNKNOWN"|"unknown scientific name"|"hobblebush"|||"3043122"|"14060362"
"LYCOP2"|"Lycopodium"|"clubmoss"|||"3043122"|"13908567"
"COCO6"|"Corylus cornuta"|"western hazel"|||"3043122"|"13908566"
"LYSIC"|"Lysichiton"|"skunkcabbage"|||"3043122"|"14060361"
"OSCI"|"Osmunda cinnamomea"|"cinnamon fern"|||"3043122"|"14212155"
"KALA"|"Kalmia latifolia"|"mountain laurel"|||"3043122"|"13756773"
"HAVI4"|"Hamamelis virginiana"|"witchhazel"|||"3043122"|"14060360"
