"Lithic bedrock"||102|127|152|||||||"2964532"|"689001"
"Paralithic bedrock"||51|77|102|||||||"2964533"|"696793"
"Paralithic bedrock"||10|18|25|||||||"2964534"|"696794"
"Lithic bedrock"||10|31|51|||||||"2964553"|"704601"
"Lithic bedrock"||0|0|0|||||||"2964556"|"696812"
"Lithic bedrock"||25|36|46|||||||"2964563"|"689024"
"Lithic bedrock"||30|41|51|||||||"2964581"|"712408"
"Paralithic bedrock"||20|36|51|||||||"2964885"|"704790"
"Undefined"||51|77|102||||1|5|8|"2966518"|"689671"
"Lithic bedrock"|"Indurated"|0|0|0|||||||"2966519"|"713047"
"Lithic bedrock"||51|77|102|||||||"2966520"|"713048"
"Lithic bedrock"||51|77|102|||||||"2966521"|"713049"
"Lithic bedrock"||30|41|51|||||||"2966522"|"689674"
"Lithic bedrock"|"Indurated"|0|0|0|||||||"2966523"|"689675"
"Undefined"||23|37|51||||10|26|43|"2966524"|"689676"
"Lithic bedrock"||51|77|102|||||||"2966560"|"713070"
"Paralithic bedrock"||102|127|152|||||||"2967518"|"697593"
"Undefined"||51|77|102||||10|26|43|"2967518"|"705385"
"Lithic bedrock"||102|102|102|||||||"2967520"|"705386"
"Paralithic bedrock"||51|77|102|||||||"2967521"|"705387"
"Paralithic bedrock"||20|36|51|||||||"2967522"|"705388"
"Lithic bedrock"||51|77|102|||||||"2967524"|"713181"
"Lithic bedrock"||10|23|36|||||||"2967525"|"697598"
"Paralithic bedrock"||51|77|102|||||||"2967527"|"713183"
"Paralithic bedrock"||25|38|51|||||||"2967528"|"713184"
"Lithic bedrock"||36|44|51|||||||"2967529"|"705393"
"Lithic bedrock"||25|38|51|||||||"2967530"|"705394"
"Undefined"||107|120|132||||10|26|43|"2967534"|"705395"
"Lithic bedrock"||51|77|102|||||||"2967535"|"697604"
"Paralithic bedrock"||51|77|102|||||||"2967536"|"689813"
"Lithic bedrock"||25|38|51|||||||"2967537"|"705397"
"Undefined"||76|89|102||||10|26|43|"2967539"|"705398"
"Undefined"||36|44|51||||10|26|43|"2967541"|"697607"
"Undefined"||30|41|51||||10|26|43|"2967544"|"705399"
"Lithic bedrock"||18|27|36|||||||"2967545"|"697608"
"Lithic bedrock"||51|77|102|||||||"2967546"|"697609"
"Lithic bedrock"||51|77|102|||||||"2967549"|"713194"
"Paralithic bedrock"||10|23|36|||||||"2967552"|"713195"
"Lithic bedrock"||0|0|0|||||||"2967553"|"705404"
"Lithic bedrock"||10|18|25|||||||"2967554"|"705405"
"Paralithic bedrock"||102|127|152|||||||"2967555"|"705406"
"Lithic bedrock"||51|77|102|||||||"2967556"|"697615"
"Paralithic bedrock"||25|38|51|||||||"2967557"|"697616"
"Lithic bedrock"||10|18|25|||||||"2967558"|"689825"
"Lithic bedrock"||30|41|51|||||||"2967562"|"689826"
"Lithic bedrock"||102|102|102|||||||"2967563"|"689827"
"Lithic bedrock"||25|38|51|||||||"2967564"|"713203"
"Lithic bedrock"||15|33|51|||||||"2967565"|"713204"
"Paralithic bedrock"||51|64|76|||||||"2967567"|"697621"
"Undefined"||23|33|43||||1|5|8|"2967567"|"705413"
"Undefined"||20|28|36||||10|26|43|"2967568"|"705414"
"Undefined"||38|45|51||||10|26|43|"2967570"|"705415"
"Lithic bedrock"||15|33|51|||||||"2967571"|"705416"
"Undefined"||36|44|51||||10|26|43|"2967572"|"689833"
"Paralithic bedrock"||15|26|36|||||||"2967581"|"713210"
"Undefined"||51|77|102||||10|26|43|"2967583"|"697627"
"Lithic bedrock"||0|0|0|||||||"2967586"|"689837"
"Lithic bedrock"||51|77|102|||||||"2967588"|"705422"
"Lithic bedrock"||18|27|36|||||||"2967589"|"705423"
"Lithic bedrock"||51|77|102|||||||"2967590"|"697632"
"Lithic bedrock"||51|77|102|||||||"2967592"|"713217"
"Lithic bedrock"||51|77|102|||||||"2967593"|"713218"
