WatershedName,RunID,Scenario
UTR,lt_202203_44_CUR_300m_Upper_Truckee_River_Big_Meadow_Creek_CurCond,CUR_300_CurCond
UTR,lt_202203_44_CUR_300m_Upper_Truckee_River_Big_Meadow_Creek_PrescFire,CUR_300_PrescFire
UTR,lt_202203_44_CUR_300m_Upper_Truckee_River_Big_Meadow_Creek_LowSev,CUR_300_LowSev
UTR,lt_202203_44_CUR_300m_Upper_Truckee_River_Big_Meadow_Creek_ModSev,CUR_300_ModSev
UTR,lt_202203_44_CUR_300m_Upper_Truckee_River_Big_Meadow_Creek_HighSev,CUR_300_HighSev
UTR,lt_202203_44_CUR_300m_Upper_Truckee_River_Big_Meadow_Creek_Thinn96,CUR_300_Thinn96
UTR,lt_202203_44_CUR_300m_Upper_Truckee_River_Big_Meadow_Creek_Thinn93,CUR_300_Thinn93
UTR,lt_202203_44_CUR_300m_Upper_Truckee_River_Big_Meadow_Creek_Thinn85,CUR_300_Thinn85
BLKWD,lt_202203_62_CUR_300m_Blackwood_Creek_CurCond,CUR_300_CurCond
BLKWD,lt_202203_62_CUR_300m_Blackwood_Creek_PrescFire,CUR_300_PrescFire
BLKWD,lt_202203_62_CUR_300m_Blackwood_Creek_LowSev,CUR_300_LowSev
BLKWD,lt_202203_62_CUR_300m_Blackwood_Creek_ModSev,CUR_300_ModSev
BLKWD,lt_202203_62_CUR_300m_Blackwood_Creek_HighSev,CUR_300_HighSev
BLKWD,lt_202203_62_CUR_300m_Blackwood_Creek_Thinn96,CUR_300_Thinn96
BLKWD,lt_202203_62_CUR_300m_Blackwood_Creek_Thinn93,CUR_300_Thinn93
BLKWD,lt_202203_62_CUR_300m_Blackwood_Creek_Thinn85,CUR_300_Thinn85
UTR,lt_202203_44_OLD_300m_Upper_Truckee_River_Big_Meadow_Creek_CurCond,OLD_300_CurCond
UTR,lt_202203_44_OLD_300m_Upper_Truckee_River_Big_Meadow_Creek_PrescFire,OLD_300_PrescFire
UTR,lt_202203_44_OLD_300m_Upper_Truckee_River_Big_Meadow_Creek_LowSev,OLD_300_LowSev
UTR,lt_202203_44_OLD_300m_Upper_Truckee_River_Big_Meadow_Creek_ModSev,OLD_300_ModSev
UTR,lt_202203_44_OLD_300m_Upper_Truckee_River_Big_Meadow_Creek_HighSev,OLD_300_HighSev
UTR,lt_202203_44_OLD_300m_Upper_Truckee_River_Big_Meadow_Creek_Thinn96,OLD_300_Thinn96
UTR,lt_202203_44_OLD_300m_Upper_Truckee_River_Big_Meadow_Creek_Thinn93,OLD_300_Thinn93
UTR,lt_202203_44_OLD_300m_Upper_Truckee_River_Big_Meadow_Creek_Thinn85,OLD_300_Thinn85
BLKWD,lt_202203_62_OLD_300m_Blackwood_Creek_CurCond,OLD_300_CurCond
BLKWD,lt_202203_62_OLD_300m_Blackwood_Creek_PrescFire,OLD_300_PrescFire
BLKWD,lt_202203_62_OLD_300m_Blackwood_Creek_LowSev,OLD_300_LowSev
BLKWD,lt_202203_62_OLD_300m_Blackwood_Creek_ModSev,OLD_300_ModSev
BLKWD,lt_202203_62_OLD_300m_Blackwood_Creek_HighSev,OLD_300_HighSev
BLKWD,lt_202203_62_OLD_300m_Blackwood_Creek_Thinn96,OLD_300_Thinn96
BLKWD,lt_202203_62_OLD_300m_Blackwood_Creek_Thinn93,OLD_300_Thinn93
BLKWD,lt_202203_62_OLD_300m_Blackwood_Creek_Thinn85,OLD_300_Thinn85
