WatershedName,RunID,Scenario
Trout,lt_Caldor_43_Trout_Creek_Caldor_CurCond,CurCond
UTR,lt_Caldor_44_Upper_Truckee_River_Big_Meadow_Creek_Caldor_CurCond,CurCond
Silver Fork,Caldor_SilverForkAmerican_CurCond.gridmet,CurCond
South Fork,Caldor_SF_Ameri_at_Kyburz_CurCond.gridmet,CurCond
Sly Park,Caldor_SlyParkCreek_CurCond.gridmet,CurCond
Camp Creek,Caldor_CampCreek_CurCond.gridmet,CurCond
North Fork Cosumnes,Caldor_NF_Cosumnes_CurCond.gridmet,CurCond
Steely Fork Cosumnes,Caldor_SteelyForkCosumnes_CurCond.gridmet,CurCond
Dog Town Creek,Caldor_DogTownCreek_CurCond.gridmet,CurCond
Trout,lt_Caldor_43_Trout_Creek_Caldor_SBS,SBS
UTR,lt_Caldor_44_Upper_Truckee_River_Big_Meadow_Creek_Caldor_SBS,SBS
Silver Fork,Caldor_SilverForkAmerican_SBS.gridmet,SBS
South Fork,Caldor_SF_Ameri_at_Kyburz_SBS.gridmet,SBS
Sly Park,Caldor_SlyParkCreek_SBS.gridmet/,SBS
Camp Creek,Caldor_CampCreek_SBS.gridmet,SBS
North Fork Cosumnes,Caldor_NF_Cosumnes_SBS.gridmet,SBS
Steely Fork Cosumnes,Caldor_SteelyForkCosumnes_SBS.gridmet,SBS
Dog Town Creek,Caldor_DogTownCreek_SBS.gridmet,SBS
Trout,lt_Caldor_43_Trout_Creek_Caldor_Trtmt,Trtmt
UTR,lt_Caldor_44_Upper_Truckee_River_Big_Meadow_Creek_Caldor_Trtmt,Trtmt
