cell,calendar_year,P_mm,Q_mm,Ep_mm,Es_mm,Er_mm,Dp_mm,latqcc_mm,mean_soil_water_mm,mean_soil_water_total_mm,mean_porosity_capacity_mm,mean_field_capacity_mm,mean_wilting_point_mm,ET_mm,Es_fraction
burned_pmet,1980,1091.2086700860334,387.9113296316037,87.23054211836137,136.24811222588394,0.0,2.51853402330655,501.5720484041727,155.49513620679448,155.49513620679448,275.9064558430772,160.0758131144192,76.7359738385468,223.4786543442453,0.6096694676530855
burned_pmet,1981,533.9343723465844,51.544625952618986,93.51491784513887,118.89610468115067,0.0,2.569423464067926,248.46938146745757,149.94467705729767,149.94467705729767,275.9053634912547,160.0758131144192,76.73597383854681,212.41102252628954,0.5597454560835478
burned_pmet,1982,826.5774332970304,127.09885032046552,116.00601458267242,196.71865258806457,0.0,2.569423464067926,363.1908657208331,158.12143326195667,158.12143326195667,275.9052089273209,160.0758131144192,76.73597383854681,312.724667170737,0.629047444091332
burned_pmet,1983,1531.4009662976641,402.9536315869616,149.85994219802393,271.9605148531317,0.0,2.569423464067926,688.8920869331034,169.56587865562653,169.56587865562653,275.9052089273209,160.0758131144192,76.73597383854681,421.82045705115564,0.6447305015843509
burned_pmet,1984,344.3438589810073,5.67214883617405,73.78206063053625,114.72344215265866,0.0,2.576462980407838,159.73461818643366,146.7611064310511,146.7611064310511,275.90515098357116,160.0758131144192,76.7359738385468,188.5055027831949,0.6085946588233293
burned_pmet,1985,380.03711987344064,35.703116894285365,90.09035378775748,120.62831117865325,0.0,2.569423464067926,160.9368280724027,148.31057666622348,148.31057666622348,275.9051059787162,160.0758131144192,76.73597383854681,210.71866496641073,0.5724614437827888
burned_pmet,1986,703.0585535478142,143.59058074465898,110.37859781931478,139.48995201471976,0.0,2.569423464067926,321.96739387489276,153.1538435172788,153.1538435172788,275.9051059787162,160.0758131144192,76.73597383854681,249.86854983403452,0.5582533380346207
burned_pmet,1987,457.66106862025913,37.34816335694055,87.08612648387631,137.42130615149685,0.0,2.568642813277499,156.8306150551129,146.7644094949773,146.7644094949773,275.9051059787162,160.0758131144192,76.73597383854681,224.50743263537316,0.612101365813957
burned_pmet,1988,492.1575448062245,14.034860352628494,107.63909022552933,133.10040053531523,0.0,2.576462980407838,207.60054204900857,150.01571740308106,150.01571740308106,275.9051059787162,160.0758131144192,76.7359738385468,240.73949076084455,0.5528814575234765
burned_pmet,1989,211.1292471009512,4.312532656073476,81.11190023866753,86.85498399770576,0.0,2.569423464067926,107.9492802911709,144.06613917117807,144.06613917117807,275.9051059787162,160.0758131144192,76.73597383854681,167.9668842363733,0.5170958810873583
burned_pmet,1990,341.3872452466966,53.914033025601874,81.24267158823483,91.67324061280671,0.0,2.569423464067926,110.67366123705496,142.21763863269783,142.21763863269783,275.9051059787162,160.0758131144192,76.73597383854681,172.91591220104152,0.5301608131137311
burned_pmet,1991,734.9963277910555,198.56974722278903,84.36408611999491,109.02140180787727,0.0,2.569423464067926,259.5592939987561,147.59225691665108,147.59225691665108,275.9051059787162,160.0758131144192,76.73597383854681,193.3854879278722,0.5637517218900078
burned_pmet,1992,1082.4512245039093,283.2974520042459,109.45381620768379,167.05738075001165,0.0,2.576462980407838,519.744638975224,160.55020396222594,160.55020396222594,275.9051059787162,160.0758131144192,76.7359738385468,276.51119695769546,0.6041613597859852
