||25|25|25|||||||"2997755"|"691293"
||25|25|25|||||||"3049568"|"699085"
"Lithic bedrock"||122|187|251|||||||"3056045"|"693234"
||25|25|25|||||||"3049573"|"714669"
"Paralithic bedrock"||51|77|102|||||||"2978334"|"701026"
"Paralithic bedrock"||51|77|102|||||||"2997764"|"691294"
||152|202|251|||||||"3023671"|"699086"
"Lithic bedrock"||122|187|251|||||||"3036624"|"710778"
