|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965205"|"15790026"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965205"|"15686790"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965205"|"15893258"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"2965205"|"15996492"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965205"|"15996494"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965205"|"15686792"
|2||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965205"|"15893259"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965205"|"15893260"
|8||"PISY"|"Pinus sylvestris"|"Scotch pine"|"2965205"|"15790027"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965205"|"15686791"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965205"|"15790025"
|7||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965205"|"15996493"
|7||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965206"|"15790037"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965206"|"15686802"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965206"|"15996505"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965206"|"15790038"
|8||"PIST"|"Pinus strobus"|"eastern white pine"|"2965206"|"15686804"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965206"|"15996506"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965206"|"15893271"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965206"|"15893272"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965206"|"15790039"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965206"|"15893270"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965206"|"15686803"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"2965206"|"15996504"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"2965207"|"15686812"
|9||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965207"|"15686813"
|3||"SYVU"|"Syringa vulgaris"|"lilac"|"2965207"|"15996514"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965207"|"15893279"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965207"|"15893281"
|9||"PINI"|"Pinus nigra"|"Austrian pine"|"2965207"|"15996513"
|11||"PIST"|"Pinus strobus"|"eastern white pine"|"2965207"|"15686811"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965207"|"15790048"
|17||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"2965207"|"15790046"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965207"|"15996515"
|9||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965207"|"15790047"
|9||"QUPA2"|"Quercus palustris"|"pin oak"|"2965207"|"15893280"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965208"|"15893291"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965208"|"15790058"
|7||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965208"|"15686823"
|8||"PISY"|"Pinus sylvestris"|"Scotch pine"|"2965208"|"15893293"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965208"|"15996526"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965208"|"15790059"
|2||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965208"|"15996525"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965208"|"15686824"
|3||"SYVU"|"Syringa vulgaris"|"lilac"|"2965208"|"15790060"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965208"|"15996527"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"2965208"|"15686825"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965208"|"15893292"
|9||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965210"|"15790076"
|3||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"2965210"|"15686843"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965210"|"15790078"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965210"|"15996544"
|6||"UNKNOWN"|"unknown scientific name"|"Russian mulberry"|"2965210"|"15686842"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965210"|"15790077"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965210"|"15893310"
|8||"PISY"|"Pinus sylvestris"|"Scotch pine"|"2965210"|"15893311"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965210"|"15996543"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965210"|"15686841"
|8||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965210"|"15893309"
|2||"PRAM"|"Prunus americana"|"American plum"|"2965210"|"15996545"
|9||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965211"|"15893318"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965211"|"15686850"
|2||"PRAM"|"Prunus americana"|"American plum"|"2965211"|"15996554"
|17||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"2965211"|"15893320"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965211"|"15893319"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"2965211"|"15790086"
|9||"PINI"|"Pinus nigra"|"Austrian pine"|"2965211"|"15686851"
|3||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965211"|"15996552"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965211"|"15996553"
|3||"SYVU"|"Syringa vulgaris"|"lilac"|"2965211"|"15790087"
|8||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965211"|"15686852"
|9||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965211"|"15790085"
|9||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965212"|"15893331"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"2965212"|"15893330"
|3||"SYVU"|"Syringa vulgaris"|"lilac"|"2965212"|"15790099"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965212"|"15686863"
|9||"PINI"|"Pinus nigra"|"Austrian pine"|"2965212"|"15790098"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965212"|"15686862"
|11||"PIST"|"Pinus strobus"|"eastern white pine"|"2965212"|"15893332"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965212"|"15996565"
|17||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"2965212"|"15996566"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965212"|"15790097"
|9||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965212"|"15996564"
|9||"QUPA2"|"Quercus palustris"|"pin oak"|"2965212"|"15686864"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965213"|"15996570"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965213"|"15893337"
|7||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965213"|"15686868"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965213"|"15686869"
|8||"PIST"|"Pinus strobus"|"eastern white pine"|"2965213"|"15996572"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965213"|"15790103"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965213"|"15893338"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965213"|"15790104"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965213"|"15790105"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965213"|"15686870"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"2965213"|"15893336"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965213"|"15996571"
|9||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965214"|"15790117"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"2965214"|"15790116"
|3||"SYVU"|"Syringa vulgaris"|"lilac"|"2965214"|"15686881"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965214"|"15996582"
|9||"PINI"|"Pinus nigra"|"Austrian pine"|"2965214"|"15686880"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965214"|"15996584"
|11||"PIST"|"Pinus strobus"|"eastern white pine"|"2965214"|"15790115"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965214"|"15893348"
|17||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"2965214"|"15893349"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965214"|"15686882"
|9||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965214"|"15893350"
|9||"QUPA2"|"Quercus palustris"|"pin oak"|"2965214"|"15996583"
|6||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965217"|"15893372"
|7||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965217"|"15790139"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965217"|"15996606"
|7||"PIBA2"|"Pinus banksiana"|"jack pine"|"2965217"|"15893374"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965217"|"15996607"
|3||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965217"|"15686904"
|5||"UNKNOWN"|"unknown scientific name"|"Manchurian crabapple"|"2965217"|"15790140"
|7||"PINI"|"Pinus nigra"|"Austrian pine"|"2965217"|"15996608"
|3||"CAAR18"|"Caragana arborescens"|"Siberian peashrub"|"2965217"|"15790141"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965217"|"15686905"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965217"|"15686906"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965217"|"15893373"
|10||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965218"|"15893385"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965218"|"15686917"
|9||"UNKNOWN"|"unknown scientific name"|"unknown"|"2965218"|"15790153"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965218"|"15996619"
|10||"ACSA2"|"Acer saccharinum"|"silver maple"|"2965218"|"15893384"
|9||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"2965218"|"15790152"
|3||"PRVI"|"Prunus virginiana"|"common chokecherry"|"2965218"|"15996620"
