||||"2398363"|"380628"
||||"2398571"|"380496"
||||"2398799"|"380644"
||||"2398801"|"380784"
||||"2399028"|"380934"
||||"2399246"|"380801"
|||"Talf"|"2399464"|"380811"
||||"2399679"|"380821"
||||"2399689"|"380961"
||||"2399690"|"380541"
||||"2399691"|"380682"
||||"2399692"|"380822"
||||"2400353"|"380848"
||||"2400354"|"380988"
||||"2400355"|"380568"
||||"2400356"|"380709"
||||"2400791"|"380584"
||||"2400792"|"380725"
||||"2400793"|"380865"
||||"2400794"|"381005"
||||"2400795"|"380585"
||||"2400796"|"380726"
||||"2401014"|"381014"
||||"2401015"|"380594"
||||"2401016"|"380735"
||||"2401017"|"380875"
||||"2401235"|"380883"
||||"2401246"|"381023"
||||"2401469"|"381031"
