|"Interfluve"|||"2398408"|"380771"
|"Side Slope"|||"2398408"|"380911"
|"Side Slope"|||"2398514"|"380495"
|"Side Slope"|||"2398855"|"380506"
|"Side Slope"|||"2399295"|"380523"
|"Side Slope"|||"2399296"|"380664"
|||"Talf"|"2399464"|"380811"
||||"2399679"|"380821"
||"Tread"||"2399966"|"380693"
|"Interfluve"|||"2400405"|"380570"
||"Tread"||"2400407"|"380711"
|"Side Slope"|||"2400848"|"380868"
|"Interfluve"|||"2400849"|"381008"
|"Side Slope"|||"2401068"|"380737"
||"Tread"||"2401069"|"380877"
||"Riser"||"2401118"|"380601"
|"Side Slope"|||"2401290"|"380746"
|"Side Slope"|||"2401291"|"380886"
