site,resolution,requested_lon,requested_lat,projected_from_lon,projected_from_lat,stored_requested_x,stored_requested_y,record_offset_m
moscow_mountain,30m,-116.91645230831963,46.77415587686962,506378.476325416,5180070.75781088,506405.00225648296,5180063.0168808075,27.632354538893026
moscow_mountain,10m,-116.91649792061206,46.77408624790884,506375.0022564671,5180063.016805246,506383.0963980568,5180061.780112741,8.188072815086366
topanga,30m,-118.58391420736442,34.11782199134691,353924.25924923643,3776352.6487326617,353939.90881591244,3776350.667680568,15.774457345483562
topanga,10m,-118.58374424147402,34.11780631920858,353939.9088131749,3776350.667630416,353941.5645379969,3776346.5143099623,4.471185019265675
az_ponderosa,30m,-106.67083115927025,35.73238809243358,348897.9686070323,3955553.915448459,348903.55051379104,3955535.8593238005,18.89924127418643
az_ponderosa,10m,-106.67076606035236,35.73222621805862,348903.5505095215,3955535.859270585,348907.0919053316,3955533.2352388427,4.407610108351585
