site,comparison,outlet,duration_min,F,S,reference_probability,rain_mm,probability30,probability_change_pp,threshold10_mm_h,threshold30_mm_h,threshold_change_mm_h,threshold_change_pct
moscow_mountain,controlled,terminal,15,0.25,0.25,0.25,9.19903070596114,0.2495180855016885,-0.04819144983115031,36.79612282384456,36.83239776714363,0.03627494329906966,0.09858360206245198
moscow_mountain,controlled,terminal,15,0.25,0.25,0.5,13.069068132249605,0.49908653863126595,-0.09134613687340476,52.27627252899842,52.32780836148149,0.05153583248306859,0.09858360206245198
moscow_mountain,controlled,terminal,15,0.25,0.25,0.75,16.93910555853807,0.7491109801400176,-0.0889019859982354,67.75642223415228,67.82321895581934,0.06679672166706041,0.09858360206242978
moscow_mountain,controlled,terminal,15,0.25,0.75,0.25,5.032774117761134,0.24973626854312259,-0.026373145687741406,20.131096471044536,20.141949316512438,0.010852845467901773,0.05391085122219419
moscow_mountain,controlled,terminal,15,0.25,0.75,0.5,7.150065038550215,0.499500246442821,-0.04997535571790168,28.60026015420086,28.615678797901754,0.015418643700893853,0.05391085122219419
moscow_mountain,controlled,terminal,15,0.25,0.75,0.75,9.267355959339296,0.7495138790778008,-0.04861209221992402,37.069423837357185,37.089408279291064,0.019984441933878827,0.05391085122219419
moscow_mountain,controlled,terminal,15,0.75,0.25,0.25,5.8176097406814264,0.24969515769220688,-0.030484230779312393,23.270438962725706,23.284941848408025,0.014502885682318833,0.06232321489745285
moscow_mountain,controlled,terminal,15,0.75,0.25,0.5,8.265081452389891,0.4994223124724758,-0.05776875275241844,33.060325809559565,33.080930067459654,0.02060425790008935,0.06232321489745285
moscow_mountain,controlled,terminal,15,0.75,0.25,0.75,10.712553164098356,0.7494380142848079,-0.05619857151920593,42.850212656393424,42.876918286511284,0.02670563011785987,0.06232321489745285
moscow_mountain,controlled,terminal,15,0.75,0.75,0.25,3.8185083080123716,0.24979988247959764,-0.020011752040235975,15.274033232049486,15.280280062746147,0.006246830696660766,0.04089837046807876
moscow_mountain,controlled,terminal,15,0.75,0.75,0.5,5.424956915149322,0.49962082276393754,-0.03791772360624557,21.69982766059729,21.708702536504852,0.008874875907562085,0.040898370468056555
moscow_mountain,controlled,terminal,15,0.75,0.75,0.75,7.031405522286272,0.7496312238666049,-0.03687761333951434,28.12562208914509,28.13712501026356,0.01150292111847051,0.04089837046807876
moscow_mountain,controlled,terminal,30,0.25,0.25,0.25,13.978048097073081,0.24951944338621324,-0.04805566137867645,27.956096194146163,27.982760862140662,0.02666466799449907,0.09538051310640228
moscow_mountain,controlled,terminal,30,0.25,0.25,0.5,19.68382409745428,0.4990971317809173,-0.09028682190826975,39.36764819490856,39.40519725975479,0.03754906484623177,0.09538051310642448
moscow_mountain,controlled,terminal,30,0.25,0.25,0.75,25.389600097835476,0.7491255443903944,-0.087445560960564,50.77920019567095,50.82763365736892,0.04843346169796803,0.09538051310642448
