site,resolution,rows,columns,epsg,requested_lon,requested_lat,requested_x,requested_y,snapped_x,snapped_y,outlet_row,outlet_column,dem_pointer_grid_match,upstream_completeness,pair_requested_offset_m,pair_snapped_offset_m
moscow_mountain,10m,616,619,32611,-116.91649792061206,46.77408624790884,506383.0963980568,5180061.780112741,506363.0963980568,5180051.780112741,536,131,True,not assessed,21.940743575346573,16.37114600304968
moscow_mountain,30m,213,214,32611,-116.91645230831963,46.77415587686962,506405.00225648296,5180063.0168808075,506375.00225648296,5180063.0168808075,175,59,True,not assessed,21.940743575346573,16.37114600304968
topanga,10m,391,380,32611,-118.58374424147402,34.11780631920858,353941.5645379969,3776346.5143099623,353931.5645379969,3776366.5143099623,201,36,True,not assessed,4.47123059234523,17.909289128537544
topanga,30m,130,127,32611,-118.58391420736442,34.11782199134691,353939.90881591244,3776350.667680568,353939.90881591244,3776350.667680568,67,12,True,not assessed,4.47123059234523,17.909289128537544
az_ponderosa,10m,1198,1162,32613,-106.67076606035236,35.73222621805862,348907.0919053316,3955533.2352388427,348897.0919053316,3955533.2352388427,1048,259,True,not assessed,4.407638359670359,6.971330224469821
az_ponderosa,30m,399,387,32613,-106.67083115927025,35.73238809243358,348903.55051379104,3955535.8593238005,348903.55051379104,3955535.8593238005,349,86,True,not assessed,4.407638359670359,6.971330224469821
