site,comparison,outlet,row10,col10,row30,col30,x10,y10,x30,y30,snap_distance_m,actual_center_offset_m,boundary_iou,area10_m2,area30_m2,area_change_pct,cells10,cells30,outlet_z10,outlet_z30,maximum_z10,maximum_z30,h10_m,h30_m,t10,t30,t_change_pct,coverage10,coverage30,max_probability_change_pp,max_threshold_change_pct,passes_primary_screen,coverage_eligible,snap_reference_m
moscow_mountain,controlled,terminal,536,131,178,43,506363.0963980568,5180051.780112741,506353.0963980568,5180061.780112741,14.142135623730951,14.142135623730951,0.9766622370208891,6614300.0,6624000.0,0.14665195107570472,66143,7360,842.2085571289062,842.8412746853297,1516.320068359375,1515.1982828776042,674.1115112304688,672.3570081922745,0.2621137469542248,0.26124005958057,-0.3333237511603526,0,0,0.099163489750137,0.11477159703554562,True,True,0.0
moscow_mountain,controlled,nested_20000,110,310,36,103,508153.0963980568,5184311.780112741,508153.0963980568,5184321.780112741,10.0,10.0,0.7418032786885246,20000.0,22500.0,12.5,200,25,1202.8204345703125,1205.9664984809028,1273.5172119140625,1273.0758734809026,70.69677734375,67.10937499999977,0.499901706678011,0.4473958333333318,-10.503239465533253,0,0,4.749923429241254,5.542126268377379,True,True,0.0
moscow_mountain,controlled,nested_100000,239,295,79,98,508003.0963980568,5183021.780112741,508003.0963980568,5183031.780112741,10.0,10.0,0.8548387096774194,99900.0,107100.0,7.2072072072072,999,119,1053.719970703125,1055.4142523871528,1239.4683837890625,1224.0763075086807,185.7484130859375,168.66205512152783,0.5876819715961856,0.515374174785313,-12.30389909945332,0,0,6.097582210541108,7.121295637262093,False,True,0.0
moscow_mountain,controlled,nested_1000000,159,362,53,120,508673.0963980568,5183821.780112741,508663.0963980568,5183811.780112741,14.142135623730951,14.142135623730951,0.9660484741438524,1000100.0,1003500.0,0.3399660033996499,10001,1115,1143.7950439453125,1144.383816189236,1516.320068359375,1515.1982828776042,372.5250244140625,370.81446668836816,0.3725063995596942,0.37016723984745314,-0.6279515506326883,0,0,0.23190186839923688,0.26881725777807564,True,True,0.0
moscow_mountain,native,terminal,536,131,175,59,506363.0963980568,5180051.780112741,506375.00225648296,5180063.0168808075,16.37114600304968,16.37114600304968,0.9720270330752361,6644700.0,6573600.0,-1.070025734796154,66447,7304,842.2085571289062,843.16259765625,1516.320068359375,1514.7613525390625,674.1115112304688,671.5987548828125,0.2615134645743126,0.2619438734733274,0.1645838388151022,0,0,0.048889953535335984,0.05648826823066999,True,True,0.0
moscow_mountain,native,nested_20000,110,310,33,118,508153.0963980568,5184311.780112741,508145.00225648296,5184323.0168808075,13.84846866646134,13.84846866646134,0.776255707762557,20000.0,18900.0,-5.500000000000005,200,21,1202.8204345703125,1207.0675048828125,1273.5172119140625,1271.62548828125,70.69677734375,64.5579833984375,0.499901706678011,0.4695902311699084,-6.063487102200749,0,0,2.67940235615457,3.1262150270974454,True,True,0.0
moscow_mountain,native,nested_100000,239,295,76,113,508003.0963980568,5183021.780112741,507995.00225648296,5183033.0168808075,13.84846866646134,13.84846866646134,0.8341968911917098,99900.0,112500.0,12.612612612612617,999,125,1053.719970703125,1056.0809326171875,1239.4683837890625,1221.354736328125,185.7484130859375,165.2738037109375,0.5876819715961856,0.4927512799968176,-16.15341225144776,0,0,8.164689725069108,9.562384205606067,False,True,0.0
moscow_mountain,native,nested_1000000,159,362,50,136,508673.0963980568,5183821.780112741,508685.00225648296,5183813.0168808075,14.783223558407217,14.783223558407217,0.9656627097027372,1000100.0,1003500.0,0.3399660033996499,10001,1115,1143.7950439453125,1145.48046875,1516.320068359375,1514.7613525390625,372.5250244140625,369.2808837890625,0.3725063995596942,0.3686363336938097,-1.0389260078374374,0,0,0.3836695376960575,0.44553350070302145,True,True,0.0
topanga,controlled,terminal,201,36,67,12,353931.5645379969,3776366.5143099623,353941.5645379969,3776356.5143099623,14.142135623730951,14.142135623730951,0.9783169338200286,4991700.0,4980600.0,-0.2223691327603805,49917,5534,299.68988037109375,302.1939392089844,639.8329467773438,638.5927937825521,340.14306640625,336.39885457356775,0.1522430179004554,0.1507348510914976,-0.9906311828000836,0,0,0.20001093081553623,0.23176364481296563,True,True,0.0
topanga,controlled,nested_20000,177,298,59,99,356551.5645379969,3776606.5143099623,356551.5645379969,3776596.5143099623,10.0,10.0,0.5966386554621849,20000.0,18000.0,-9.999999999999998,200,20,469.6349792480469,471.7050543891059,552.3642578125,534.0389133029514,82.72927856445312,62.33385891384552,0.5849843387559569,0.4646091527707993,-20.577505757017466,0,0,10.598112336307675,12.47916688737456,False,True,0.0
