tool,wall_seconds,time_wall_seconds,peak_rss_kib,command_index
D8UpstreamRelief,0.12309059000108391,0.12,42932,1
D8UpstreamRelief,0.032986973063088953,0.03,19584,2
Watershed,0.06670757499523461,0.06,28896,3
FillDepressions,0.04132240603212267,0.03,23516,4
D8Pointer,0.03493889304809272,0.03,22656,5
D8UpstreamRelief,0.10045451601035893,0.09,42164,6
FillDepressions,0.022080644965171814,0.02,19580,7
D8Pointer,0.018576487083919346,0.01,18536,8
D8UpstreamRelief,0.027166148996911943,0.02,19968,9
Watershed,0.060601487988606095,0.05,29608,10
Watershed,0.024655165034346282,0.02,18196,11
Watershed,0.0675187730230391,0.06,29184,12
Watershed,0.0245487509528175,0.02,19184,13
Watershed,0.06574999401345849,0.06,28904,14
Watershed,0.027063054963946342,0.02,18572,15
Watershed,0.06816087092738599,0.06,29220,16
Watershed,0.02744035399518907,0.02,18964,17
Watershed,0.06132204399909824,0.05,28516,18
Watershed,0.025484152953140438,0.02,18540,19
Watershed,0.064669472980313,0.06,29832,20
Watershed,0.025136998970992863,0.02,18144,21
Watershed,0.06674201600253582,0.06,29168,22
Watershed,0.028106248006224632,0.02,18484,23
Watershed,0.05897988402284682,0.05,28900,24
Watershed,0.02841817506123334,0.02,18532,25
D8UpstreamRelief,0.05074936803430319,0.04,27304,26
D8UpstreamRelief,0.028014305979013443,0.02,18688,27
Watershed,0.03723189595621079,0.03,21492,28
FillDepressions,0.029446710948832333,0.02,20372,29
D8Pointer,0.029057190055027604,0.02,19688,30
D8UpstreamRelief,0.050490048015490174,0.04,26932,31
FillDepressions,0.021091433009132743,0.01,19200,32
D8Pointer,0.017599719925783575,0.01,18816,33
D8UpstreamRelief,0.02409940492361784,0.02,18872,34
Watershed,0.03745585004799068,0.03,21516,35
Watershed,0.023748289910145104,0.02,18432,36
Watershed,0.03746305499225855,0.03,21112,37
Watershed,0.0224730420159176,0.02,18816,38
Watershed,0.03326224710326642,0.03,21556,39
Watershed,0.02324411296285689,0.02,18432,40
Watershed,0.03776606998872012,0.03,21492,41
Watershed,0.02311531698796898,0.02,18816,42
Watershed,0.03684895602054894,0.03,21884,43
Watershed,0.02256273594684899,0.02,18048,44
Watershed,0.034921334008686244,0.03,21528,45
Watershed,0.025230788975022733,0.02,18816,46
Watershed,0.03956935694441199,0.03,21536,47
Watershed,0.02255921100731939,0.02,18816,48
Watershed,0.03733190498314798,0.03,21268,49
Watershed,0.023202976095490158,0.02,18816,50
D8UpstreamRelief,0.34545054694171995,0.34,108552,51
D8UpstreamRelief,0.05627997999545187,0.05,27596,52
Watershed,0.16717399400658906,0.16,61704,53
FillDepressions,0.08914028399158269,0.08,41956,54
D8Pointer,0.08472904295194894,0.08,38400,55
D8UpstreamRelief,0.310117278015241,0.3,108600,56
FillDepressions,0.03080879000481218,0.02,20132,57
D8Pointer,0.026539942948147655,0.02,20208,58
D8UpstreamRelief,0.05292435293085873,0.05,27692,59
Watershed,0.16954393894411623,0.16,62472,60
Watershed,0.041622289922088385,0.03,22212,61
Watershed,0.16733255400322378,0.16,61800,62
Watershed,0.03919340902939439,0.03,21616,63
Watershed,0.1662007380509749,0.16,62088,64
Watershed,0.040874594007618725,0.03,21840,65
Watershed,0.1686870299745351,0.16,61704,66
Watershed,0.04282649699598551,0.04,21876,67
Watershed,0.16983488004188985,0.16,62472,68
Watershed,0.041986210038885474,0.03,22024,69
Watershed,0.17209491494577378,0.16,61704,70
Watershed,0.0395135460421443,0.03,21600,71
Watershed,0.17607005406171083,0.17,61712,72
Watershed,0.04018122097477317,0.03,21588,73
Watershed,0.166176354046911,0.16,61704,74
Watershed,0.04054761701263487,0.03,21592,75
D8UpstreamRelief,0.3067901870235801,0.3,108936,76
D8UpstreamRelief,0.3161618020385504,0.31,108936,77
D8UpstreamRelief,0.31185512093361467,0.3,108936,78
