lane,ofe,err_legacy
source_wepp1,1,7.105427357601002e-15
source_wepp1,2,2.4868995751603507e-14
source_wepp1,3,0.019999999999992468
source_wepp1,4,0.009999999999891429
source_wepp1,5,0.010000000000012221
source_wepp1,6,5.684341886080802e-14
source_wepp1,7,0.020000000000024443
source_wepp1,8,-2.842170943040401e-14
source_wepp1,9,0.0005600000000214322
source_wepp1,10,0.010679999999950951
source_wepp1,11,0.007810000000020523
source_wepp1,12,0.000950000000003115
source_wepp1,13,-0.0049700000000427735
source_wepp1,14,0.007979999999975007
source_wepp1,15,0.016079999999959682
source_wepp1,16,0.013119999999958054
source_wepp1,17,0.009899999999987585
source_wepp1,18,0.019100000000094042
source_wepp1,19,-180.45899999999995
C000_baseline,1,7.105427357601002e-15
C000_baseline,2,2.4868995751603507e-14
C000_baseline,3,0.019999999999992468
C000_baseline,4,0.009999999999891429
C000_baseline,5,0.010000000000012221
C000_baseline,6,5.684341886080802e-14
C000_baseline,7,0.020000000000024443
C000_baseline,8,-2.842170943040401e-14
C000_baseline,9,0.0005600000000214322
C000_baseline,10,0.010679999999950951
C000_baseline,11,0.007780000000011
C000_baseline,12,0.0009800000000126374
C000_baseline,13,-0.0049700000000427735
C000_baseline,14,0.007979999999975007
C000_baseline,15,0.016079999999959682
C000_baseline,16,0.013119999999958054
C000_baseline,17,0.009899999999987585
C000_baseline,18,0.019100000000094042
C000_baseline,19,-180.45899999999995
C010_dcc52a6,1,7.105427357601002e-15
C010_dcc52a6,2,2.4868995751603507e-14
C010_dcc52a6,3,0.010000000000001563
C010_dcc52a6,4,0.009999999999891429
C010_dcc52a6,5,0.010000000000012221
C010_dcc52a6,6,5.684341886080802e-14
C010_dcc52a6,7,0.020000000000024443
C010_dcc52a6,8,-2.842170943040401e-14
C010_dcc52a6,9,-0.000279999999975189
C010_dcc52a6,10,0.010609999999957154
C010_dcc52a6,11,0.007509999999996353
C010_dcc52a6,12,0.0021600000000177033
C010_dcc52a6,13,-0.00014999999999076863
C010_dcc52a6,14,0.005639999999971224
C010_dcc52a6,15,0.01599999999996271
C010_dcc52a6,16,0.01310999999995488
C010_dcc52a6,17,0.004899999999992133
C010_dcc52a6,18,0.014099999999984902
C010_dcc52a6,19,-0.002299999999991087
C020_winbootstrap,1,7.105427357601002e-15
C020_winbootstrap,2,2.4868995751603507e-14
C020_winbootstrap,3,0.019999999999992468
C020_winbootstrap,4,0.009999999999891429
C020_winbootstrap,5,0.010000000000012221
C020_winbootstrap,6,5.684341886080802e-14
C020_winbootstrap,7,0.020000000000024443
C020_winbootstrap,8,-2.842170943040401e-14
C020_winbootstrap,9,0.0005600000000214322
C020_winbootstrap,10,0.010679999999950951
C020_winbootstrap,11,0.006390000000024543
C020_winbootstrap,12,0.0023699999999706733
C020_winbootstrap,13,0.0013599999999627244
C020_winbootstrap,14,0.011419999999958463
C020_winbootstrap,15,0.016079999999959682
C020_winbootstrap,16,0.013129999999961228
C020_winbootstrap,17,0.012999999999976808
C020_winbootstrap,18,0.00909999999998945
C020_winbootstrap,19,-0.0079000000000633
