lane,file,size_bytes,sha256,matches_source
source_wepp1,H2637.wat.dat,55688697,d7dd9da1e66705c96d921517a9506990d6520327322c62f3a8ca8f5c7f99b381,True
source_wepp1,H2637.pass.dat,3139400,c1d6124f8c47f5e7caa780744311de2efea79e1fc7c3ed89247cd48e1a02ae29,True
source_wepp1,H2637.soil.dat,24540395,62d0d9c1681b3f8f519a0ac7571f86af902cf0167d641b660dc8e0e1a74103a3,True
source_wepp1,H2637.element.dat,31190773,ea611e99e61eeecd10c173523ed48c4e9b5341c68ec12a2d0bd8d07652f3047c,True
source_wepp1,H2637.loss.dat,55203,5300e59860af0ebce0321ac1ed9253431b9bd670ad5b2178d36154fa78af6731,True
source_wepp1,H2637.plot.dat,64673,95e720e92e641418dd901daf243d5accb7f6109751229685da77c160a7f0e605,True
source_wepp1,H2637.ebe.dat,803651,d889c3ecaa709a04295f27165b5c18a56ecd0b68ab27decf29d201dc69d48438,True
C000_baseline,H2637.wat.dat,55688697,6065c1fee5077f6ec851bd42c0709a0230437ce2ffc1a8d68fdf858eb56826ab,False
C000_baseline,H2637.pass.dat,3139400,a0b082c15875c9dd72c05693c087e51d90aec0ccd55886627bb2e283b06a8ef8,False
C000_baseline,H2637.soil.dat,24540395,a416b2a2a581c61a7a8e551f336212779124f8cb4603805ca75cfbed42943155,False
C000_baseline,H2637.element.dat,31190773,2440421d43f01b8f24e7a54a6953bfe4cdd4d1b3ba0f43a4237d0ec4af37c16b,False
C000_baseline,H2637.loss.dat,55203,5300e59860af0ebce0321ac1ed9253431b9bd670ad5b2178d36154fa78af6731,True
C000_baseline,H2637.plot.dat,64673,95e720e92e641418dd901daf243d5accb7f6109751229685da77c160a7f0e605,True
C000_baseline,H2637.ebe.dat,803651,2c39ac2b2eababd26ab654dc0799a4246ccb4f7cbb831e0ab9d1b79508817a3c,False
C010_dcc52a6,H2637.wat.dat,42710296,6411ba4d4bcdfc4af5268ed96bf064e3cc89dd28b7a6cd0833805cb8deaaef43,False
C010_dcc52a6,H2637.pass.dat,2980472,4533dc4393ab080211fab6c785f701f269c26df551580ec10f760b23d4b8f7e8,False
C010_dcc52a6,H2637.soil.dat,22652677,3df86f24ec8cb53297fb9fb2ae0852612d5984dafed6a3bad7559d1c957ba101,False
C010_dcc52a6,H2637.element.dat,26124353,dd0856390ad267f04c2d723e68e11513fe401f3f8594e7eafeb4e265c32ba1e8,False
C010_dcc52a6,H2637.loss.dat,64244,ec6723b0874bfc020ffad751fac1d94d0b8116cb81d6144c9e79bd3ec900c222,False
C010_dcc52a6,H2637.plot.dat,64673,cb01a3b6aad0530931c26535b168c81508087eabdbca8dae11b74696e0704e10,False
C010_dcc52a6,H2637.ebe.dat,736139,157abbe88c4df5e07f505a41ede125ab8c690fd8bf209b3c23d7e357d5eaece2,False
C020_winbootstrap,H2637.wat.dat,42946280,0d0c0d32c80992d64e50ece2c43545065fe65b28294e98ede240d79c9ed540a3,False
C020_winbootstrap,H2637.pass.dat,2037211,13aeb2d3d16c8a4ab8e3b2d42a41952c06807e95e83fe5df091608854d2700d4,False
C020_winbootstrap,H2637.soil.dat,24776348,73645e92c4b2171ed8259a241c5ad552eab8ce1e0d938ddcb6ed51d7ef9f5a87,False
C020_winbootstrap,H2637.element.dat,28966008,c334b0a7f6e46f4809a0a4ed5ef1a5d50a04844477d31a257f68333d4f9b1ba3,False
C020_winbootstrap,H2637.loss.dat,56027,31387cf6913d694abc5331e637de5b30db44b1bbf2290ca30fce20d4838d201e,False
C020_winbootstrap,H2637.plot.dat,66577,3614d0c5a678c689707056fb05862ef254f671c5ecf3af988b104ef8655ddd07,False
C020_winbootstrap,H2637.ebe.dat,743239,8ce0327ea2bba851f3bb44ad74f0c3eb3ab8cde99e220944417ace36a80abea3,False
