lane,day44_hillslope_error_mm_legacy,day45_hillslope_error_mm_legacy,day44_ofe14,day44_ofe15,day44_ofe16,day44_ofe17,day44_ofe18,day44_ofe19
source_wepp1,-180.31779000000003,-0.04820000000005997,0.007979999999975007,0.016079999999959682,0.013119999999958054,0.009899999999987585,0.019100000000094042,-180.45899999999995
C000_baseline,-180.31779000000003,-0.04820000000001734,0.007979999999975007,0.016079999999959682,0.013119999999958054,0.009899999999987585,0.019100000000094042,-180.45899999999995
C010_dcc52a6,0.12129999999987007,-0.0361000000000562,0.005639999999971224,0.01599999999996271,0.01310999999995488,0.004899999999992133,0.014099999999984902,-0.002299999999991087
C020_winbootstrap,0.1361899999996936,-0.01590000000006775,0.011419999999958463,0.016079999999959682,0.013129999999961228,0.012999999999976808,0.00909999999998945,-0.0079000000000633
