artifact_id,case_id,artifact_type,relative_path,description,produced_by,created_utc
A0001,C020,env_capture,artifacts/env/C020_blarhg_winbootstrap_env.txt,Auto-indexed artifact: artifacts/env/C020_blarhg_winbootstrap_env.txt,tools/ablation_protocol.py finalize,2026-04-30T19:31:02Z
A0002,C000,other,artifacts/logs/C000_baseline_exit_code.txt,Auto-indexed artifact: artifacts/logs/C000_baseline_exit_code.txt,tools/ablation_protocol.py finalize,2026-04-30T19:29:07Z
A0003,C000,stderr,artifacts/logs/C000_baseline_stderr.txt,Auto-indexed artifact: artifacts/logs/C000_baseline_stderr.txt,tools/ablation_protocol.py finalize,2026-04-30T19:28:54Z
A0004,C000,stdout,artifacts/logs/C000_baseline_stdout.txt,Auto-indexed artifact: artifacts/logs/C000_baseline_stdout.txt,tools/ablation_protocol.py finalize,2026-04-30T19:29:07Z
A0005,C010,other,artifacts/logs/C010_dcc52a6_exit_code.txt,Auto-indexed artifact: artifacts/logs/C010_dcc52a6_exit_code.txt,tools/ablation_protocol.py finalize,2026-04-30T19:29:27Z
A0006,C010,stderr,artifacts/logs/C010_dcc52a6_stderr.txt,Auto-indexed artifact: artifacts/logs/C010_dcc52a6_stderr.txt,tools/ablation_protocol.py finalize,2026-04-30T19:29:15Z
A0007,C010,stdout,artifacts/logs/C010_dcc52a6_stdout.txt,Auto-indexed artifact: artifacts/logs/C010_dcc52a6_stdout.txt,tools/ablation_protocol.py finalize,2026-04-30T19:29:27Z
A0008,C020,other,artifacts/logs/C020_winbootstrap_exit_code.txt,Auto-indexed artifact: artifacts/logs/C020_winbootstrap_exit_code.txt,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0009,C020,stderr,artifacts/logs/C020_winbootstrap_stderr.txt,Auto-indexed artifact: artifacts/logs/C020_winbootstrap_stderr.txt,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0010,C020,stdout,artifacts/logs/C020_winbootstrap_stdout.txt,Auto-indexed artifact: artifacts/logs/C020_winbootstrap_stdout.txt,tools/ablation_protocol.py finalize,2026-04-30T19:31:28Z
A0011,GLOBAL,other,artifacts/logs/day44_ofe_errors_by_lane.csv,Auto-indexed artifact: artifacts/logs/day44_ofe_errors_by_lane.csv,tools/ablation_protocol.py finalize,2026-04-30T19:39:11Z
A0012,GLOBAL,other,artifacts/logs/day44_ofe_errors_legacy_by_lane.csv,Auto-indexed artifact: artifacts/logs/day44_ofe_errors_legacy_by_lane.csv,tools/ablation_protocol.py finalize,2026-04-30T19:40:28Z
A0013,GLOBAL,other,artifacts/logs/first_gt1_from_j40_by_lane.csv,Auto-indexed artifact: artifacts/logs/first_gt1_from_j40_by_lane.csv,tools/ablation_protocol.py finalize,2026-04-30T19:42:07Z
A0014,GLOBAL,other,artifacts/logs/fuzzy_case_results.csv,Auto-indexed artifact: artifacts/logs/fuzzy_case_results.csv,tools/ablation_protocol.py finalize,2026-04-30T19:43:20Z
A0015,GLOBAL,other,artifacts/logs/fuzzy_failures.md,Auto-indexed artifact: artifacts/logs/fuzzy_failures.md,tools/ablation_protocol.py finalize,2026-04-30T19:43:20Z
A0016,GLOBAL,other,artifacts/logs/lane_chain_residuals.csv,Auto-indexed artifact: artifacts/logs/lane_chain_residuals.csv,tools/ablation_protocol.py finalize,2026-04-30T19:39:13Z
A0017,GLOBAL,other,artifacts/logs/lane_closure_summary.csv,Auto-indexed artifact: artifacts/logs/lane_closure_summary.csv,tools/ablation_protocol.py finalize,2026-04-30T19:39:11Z
A0018,GLOBAL,other,artifacts/logs/lane_day44_legacy_closure.csv,Auto-indexed artifact: artifacts/logs/lane_day44_legacy_closure.csv,tools/ablation_protocol.py finalize,2026-04-30T19:40:28Z
A0019,GLOBAL,other,artifacts/logs/lane_output_hashes.csv,Auto-indexed artifact: artifacts/logs/lane_output_hashes.csv,tools/ablation_protocol.py finalize,2026-04-30T19:39:13Z
A0020,GLOBAL,other,artifacts/logs/lane_summary.json,Auto-indexed artifact: artifacts/logs/lane_summary.json,tools/ablation_protocol.py finalize,2026-04-30T19:39:13Z
A0021,GLOBAL,stdout,artifacts/logs/source_wepp1_mofe_audit.stdout.txt,Auto-indexed artifact: artifacts/logs/source_wepp1_mofe_audit.stdout.txt,tools/ablation_protocol.py finalize,2026-04-30T19:34:41Z
