 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      1.114     41.888      0.000
      2.228     41.424      0.000
      3.342     40.952      0.002
      4.456     40.472      0.007
      5.570     39.984      0.013
      6.684     39.489      0.019
      7.798     38.986      0.025
      8.912     38.475      0.031
     10.026     37.956      0.036
     11.140     37.430      0.042
     12.254     36.900      0.047
     13.368     36.369      0.052
     14.482     35.838      0.057
     15.596     35.306      0.062
     16.710     34.774      0.067
     17.824     34.241      0.072
     18.938     33.707      0.076
     20.052     33.173      0.081
     21.166     32.638      0.086
     22.280     32.103      0.090
     23.394     31.569      0.095
     24.508     31.039      0.099
     25.622     30.512      0.102
     26.736     29.988      0.106
     27.850     29.468      0.110
     28.964     28.951      0.113
     30.078     28.438      0.117
     31.192     27.928      0.120
     32.306     27.421      0.124
     33.420     26.917      0.127
     34.534     26.417      0.130
     35.648     25.921      0.133
     36.762     25.428      0.137
     37.876     24.938      0.140
     38.990     24.451      0.143
     40.104     23.968      0.146
     41.218     23.489      0.148
     42.332     23.012      0.151
     43.446     22.539      0.154
     44.560     22.070      0.157
     45.674     21.604      0.159
     46.788     21.141      0.162
     47.902     20.682      0.164
     49.016     20.226      0.167
     50.130     19.773      0.169
     51.244     19.324      0.171
     52.358     18.878      0.173
     53.472     18.435      0.176
     54.586     17.996      0.178
     55.700     17.561      0.180
     56.814     17.129      0.181
     57.928     16.704      0.182
     59.042     16.284      0.183
     60.156     15.870      0.184
     61.270     15.462      0.185
     62.384     15.059      0.186
     63.498     14.662      0.186
     64.612     14.271      0.187
     65.726     13.886      0.187
     66.840     13.506      0.187
     67.954     13.132      0.188
     69.068     12.764      0.188
     70.182     12.401      0.188
     71.296     12.044      0.188
     72.410     11.693      0.188
     73.524     11.348      0.188
     74.638     11.008      0.187
     75.752     10.674      0.187
     76.866     10.346      0.186
     77.980     10.023      0.186
     79.094      9.704      0.187
     80.208      9.384      0.189
     81.322      9.065      0.191
     82.436      8.746      0.193
     83.550      8.428      0.196
     84.664      8.110      0.198
     85.778      7.792      0.200
     86.892      7.474      0.202
     88.006      7.157      0.204
     89.120      6.839      0.207
     90.234      6.520      0.210
     91.348      6.198      0.215
     92.462      5.871      0.219
     93.576      5.541      0.224
     94.690      5.208      0.228
     95.804      4.870      0.233
     96.918      4.529      0.238
     98.032      4.184      0.242
     99.146      3.835      0.247
    100.260      3.482      0.252
    101.374      3.129      0.255
    102.488      2.776      0.257
    103.602      2.425      0.258
    104.716      2.075      0.260
    105.830      1.726      0.261
    106.944      1.378      0.263
    108.058      1.032      0.264
    109.172      0.687      0.266
    110.286      0.343      0.267
    111.400      0.000      0.269
