case,management,kcb,initial_canopy_cover,maximum_lai,runoff_2020_mm,lateral_2020_mm,combined_runoff_2020_mm,plant_transpiration_2020_mm,soil_evaporation_2020_mm,residue_evaporation_2020_mm,total_et_2020_mm,mean_soil_water_2020_mm,minimum_soil_water_2020_mm,maximum_peak_ro_mm_h,median_positive_peak_ro_mm_h,runoff_45yr_mm,lateral_45yr_mm,total_et_45yr_mm
baseline-kcb1p20,baseline,1.200000,0.700000,5.000000,8.597523,1.440000,10.037523,241.840000,53.170000,0.000000,295.010000,88.974590,72.330000,214.381000,5.437500,5505.295901,685.270000,15496.080000
baseline-kcb1p30,baseline,1.300000,0.700000,5.000000,8.229768,1.290000,9.519768,247.060000,54.690000,0.000000,301.750000,88.161421,72.330000,213.962000,5.731000,5439.146482,664.260000,15956.460000
baseline-kcb1p40,baseline,1.400000,0.700000,5.000000,7.866001,1.070000,8.936001,252.430000,56.040000,0.000000,308.470000,87.457158,72.330000,212.999000,5.729000,5377.937135,646.410000,16375.880000
dense-kcb1p20,dense,1.200000,0.900000,6.000000,9.234066,1.280000,10.514066,270.450000,28.360000,0.000000,298.810000,87.898443,72.330000,294.416000,5.791000,5590.830890,674.760000,15739.750000
dense-kcb1p30,dense,1.300000,0.900000,6.000000,8.925110,1.030000,9.955110,277.280000,29.040000,0.000000,306.320000,87.142459,72.330000,293.930000,5.229000,5526.224328,653.810000,16195.760000
dense-kcb1p40,dense,1.400000,0.900000,6.000000,8.644442,0.740000,9.384442,284.030000,29.870000,0.000000,313.900000,86.492022,72.330000,293.202000,5.658000,5468.683571,634.660000,16598.340000
