return_period_years,burned_date,burned_peak_m3s,undisturbed_date,undisturbed_peak_m3s,burned_minus_undisturbed_m3s,burned_percent_difference
2,2021-12-29,63.17,2005-02-21,87.62,-24.45,-27.9
5,2019-01-16,83.95,1996-02-20,112.51,-28.56,-25.4
10,1982-11-30,106.00,2005-01-09,138.19,-32.19,-23.3
20,2021-12-30,124.38,1983-03-01,161.64,-37.26,-23.1
25,1995-01-03,145.55,1995-01-10,174.67,-29.12,-16.7
