input,parameter,undisturbed,burned,change
management,plant.hmax,2.0,1.0,-1.0
management,plant.rdmax,0.5,0.2,-0.3
management,plant.xmxlai,5.0,2.0,-3.0
management,initial.cancov,0.70,0.27,-0.43
management,initial.inrcov,0.90,0.55,-0.35
management,initial.rilcov,0.90,0.55,-0.35
soil,ksatfac,1.5,1.3,-0.2
soil,kr,0.00005,0.00008,0.00003
soil,horizon_1.ksat_mm_h,35.0,20.0,-15.0
soil,label,shrub,shrub moderate sev fire,text only
