case,initial_canopy_cover,initial_ground_cover,event_date,runoff_mm,peak_ro_mm_h,eff_int_mm_h,eff_dur_h,keff_mm_h,event_soil_water_mm,event_lai,event_canopy_height_m,event_canopy_cover_pct,event_interrill_cover_pct,event_rill_cover_pct,live_biomass_kg_m2,dead_biomass_kg_m2,rill_width_m,pre_event_soil_water_mm
c30_g30,0.300000,0.300000,1980-02-14,61.284000,97.084000,46.731000,0.631000,35.000000,209.696000,0.578000,0.147000,30.000000,30.002000,30.002000,0.025000,0.071000,0.240000,197.430000
c30_g55,0.300000,0.550000,1980-02-14,61.291000,96.668000,46.731000,0.634000,35.000000,209.675000,0.578000,0.147000,30.000000,55.001000,55.001000,0.025000,0.160000,0.240000,197.410000
c30_g70,0.300000,0.700000,1980-02-14,61.299000,96.397000,46.731000,0.636000,35.000000,209.641000,0.578000,0.147000,30.000000,70.001000,70.001000,0.025000,0.241000,0.239000,197.360000
c30_g80,0.300000,0.800000,1980-02-14,61.306000,96.573000,46.731000,0.635000,35.000000,209.606000,0.578000,0.147000,30.000000,80.000000,80.000000,0.025000,0.322000,0.240000,197.320000
c30_g90,0.300000,0.900000,1980-02-14,61.317000,96.426000,46.731000,0.636000,35.000000,209.560000,0.578000,0.147000,30.000000,90.000000,90.000000,0.025000,0.461000,0.239000,197.260000
c30_g95,0.300000,0.950000,1980-02-14,61.325000,96.360000,46.731000,0.636000,35.000000,209.541000,0.578000,0.147000,30.000000,95.000000,95.000000,0.025000,0.599000,0.239000,197.240000
c55_g30,0.550000,0.300000,1980-02-14,61.249000,96.841000,46.731000,0.632000,35.000000,207.039000,1.551000,0.315000,55.000000,30.002000,30.002000,0.057000,0.071000,0.240000,193.320000
c55_g55,0.550000,0.550000,1980-02-14,61.256000,96.448000,46.731000,0.635000,35.000000,207.021000,1.551000,0.315000,55.000000,55.001000,55.001000,0.057000,0.160000,0.239000,193.300000
c55_g70,0.550000,0.700000,1980-02-14,61.264000,96.539000,46.731000,0.635000,35.000000,206.978000,1.551000,0.315000,55.000000,70.001000,70.001000,0.057000,0.241000,0.239000,193.250000
c55_g80,0.550000,0.800000,1980-02-14,61.271000,96.390000,46.731000,0.636000,35.000000,206.935000,1.551000,0.315000,55.000000,80.000000,80.000000,0.057000,0.322000,0.239000,193.190000
c55_g90,0.550000,0.900000,1980-02-14,61.282000,96.249000,46.731000,0.637000,35.000000,206.869000,1.551000,0.315000,55.000000,90.000000,90.000000,0.057000,0.461000,0.239000,193.110000
c55_g95,0.550000,0.950000,1980-02-14,61.290000,96.186000,46.731000,0.637000,35.000000,206.821000,1.551000,0.315000,55.000000,95.000000,95.000000,0.057000,0.599000,0.239000,193.040000
