case,initial_canopy_cover,initial_ground_cover,runoff_2020_mm,lateral_2020_mm,total_et_2020_mm,mean_soil_water_2020_mm,maximum_peak_ro_mm_h,median_positive_peak_ro_mm_h
c30_g30,0.300000,0.300000,5.902864,3.220000,239.870000,98.900738,275.624000,6.082000
c30_g55,0.300000,0.550000,6.017951,3.010000,241.840000,98.825984,293.582000,6.126000
c30_g70,0.300000,0.700000,6.149099,2.840000,243.180000,98.774508,316.229000,6.061000
c30_g80,0.300000,0.800000,6.374929,2.590000,244.050000,98.739454,323.029000,6.086000
c30_g90,0.300000,0.900000,6.692846,2.420000,244.660000,98.700328,209.877000,6.117000
c30_g95,0.300000,0.950000,6.850343,2.310000,244.700000,98.725437,222.215000,5.812000
c55_g30,0.550000,0.300000,6.743158,2.250000,287.440000,90.994071,277.217000,6.207000
c55_g55,0.550000,0.550000,7.004163,2.140000,288.330000,90.970437,295.280000,6.247000
c55_g70,0.550000,0.700000,7.242103,2.040000,288.800000,90.960164,318.075000,5.941000
c55_g80,0.550000,0.800000,7.425081,1.930000,289.160000,90.958087,316.632000,5.890500
c55_g90,0.550000,0.900000,7.766617,1.670000,289.480000,90.946885,212.466000,5.741000
c55_g95,0.550000,0.950000,8.046514,1.660000,289.580000,90.939235,224.937000,5.573000
c70_g30,0.700000,0.300000,7.528125,1.980000,293.250000,88.950082,278.406000,6.038000
c70_g55,0.700000,0.550000,7.757650,1.880000,294.090000,88.950055,296.732000,6.041000
c70_g70,0.700000,0.700000,7.954185,1.790000,294.600000,88.957186,319.946000,5.844000
c70_g80,0.700000,0.800000,8.157841,1.690000,294.840000,88.967240,312.292000,5.858500
c70_g90,0.700000,0.900000,8.597523,1.440000,295.010000,88.974590,214.381000,5.437500
c70_g95,0.700000,0.950000,8.867256,1.360000,295.090000,88.980902,226.187000,5.009000
c80_g30,0.800000,0.300000,7.953607,1.850000,295.790000,88.221038,281.517000,5.961000
c80_g55,0.800000,0.550000,8.163637,1.750000,296.710000,88.232404,300.037000,5.994000
c80_g70,0.800000,0.700000,8.372183,1.640000,297.200000,88.246858,320.541000,5.886500
c80_g80,0.800000,0.800000,8.614551,1.550000,297.370000,88.262404,310.862000,5.740000
c80_g90,0.800000,0.900000,9.040160,1.310000,297.520000,88.274481,211.809000,5.044000
c80_g95,0.800000,0.950000,9.313238,1.140000,297.540000,88.284891,226.897000,5.079000
c90_g30,0.900000,0.300000,8.259192,1.740000,297.340000,87.831913,282.697000,6.025500
c90_g55,0.900000,0.550000,8.455159,1.630000,298.190000,87.847596,301.228000,6.059000
c90_g70,0.900000,0.700000,8.705958,1.560000,298.480000,87.868743,312.152000,5.652000
c90_g80,0.900000,0.800000,8.941084,1.530000,298.660000,87.886448,303.239000,5.493000
c90_g90,0.900000,0.900000,9.359357,1.190000,298.890000,87.904235,208.194000,5.245000
c90_g95,0.900000,0.950000,9.632126,1.050000,298.910000,87.918033,221.908000,5.195500
c95_g30,0.950000,0.300000,8.365592,1.730000,297.600000,87.734617,282.966000,6.048000
c95_g55,0.950000,0.550000,8.570605,1.640000,298.450000,87.753443,301.505000,5.923000
c95_g70,0.950000,0.700000,8.820608,1.550000,298.740000,87.775246,304.527000,5.680500
c95_g80,0.950000,0.800000,9.052904,1.440000,298.940000,87.794645,296.254000,5.650500
c95_g90,0.950000,0.900000,9.468007,1.190000,299.130000,87.812077,203.788000,5.325000
c95_g95,0.950000,0.950000,9.749793,1.030000,299.130000,87.826503,217.999000,5.166000
