anisotropy,kcb,month,precip_mm,surface_runoff_mm,lateral_flow_mm,total_runoff_mm,total_et_mm,deep_percolation_printed_mm
1,0.85,1,8.90,0.00000,0.00,0.00000,43.75,1.42
1,0.85,2,6.40,0.00000,0.00,0.00000,46.51,0.00
1,0.85,3,162.90,10.63838,0.15,10.78838,51.19,38.57
1,0.85,4,101.80,0.21962,0.13,0.34962,74.38,61.13
1,0.85,5,6.00,0.00000,0.00,0.00000,43.59,0.00
1,0.85,6,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.85,7,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.85,8,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.85,9,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.85,10,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.85,11,5.40,0.00000,0.00,0.00000,5.41,0.00
1,0.85,12,51.50,0.00000,0.00,0.00000,5.27,0.00
1,0.9,1,8.90,0.00000,0.00,0.00000,45.89,1.36
1,0.9,2,6.40,0.00000,0.00,0.00000,49.13,0.00
1,0.9,3,162.90,10.42449,0.14,10.56449,49.27,36.78
1,0.9,4,101.80,0.21961,0.12,0.33961,78.28,59.00
1,0.9,5,6.00,0.00000,0.00,0.00000,40.78,0.00
1,0.9,6,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.9,7,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.9,8,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.9,9,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.9,10,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.9,11,5.40,0.00000,0.00,0.00000,5.40,0.00
1,0.9,12,51.50,0.00000,0.00,0.00000,5.59,0.00
1,0.95,1,8.90,0.00000,0.00,0.00000,47.91,1.31
1,0.95,2,6.40,0.00000,0.00,0.00000,49.83,0.00
1,0.95,3,162.90,10.21193,0.13,10.34193,48.94,35.41
1,0.95,4,101.80,0.55091,0.10,0.65091,82.03,56.78
1,0.95,5,6.00,0.00000,0.00,0.00000,38.00,0.00
1,0.95,6,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.95,7,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.95,8,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.95,9,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.95,10,0.00,0.00000,0.00,0.00000,0.00,0.00
1,0.95,11,5.40,0.00000,0.00,0.00000,5.42,0.00
1,0.95,12,51.50,0.00000,0.00,0.00000,5.91,0.00
1,1,1,8.90,0.00000,0.00,0.00000,49.96,1.27
1,1,2,6.40,0.00000,0.00,0.00000,48.51,0.00
1,1,3,162.90,9.99931,0.13,10.12931,50.43,34.14
1,1,4,101.80,0.27332,0.08,0.35332,85.78,55.11
1,1,5,6.00,0.00000,0.00,0.00000,35.15,0.00
1,1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1,11,5.40,0.00000,0.00,0.00000,5.41,0.00
1,1,12,51.50,0.00000,0.00,0.00000,6.24,0.00
1,1.05,1,8.90,0.00000,0.00,0.00000,52.03,1.22
1,1.05,2,6.40,0.00000,0.00,0.00000,46.59,0.00
1,1.05,3,162.90,9.79786,0.12,9.91786,52.56,32.89
1,1.05,4,101.80,0.14879,0.07,0.21879,89.49,53.32
1,1.05,5,6.00,0.00000,0.00,0.00000,32.37,0.00
1,1.05,6,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.05,7,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.05,8,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.05,9,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.05,10,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.05,11,5.40,0.00000,0.00,0.00000,5.37,0.00
1,1.05,12,51.50,0.00000,0.00,0.00000,6.55,0.00
1,1.1,1,8.90,0.00000,0.00,0.00000,54.05,1.16
1,1.1,2,6.40,0.00000,0.00,0.00000,44.42,0.00
1,1.1,3,162.90,9.59009,0.12,9.71009,54.81,31.68
1,1.1,4,101.80,0.06513,0.06,0.12513,93.18,51.47
1,1.1,5,6.00,0.00000,0.00,0.00000,29.62,0.00
1,1.1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.1,11,5.40,0.00000,0.00,0.00000,5.38,0.00
1,1.1,12,51.50,0.00000,0.00,0.00000,6.88,0.00
1,1.15,1,8.90,0.00000,0.00,0.00000,56.10,1.13
1,1.15,2,6.40,0.00000,0.00,0.00000,42.24,0.00
1,1.15,3,162.90,9.38349,0.12,9.50349,57.07,30.48
1,1.15,4,101.80,0.02248,0.05,0.07248,97.00,49.59
1,1.15,5,6.00,0.00000,0.00,0.00000,26.74,0.00
1,1.15,6,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.15,7,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.15,8,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.15,9,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.15,10,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.15,11,5.40,0.00000,0.00,0.00000,5.38,0.00
1,1.15,12,51.50,0.00000,0.00,0.00000,7.20,0.00
1,1.2,1,8.90,0.00000,0.00,0.00000,58.15,1.08
1,1.2,2,6.40,0.00000,0.00,0.00000,40.02,0.00
1,1.2,3,162.90,9.18316,0.11,9.29316,59.39,29.25
1,1.2,4,101.80,0.00758,0.05,0.05758,100.90,47.72
1,1.2,5,6.00,0.00000,0.00,0.00000,23.85,0.00
1,1.2,6,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.2,7,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.2,8,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.2,9,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.2,10,0.00,0.00000,0.00,0.00000,0.00,0.00
1,1.2,11,5.40,0.00000,0.00,0.00000,5.40,0.00
1,1.2,12,51.50,0.00000,0.00,0.00000,7.52,0.00
2,0.85,1,8.90,0.00000,0.00,0.00000,43.75,1.39
2,0.85,2,6.40,0.00000,0.00,0.00000,46.51,0.00
2,0.85,3,162.90,10.56190,0.27,10.83190,51.18,38.52
2,0.85,4,101.80,0.21959,0.27,0.48959,74.36,61.02
2,0.85,5,6.00,0.00000,0.00,0.00000,43.58,0.00
2,0.85,6,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.85,7,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.85,8,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.85,9,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.85,10,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.85,11,5.40,0.00000,0.00,0.00000,5.41,0.00
2,0.85,12,51.50,0.00000,0.00,0.00000,5.27,0.00
2,0.9,1,8.90,0.00000,0.00,0.00000,45.89,1.34
2,0.9,2,6.40,0.00000,0.00,0.00000,49.13,0.00
2,0.9,3,162.90,10.34823,0.25,10.59823,49.27,36.74
2,0.9,4,101.80,0.21958,0.22,0.43958,78.28,58.92
2,0.9,5,6.00,0.00000,0.00,0.00000,40.75,0.00
2,0.9,6,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.9,7,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.9,8,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.9,9,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.9,10,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.9,11,5.40,0.00000,0.00,0.00000,5.40,0.00
2,0.9,12,51.50,0.00000,0.00,0.00000,5.59,0.00
2,0.95,1,8.90,0.00000,0.00,0.00000,47.91,1.29
2,0.95,2,6.40,0.00000,0.00,0.00000,49.83,0.00
2,0.95,3,162.90,10.13605,0.25,10.38605,48.94,35.36
2,0.95,4,101.80,0.55083,0.19,0.74083,82.02,56.69
2,0.95,5,6.00,0.00000,0.00,0.00000,37.97,0.00
2,0.95,6,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.95,7,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.95,8,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.95,9,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.95,10,0.00,0.00000,0.00,0.00000,0.00,0.00
2,0.95,11,5.40,0.00000,0.00,0.00000,5.42,0.00
2,0.95,12,51.50,0.00000,0.00,0.00000,5.91,0.00
2,1,1,8.90,0.00000,0.00,0.00000,49.94,1.24
2,1,2,6.40,0.00000,0.00,0.00000,48.49,0.00
2,1,3,162.90,9.92381,0.25,10.17381,50.43,34.09
2,1,4,101.80,0.27329,0.17,0.44329,85.78,55.03
2,1,5,6.00,0.00000,0.00,0.00000,35.14,0.00
2,1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
2,1,11,5.40,0.00000,0.00,0.00000,5.41,0.00
2,1,12,51.50,0.00000,0.00,0.00000,6.24,0.00
2,1.05,1,8.90,0.00000,0.00,0.00000,52.03,1.20
2,1.05,2,6.40,0.00000,0.00,0.00000,46.58,0.00
2,1.05,3,162.90,9.73145,0.23,9.96145,52.56,32.84
2,1.05,4,101.80,0.14877,0.14,0.28877,89.49,53.24
2,1.05,5,6.00,0.00000,0.00,0.00000,32.37,0.00
