event_date,burned_precip,burned_runoff,burned_eff_int,burned_peak_ro,burned_eff_dur,burned_keff,burned_sm,burned_pre_event_soil_water_mm,burned_prior30_ep_mm,burned_prior30_es_mm,burned_prior30_er_mm,burned_ksat35_precip,burned_ksat35_runoff,burned_ksat35_eff_int,burned_ksat35_peak_ro,burned_ksat35_eff_dur,burned_ksat35_keff,burned_ksat35_sm,burned_ksat35_pre_event_soil_water_mm,burned_ksat35_prior30_ep_mm,burned_ksat35_prior30_es_mm,burned_ksat35_prior30_er_mm,undisturbed_precip,undisturbed_runoff,undisturbed_eff_int,undisturbed_peak_ro,undisturbed_eff_dur,undisturbed_keff,undisturbed_sm,undisturbed_pre_event_soil_water_mm,undisturbed_prior30_ep_mm,undisturbed_prior30_es_mm,undisturbed_prior30_er_mm,undisturbed_minus_burned_peak_ro,undisturbed_minus_burned_ksat35_peak_ro,burned_ksat35_minus_burned_peak_ro
1980-01-09,76.000000,30.282000,0.000000,4.265000,7.100000,20.000000,207.987000,164.340000,1.260000,12.840000,0.000000,76.000000,29.551000,0.000000,4.162000,7.100000,35.000000,207.987000,164.340000,1.260000,12.840000,0.000000,76.000000,35.190000,0.000000,4.956000,7.100000,35.000000,202.035000,164.180000,9.620000,4.610000,0.000000,0.691000,0.794000,-0.103000
1980-01-10,34.900000,15.127000,25.341000,57.860000,0.261000,20.000000,223.751000,207.990000,1.360000,13.840000,0.000000,34.900000,13.975000,0.000000,2.218000,6.300000,35.000000,223.754000,207.990000,1.360000,13.840000,0.000000,34.900000,15.089000,0.000000,2.395000,6.300000,35.000000,217.568000,202.030000,10.360000,4.960000,0.000000,-55.465000,0.177000,-55.642000
1980-01-11,41.600000,17.910000,0.000000,6.633000,2.700000,20.000000,239.246000,223.750000,1.460000,14.860000,0.000000,41.600000,16.809000,0.000000,6.225000,2.700000,35.000000,239.202000,223.750000,1.460000,14.860000,0.000000,41.600000,18.681000,0.000000,6.919000,2.700000,35.000000,232.842000,217.570000,11.110000,5.320000,0.000000,0.286000,0.694000,-0.408000
1980-01-28,68.100000,7.903000,0.000000,1.491000,5.300000,20.000000,216.433000,160.090000,4.330000,40.210000,0.000000,68.100000,7.572000,0.000000,1.429000,5.300000,35.000000,216.217000,159.860000,4.330000,40.210000,0.000000,68.100000,10.758000,0.000000,2.030000,5.300000,35.000000,211.540000,158.010000,33.430000,15.840000,0.000000,0.539000,0.601000,-0.062000
1980-01-29,41.100000,18.688000,0.000000,1.471000,12.700000,20.000000,232.079000,216.430000,4.460000,41.590000,0.000000,41.100000,17.634000,0.000000,1.389000,12.700000,35.000000,231.818000,216.220000,4.460000,41.590000,0.000000,41.100000,18.430000,0.000000,1.451000,12.700000,35.000000,227.047000,211.540000,34.460000,16.330000,0.000000,-0.020000,0.062000,-0.082000
1980-02-13,66.000000,4.970000,27.459000,0.904000,5.500000,20.000000,211.866000,154.770000,6.160000,40.610000,0.000000,66.000000,4.647000,0.000000,0.845000,5.500000,35.000000,211.854000,154.760000,6.160000,40.610000,0.000000,66.000000,2.853000,0.000000,0.519000,5.500000,35.000000,201.911000,142.330000,48.190000,18.860000,0.000000,-0.385000,-0.326000,-0.059000
1980-02-14,82.400000,60.122000,39.233000,47.710000,1.260000,20.000000,228.210000,211.870000,6.280000,41.800000,0.000000,82.400000,58.630000,46.731000,92.714000,0.632000,35.000000,228.534000,211.850000,6.280000,41.800000,0.000000,82.400000,59.909000,46.731000,94.094000,0.637000,35.000000,218.584000,201.910000,49.170000,19.330000,0.000000,46.384000,1.380000,45.004000
1980-02-15,115.700000,88.970000,47.392000,63.938000,1.392000,20.000000,244.682000,228.210000,6.310000,42.160000,0.000000,115.700000,87.271000,62.662000,94.531000,0.923000,35.000000,245.449000,228.530000,6.310000,42.160000,0.000000,115.700000,90.494000,62.662000,98.022000,0.923000,35.000000,234.962000,218.580000,49.470000,19.480000,0.000000,34.084000,3.491000,30.593000
1980-02-16,54.300000,35.056000,29.810000,48.209000,0.727000,20.000000,249.593000,244.680000,6.360000,42.730000,0.000000,54.300000,33.702000,34.852000,245.153000,0.137000,35.000000,249.593000,245.450000,6.360000,42.730000,0.000000,54.300000,27.064000,34.852000,3.261000,8.300000,35.000000,248.415000,234.960000,49.920000,19.700000,0.000000,-44.948000,-241.892000,196.944000
1980-02-17,54.800000,40.179000,30.444000,30.205000,1.330000,20.000000,249.324000,249.590000,6.370000,42.820000,0.000000,54.800000,37.611000,35.579000,66.998000,0.561000,32.400000,249.596000,249.590000,6.370000,42.820000,0.000000,54.800000,37.540000,36.621000,131.845000,0.285000,32.400000,248.449000,248.410000,50.020000,19.750000,0.000000,101.640000,64.847000,36.793000
