selected_by,return_period_years,date,precipitation_mm,antecedent_5d_precipitation_mm,antecedent_30d_precipitation_mm,intensity_10min_mm_h,storm_duration_h,burned_peak_m3s,burned_surface_runoff_mm,burned_lateral_flow_mm,burned_baseflow_mm,burned_percolation_mm,burned_et_mm,burned_antecedent_30d_et_mm,burned_streamflow_mm,burned_prior_day_channel_storage_m3,undisturbed_peak_m3s,undisturbed_surface_runoff_mm,undisturbed_lateral_flow_mm,undisturbed_baseflow_mm,undisturbed_percolation_mm,undisturbed_et_mm,undisturbed_antecedent_30d_et_mm,undisturbed_streamflow_mm,undisturbed_prior_day_channel_storage_m3,burned_minus_undisturbed_peak_m3s
burned,10,1982-11-30,75.5737,31.0037,169.0758,107.5865,1.9000,106.0048,38.2084,0.4024,1.3261,2.8157,2.1843,38.5011,39.9369,32.4400,94.9717,36.4710,0.8788,0.3619,1.0911,2.2840,46.1252,37.7117,12.7000,11.0331
undisturbed,20,1983-03-01,134.2999,157.4506,227.3984,32.6750,9.3000,62.6532,102.2664,6.1226,4.1606,15.8200,2.3072,51.6019,112.5496,116.4900,161.6370,104.5257,6.5731,3.3253,13.8016,2.4290,71.0780,114.4241,107.6900,-98.9839
burned,25,1995-01-03,158.6233,0.0000,43.5545,115.9177,12.5000,145.5507,93.3144,0.4963,0.3004,0.8961,1.4023,25.0777,94.1112,11.2200,138.3822,92.1894,1.2221,0.0000,0.0000,1.3802,27.8666,93.4115,0.1100,7.1685
undisturbed,25,1995-01-10,134.4839,207.8099,448.1869,32.4486,4.9000,50.0585,104.6995,6.9275,3.6668,18.0840,1.8987,34.4943,115.2938,125.2300,174.6668,103.6820,8.1652,2.0590,17.5483,1.9617,38.1235,113.9062,119.6300,-124.6083
undisturbed,5,1996-02-20,101.9254,98.8918,193.2541,49.7682,7.0000,73.6261,77.7169,2.6569,1.3892,6.5491,1.4858,40.5000,81.7630,40.1400,112.5116,77.9361,2.4463,0.2894,1.5830,1.4913,62.8009,80.6718,27.7900,-38.8855
undisturbed,10,2005-01-09,91.5364,109.6603,585.8274,30.6451,11.8000,50.3399,61.9948,4.7790,5.3632,13.3535,1.4548,27.4101,72.1370,109.6800,138.1937,64.1193,5.8016,4.1564,13.3317,1.4784,44.3456,74.0773,104.3500,-87.8538
undisturbed,2,2005-02-21,64.7466,174.6211,293.3485,40.9798,4.5000,55.5777,37.4153,5.9041,4.5085,15.6172,1.9234,41.5903,47.8280,121.0500,87.6170,36.4441,7.0164,3.9444,15.5260,1.9866,60.4853,47.4048,123.8000,-32.0393
burned,5,2019-01-16,49.2780,105.7891,162.1959,83.7582,5.8000,83.9514,27.6448,4.2603,2.9752,13.8268,0.7952,20.2447,34.8802,90.8500,64.5996,22.8419,4.9614,2.0839,13.8815,0.7835,39.4103,29.8872,85.4100,19.3517
burned,2,2021-12-29,104.6338,49.2971,219.4626,49.7235,4.2000,63.1653,54.5427,1.5406,3.3536,9.2555,0.9446,27.1177,59.4370,75.9500,96.7487,53.8352,2.3823,2.2142,9.2695,0.9377,25.3740,58.4318,61.1900,-33.5834
burned,20,2021-12-30,75.9254,140.5648,324.0964,102.2931,3.1000,124.3799,53.4679,3.7299,3.6960,11.9127,0.6032,27.8740,60.8937,82.5500,128.9107,51.1602,4.9333,2.6161,12.2603,0.5959,26.2806,58.7095,79.0300,-4.5308
