year,sim_day_index,julian,month,day_of_month,water_year,n_ofe,audit_full_physical_closure_residual_mm,audit_full_implied_unresolved_term_mm,audit_full_max_abs_ofe_closure_residual_mm,audit_full_outlier_ofe_id,audit_full_outlier_ofe_closure_residual_mm,audit_chain_max_abs_subsurface_transfer_residual_m3,audit_chain_max_abs_surface_transfer_residual_m3_geometry_sensitive,audit_outlet_ofe_id,audit_outlet_runvol_vs_qofe_residual_m3,audit_closure_reconstructed_with_storage_mm,audit_closure_reconstructed_with_enriched_storage_mm,audit_runoff_consistency_mm,audit_rain_melt_reported_mm,audit_precip_reported_mm,audit_runoff_reported_mm,ofe_up,ofe_down,audit_chain_subsurface_transfer_residual_m3,audit_chain_surface_transfer_residual_m3_geometry_sensitive,abs_chain_subsurface_transfer_residual_m3,abs_chain_surface_transfer_residual_m3_geometry_sensitive,abs_full_physical_closure_residual_mm,abs_outlet_runvol_vs_qofe_residual_m3
3,785,55,2,24,3,1,-78.08999999999995,-78.08999999999995,78.08999999999995,1,-78.08999999999995,,,1,0.0,0.010000000000005116,0.010000000000005116,0.0,0.0,78.10000000000001,0.0,,,,,,,78.08999999999995,0.0
33,11714,26,1,26,33,1,72.13649000000004,72.13649000000004,72.13648999999998,1,72.13648999999998,,,1,-0.01668323000194505,-0.003484324525768301,-0.003484324525768301,0.0,72.14,0.0,15.263484324525642,,,,,,,72.13649000000004,0.01668323000194505
3,791,61,3,2,3,1,70.01396000000022,70.01396000000022,70.01396000000011,1,70.01396000000011,,,1,0.02828107999994245,0.013916475446144716,0.013916475446144716,0.0,70.0,0.0,14.33608352455396,,,,,,,70.01396000000022,0.02828107999994245
15,5138,25,1,25,15,1,-62.29999999999998,-62.29999999999998,62.29999999999993,1,-62.29999999999993,,,1,0.0,1.8474111129762605e-13,1.8474111129762605e-13,0.0,0.0,62.300000000000004,0.0,,,,,,,62.29999999999998,0.0
36,12834,51,2,20,36,1,-57.50000000000008,-57.50000000000008,57.49999999999995,1,-57.49999999999995,,,1,0.0,4.973799150320701e-14,4.973799150320701e-14,0.0,0.0,57.5,0.0,,,,,,,57.50000000000008,0.0
33,11694,6,1,6,33,1,-56.98999999999999,-56.98999999999999,56.98999999999992,1,-56.98999999999992,,,1,0.0,0.010000000000083276,0.010000000000083276,0.0,0.0,57.0,0.0,,,,,,,56.98999999999999,0.0
10,3310,23,1,23,10,1,51.09053999999999,51.09053999999999,51.09054000000002,1,51.09054000000002,,,1,-0.10338258000047063,0.0006991056876977098,0.0006991056876977098,0.0,55.09000000000001,4.0,15.619300894312321,,,,,,,51.09053999999999,0.10338258000047063
3,1086,356,12,22,4,1,50.700000000000145,50.700000000000145,50.700000000000045,1,50.700000000000045,,,1,0.0,4.529709940470639e-14,4.529709940470639e-14,0.0,50.7,0.0,0.0,,,,,,,50.700000000000145,0.0
3,1084,354,12,20,4,1,-50.70000000000012,-50.70000000000012,50.700000000000074,1,-50.700000000000074,,,1,0.0,-7.105427357601002e-14,-7.105427357601002e-14,0.0,0.0,50.7,0.0,,,,,,,50.70000000000012,0.0
50,18252,355,12,21,51,1,-49.69000000000003,-49.69000000000003,49.69000000000002,1,-49.69000000000002,,,1,0.0,0.0099999999999838,0.0099999999999838,0.0,0.0,49.7,0.0,,,,,,,49.69000000000003,0.0
23,8385,350,12,16,24,1,-47.71999999999993,-47.71999999999993,47.71999999999995,1,-47.71999999999995,,,1,0.0,5.684341886080802e-14,5.684341886080802e-14,0.0,1.48,49.2,0.0,,,,,,,47.71999999999993,0.0
6,1882,56,2,25,6,1,47.30999999999996,47.30999999999996,47.309999999999974,1,47.309999999999974,,,1,0.0,0.01000000000009127,0.01000000000009127,0.0,47.3,0.0,0.0,,,,,,,47.30999999999996,0.0
