|||"Loess"||"1158533"|"1498490"
|||"Loess"||"1158644"|"1499817"
|||"Loess"||"1158754"|"1498574"
|||"Loess"||"1158978"|"1499938"
|||"Alluvium"||"1159199"|"1499375"
|||"Loess"||"1159311"|"1499417"
2|||"Residuum"|"Granite"|"1159405"|"1498807"
1|||"Volcanic ash"||"1159405"|"1500092"
2|||"Colluvium"||"1159405"|"1500735"
|||"Alluvium"||"1159423"|"1500742"
|||"Loess"||"1159756"|"1500218"
|||"Loess"||"1159868"|"1499616"
|||"Loess"||"1159978"|"1499653"
