run,file,size_bytes,sha256
ca,H.element.parquet,597894,6cc4f3f7c560ea0b47aac93742225fd55e9a9b74f042ad673de9517ed5b986a2
ca,H.loss.parquet,110762,566fdd09c9151658b6227585c7219cfc52a313233edacc315963d836f22dac7c
ca,H.pass.parquet,3615264,51d15ec69e4f07a43eed94e21011df12ffa72ef10ebaf64af7af9055ba6d01a7
ca,H.soil.parquet,1966339,634f560661045e293cd0787ae86a44b8ac4dbd31d9bb08c2a4179105343f4de8
ca,H.wat.parquet,3300512,796a97ddcd73c64b610ad4629b379fc7273eb172e5c6ddc94309752d0b6616f1
ca,chan.out.parquet,494208,64c5c0380835861bdf317e603a10e358f96aa21f29fa8bd9ad7b63a5187fdc21
ca,chanwb.parquet,1280124,92f09f3853430ed1a6a154deef58f48f828f7f42a1a2ad92ecee9220e3ec94b8
ca,chnwb.parquet,2291340,0b328b44b02666c39df28c33031436486ca94c99fb36991a72adf0d45f940bda
ca,ebe_pw0.parquet,1310720,941969d461be240923fd15245b26ebea77d99e7ec0c5e8206d3e181e5b917b3f
ca,loss_pw0.all_years.chn.parquet,10040,69bc065d78f9ab7b3fbbcd5ce43cea2f510ed7078e5fb3fd9343e5e3a358d90f
ca,loss_pw0.all_years.class_data.parquet,4538,ca13124b133e503ef24628f701d4f267b646dcca3dd62ef9b34c0707d63fa834
ca,loss_pw0.all_years.hill.parquet,12931,8ab8c758c4cf0825080714236267a4dc8b087dc834524e9b129cca7481b04fb4
ca,loss_pw0.all_years.out.parquet,2950,b5c53f12f4e43db3b2764d9697f8f9d0c6e5b458b8cbe82a431f705b402542f0
ca,loss_pw0.chn.parquet,6200,758434dcb0e2c9300208319d9c050d4f22a601e54b67aedaa305c9fd7a83005a
ca,loss_pw0.class_data.parquet,4005,72ce81d3084fcd45346974ae22b31962eb503609a26dc67677e7c8d8ffbea8e1
ca,loss_pw0.hill.parquet,6719,9311b5a2059793d7d2901659c28f9601646dca19ecb17c328d551c6bec368739
ca,loss_pw0.out.parquet,2280,62820dba0e79242bd139c8c7ad02318ff3b8e553e76149c9e26073ea09d897d7
ca,pass_pw0.events.parquet,3997494,570e0cfd7625b7846819668cb94efc20326ca979b02d8a798006075e3f35b5dc
ca,pass_pw0.metadata.parquet,5976,84c1f76bc17363b159c953f90f420c445a728191f9dbaa403b17729c92503242
ca,return_period_event_ranks.parquet,1027508,732d24badf04bac9a845e457e22d4cd69c5d54ff3a0b144bde3c4fd4dd221150
ca,return_period_events.parquet,2446827,a006ddcd614029adc76441974aa812ed48d30ea337c39403a46971546e463e05
ca,soil_pw0.parquet,696061,0c86b7f606fff66e8455889d13cfd33414b87ad492f19f56d5f82aa1a05159e3
ca,tc_out.parquet,45967,5f7a627f47bb6a2e07285dc34a08a1ba58a80a912b6633f1cb03d7f4f011fc2d
ca,totalwatsed3.parquet,684548,44c4ca073db220d706ac79ba22e84d944dd29f8602aa4602141a75d4c65b502c
