wepp_id,burned,baseline,dispersion_high,dispersion_low,dispersion_medium
169,0.000746,8.26,7.32,7.43,7.38
172,9.6,33.4,32.5,31.4,30.4
173,9.32,42.5,42.7,40.4,39.9
193,150.0,223.0,225.0,221.0,221.0
