wepp_id,lane,events,median_percent_change,p05_percent_change,p95_percent_change
169,dispersion_low,15,-4.421052631578936,-8.359355431243223,-3.565547281157794
169,dispersion_medium,15,-8.752025931928697,-13.557035663097547,-7.462214268282764
169,dispersion_high,15,-12.421052631578943,-12.752986251972048,-10.966101694915253
172,dispersion_low,283,0.0,0.0,0.0
172,dispersion_medium,283,0.0,0.0,0.9048437462177066
172,dispersion_high,283,0.0,0.0,2.7273862622658034
173,dispersion_low,286,0.0,0.0,0.0
173,dispersion_medium,286,0.0,0.0,0.5789221173836734
173,dispersion_high,286,0.0,0.0,0.7437658895440069
193,dispersion_low,10187,0.0,0.0,0.0
193,dispersion_medium,10187,0.0,0.0,0.0
193,dispersion_high,10187,0.0,0.0,0.0
