Scenario,n (ranks 4-30),Median Teff (hr),IQR Teff (hr),Median Qp/V (1/s),IQR Qp/V (1/s)
undisturbed,27,0.9894768859649122,0.7885--1.157,0.0002807319521232637,0.0002402--0.0003525
uniform_moderate,27,1.0679128,0.6579--1.403,0.0002601127898998661,0.0001982--0.0004222
uniform_high,27,0.6379242242242242,0.5664--0.9452,0.0004354400839936462,0.0002947--0.0004905
