scenario,sediment_tonne_yr,water_m3_yr,hillslope_soil_loss_tonne_yr,channel_soil_loss_tonne_yr,sediment_delivery_ratio,hillslopes,mofe_hillslopes,mofe_segments,dominant_management_counts,management_parameters,landuse_nodb_sha256
uniform_low,237.3,20046158.0,121.6,234.4,0.667,455,455,1065,"{""406"": 455}","{""406"": {""cancov"": 0.75, ""desc"": ""Low Severity Fire"", ""disturbed_class"": ""forest low sev fire"", ""inrcov"": 0.85, ""rilcov"": 0.85}}",446d54c35f316259e77aac948a3b8a713f712fbf2166ed1e1e9b308fe4ea99d9
uniform_moderate,237.3,20046158.0,121.6,234.4,0.667,455,455,1065,"{""418"": 455}","{""418"": {""cancov"": 0.6, ""desc"": ""Moderate Severity Fire"", ""disturbed_class"": ""forest moderate sev fire"", ""inrcov"": 0.6, ""rilcov"": 0.6}}",f776daa9a867d5dd6b524ca9a586b0c1aede8ef32261bd1de18e3aecf71e3210
uniform_high,265.4,20075650.0,246.8,236.8,0.549,455,455,1065,"{""405"": 455}","{""405"": {""cancov"": 0.4, ""desc"": ""High Severity Fire"", ""disturbed_class"": ""forest high sev fire"", ""inrcov"": 0.3, ""rilcov"": 0.3}}",dcbc3eebde926bf673666106971f149def18abece7c575c5c105138e072a21ff
prescribed_fire,288.1,20137835.0,931367.6,228.3,0.0,455,455,1065,"{""410"": 21, ""424"": 434}","{""410"": {""cancov"": 0.85, ""desc"": ""Prescribed Fire"", ""disturbed_class"": ""forest prescribed fire"", ""inrcov"": 0.85, ""rilcov"": 0.85}, ""424"": {""cancov"": 0.4, ""desc"": ""Thinning 75 Cover"", ""disturbed_class"": ""thinning_40_75"", ""inrcov"": 0.75, ""rilcov"": 0.75}}",51b502de9eebdd80e7dc86baa64245de866206536567be7555a0a0c09a56de36
thinning_40_75,281.8,20156975.0,931358.2,228.3,0.0,455,455,1065,"{""424"": 455}","{""424"": {""cancov"": 0.4, ""desc"": ""Thinning 75 Cover"", ""disturbed_class"": ""thinning_40_75"", ""inrcov"": 0.75, ""rilcov"": 0.75}}",b2475a8a86dfcab2a6e9d0edddaa24fbd52724732fcc40b3c69d4739e1ddcd6f
thinning_65_85,280.7,20145464.0,931357.1,228.2,0.0,455,455,1065,"{""424"": 434, ""426"": 21}","{""424"": {""cancov"": 0.4, ""desc"": ""Thinning 75 Cover"", ""disturbed_class"": ""thinning_40_75"", ""inrcov"": 0.75, ""rilcov"": 0.75}, ""426"": {""cancov"": 0.65, ""desc"": ""Thinning 65/85 Cover (Skidder)"", ""disturbed_class"": ""thinning_65_85"", ""inrcov"": 0.85, ""rilcov"": 0.85}}",ee6735a32b97abf8325a2597336df72322d010987b38a1eaa10daa647d7ff7fc
