contrast_id,key,export_control,baseline_control
1,Avg. Ann. water discharge from outlet,19749684.0,19187434.0
1,Avg. Ann. total hillslope soil loss,143.5,109.7
1,Avg. Ann. total channel soil loss,1172.3,1162.6
1,Avg. Ann. sediment discharge from outlet,438.0,426.9
1,Sediment Delivery Ratio for Watershed,0.333,0.335
2,Avg. Ann. water discharge from outlet,19591228.0,19187434.0
2,Avg. Ann. total hillslope soil loss,124.7,109.7
2,Avg. Ann. total channel soil loss,1168.2,1162.6
2,Avg. Ann. sediment discharge from outlet,422.1,426.9
2,Sediment Delivery Ratio for Watershed,0.326,0.335
3,Avg. Ann. water discharge from outlet,19851464.0,19187434.0
3,Avg. Ann. total hillslope soil loss,143.4,109.7
3,Avg. Ann. total channel soil loss,1172.0,1162.6
3,Avg. Ann. sediment discharge from outlet,456.3,426.9
3,Sediment Delivery Ratio for Watershed,0.347,0.335
4,Avg. Ann. water discharge from outlet,19602366.0,19187434.0
4,Avg. Ann. total hillslope soil loss,123.2,109.7
4,Avg. Ann. total channel soil loss,1167.8,1162.6
4,Avg. Ann. sediment discharge from outlet,439.3,426.9
4,Sediment Delivery Ratio for Watershed,0.34,0.335
5,Avg. Ann. water discharge from outlet,19874988.0,19187434.0
5,Avg. Ann. total hillslope soil loss,126.0,109.7
5,Avg. Ann. total channel soil loss,1187.8,1162.6
5,Avg. Ann. sediment discharge from outlet,445.6,426.9
5,Sediment Delivery Ratio for Watershed,0.339,0.335
6,Avg. Ann. water discharge from outlet,19712614.0,19187434.0
6,Avg. Ann. total hillslope soil loss,114.9,109.7
6,Avg. Ann. total channel soil loss,1180.3,1162.6
6,Avg. Ann. sediment discharge from outlet,436.4,426.9
6,Sediment Delivery Ratio for Watershed,0.337,0.335
7,Avg. Ann. water discharge from outlet,19191948.0,19187434.0
7,Avg. Ann. total hillslope soil loss,110.2,109.7
7,Avg. Ann. sediment discharge from outlet,427.1,426.9
7,Sediment Delivery Ratio for Watershed,0.336,0.335
8,Avg. Ann. water discharge from outlet,19189694.0,19187434.0
8,Avg. Ann. total hillslope soil loss,109.9,109.7
8,Avg. Ann. sediment discharge from outlet,427.0,426.9
8,Sediment Delivery Ratio for Watershed,0.336,0.335
9,Avg. Ann. water discharge from outlet,19190216.0,19187434.0
9,Avg. Ann. total hillslope soil loss,109.9,109.7
9,Avg. Ann. sediment discharge from outlet,427.3,426.9
9,Sediment Delivery Ratio for Watershed,0.336,0.335
10,Avg. Ann. water discharge from outlet,19189054.0,19187434.0
10,Avg. Ann. total hillslope soil loss,109.8,109.7
10,Avg. Ann. sediment discharge from outlet,427.1,426.9
10,Sediment Delivery Ratio for Watershed,0.336,0.335
11,Avg. Ann. water discharge from outlet,20453026.0,19187434.0
11,Avg. Ann. total hillslope soil loss,237.0,109.7
11,Avg. Ann. total channel soil loss,1211.3,1162.6
11,Avg. Ann. sediment discharge from outlet,464.6,426.9
11,Sediment Delivery Ratio for Watershed,0.321,0.335
12,Avg. Ann. water discharge from outlet,19990664.0,19187434.0
12,Avg. Ann. total hillslope soil loss,165.2,109.7
12,Avg. Ann. total channel soil loss,1191.4,1162.6
12,Avg. Ann. sediment discharge from outlet,433.1,426.9
12,Sediment Delivery Ratio for Watershed,0.319,0.335
13,Avg. Ann. water discharge from outlet,19804548.0,19187434.0
13,Avg. Ann. total hillslope soil loss,129.0,109.7
13,Avg. Ann. total channel soil loss,1188.1,1162.6
13,Avg. Ann. sediment discharge from outlet,427.1,426.9
13,Sediment Delivery Ratio for Watershed,0.324,0.335
14,Avg. Ann. water discharge from outlet,19638078.0,19187434.0
14,Avg. Ann. total hillslope soil loss,116.5,109.7
14,Avg. Ann. total channel soil loss,1180.7,1162.6
14,Avg. Ann. sediment discharge from outlet,427.7,426.9
14,Sediment Delivery Ratio for Watershed,0.33,0.335
15,Avg. Ann. water discharge from outlet,19974140.0,19187434.0
15,Avg. Ann. total hillslope soil loss,125.7,109.7
15,Avg. Ann. total channel soil loss,1189.9,1162.6
15,Avg. Ann. sediment discharge from outlet,433.8,426.9
15,Sediment Delivery Ratio for Watershed,0.33,0.335
16,Avg. Ann. water discharge from outlet,19815098.0,19187434.0
16,Avg. Ann. total hillslope soil loss,115.5,109.7
16,Avg. Ann. total channel soil loss,1182.9,1162.6
16,Avg. Ann. sediment discharge from outlet,432.2,426.9
16,Sediment Delivery Ratio for Watershed,0.333,0.335
17,Avg. Ann. water discharge from outlet,19348942.0,19187434.0
17,Avg. Ann. total hillslope soil loss,112.4,109.7
17,Avg. Ann. total channel soil loss,1165.9,1162.6
17,Avg. Ann. sediment discharge from outlet,427.8,426.9
18,Avg. Ann. water discharge from outlet,19308448.0,19187434.0
18,Avg. Ann. total hillslope soil loss,110.4,109.7
18,Avg. Ann. total channel soil loss,1165.1,1162.6
18,Avg. Ann. sediment discharge from outlet,427.5,426.9
19,Avg. Ann. water discharge from outlet,19272446.0,19187434.0
19,Avg. Ann. total hillslope soil loss,111.2,109.7
19,Avg. Ann. total channel soil loss,1164.3,1162.6
19,Avg. Ann. sediment discharge from outlet,427.7,426.9
20,Avg. Ann. water discharge from outlet,19251334.0,19187434.0
20,Avg. Ann. total hillslope soil loss,110.2,109.7
20,Avg. Ann. total channel soil loss,1163.8,1162.6
20,Avg. Ann. sediment discharge from outlet,427.1,426.9
21,Avg. Ann. water discharge from outlet,20233748.0,19187434.0
21,Avg. Ann. total hillslope soil loss,150.3,109.7
21,Avg. Ann. total channel soil loss,1208.5,1162.6
21,Avg. Ann. sediment discharge from outlet,435.3,426.9
21,Sediment Delivery Ratio for Watershed,0.32,0.335
22,Avg. Ann. water discharge from outlet,19935506.0,19187434.0
22,Avg. Ann. total hillslope soil loss,122.8,109.7
22,Avg. Ann. total channel soil loss,1193.8,1162.6
22,Avg. Ann. sediment discharge from outlet,430.6,426.9
22,Sediment Delivery Ratio for Watershed,0.327,0.335
23,Avg. Ann. water discharge from outlet,20749296.0,19187434.0
23,Avg. Ann. total hillslope soil loss,139.2,109.7
23,Avg. Ann. total channel soil loss,1239.8,1162.6
23,Avg. Ann. sediment discharge from outlet,425.2,426.9
23,Sediment Delivery Ratio for Watershed,0.308,0.335
24,Avg. Ann. water discharge from outlet,20384274.0,19187434.0
24,Avg. Ann. total hillslope soil loss,118.8,109.7
24,Avg. Ann. total channel soil loss,1219.9,1162.6
24,Avg. Ann. sediment discharge from outlet,424.0,426.9
24,Sediment Delivery Ratio for Watershed,0.317,0.335
25,Avg. Ann. water discharge from outlet,21151896.0,19187434.0
25,Avg. Ann. total hillslope soil loss,171.5,109.7
25,Avg. Ann. total channel soil loss,1283.9,1162.6
25,Avg. Ann. sediment discharge from outlet,460.9,426.9
25,Sediment Delivery Ratio for Watershed,0.317,0.335
26,Avg. Ann. water discharge from outlet,20792954.0,19187434.0
26,Avg. Ann. total hillslope soil loss,127.4,109.7
26,Avg. Ann. total channel soil loss,1256.9,1162.6
26,Avg. Ann. sediment discharge from outlet,444.3,426.9
26,Sediment Delivery Ratio for Watershed,0.321,0.335
27,Avg. Ann. water discharge from outlet,19531450.0,19187434.0
27,Avg. Ann. total hillslope soil loss,119.7,109.7
27,Avg. Ann. total channel soil loss,1178.0,1162.6
27,Avg. Ann. sediment discharge from outlet,430.0,426.9
27,Sediment Delivery Ratio for Watershed,0.331,0.335
28,Avg. Ann. water discharge from outlet,19459180.0,19187434.0
28,Avg. Ann. total hillslope soil loss,113.1,109.7
28,Avg. Ann. total channel soil loss,1174.6,1162.6
28,Avg. Ann. sediment discharge from outlet,428.7,426.9
28,Sediment Delivery Ratio for Watershed,0.333,0.335
29,Avg. Ann. water discharge from outlet,19839920.0,19187434.0
29,Avg. Ann. total hillslope soil loss,139.8,109.7
29,Avg. Ann. total channel soil loss,1197.5,1162.6
29,Avg. Ann. sediment discharge from outlet,438.4,426.9
29,Sediment Delivery Ratio for Watershed,0.328,0.335
30,Avg. Ann. water discharge from outlet,19720436.0,19187434.0
30,Avg. Ann. total hillslope soil loss,119.3,109.7
