contrast_id,group,scenario,selected_hillslopes,treated_hillslopes,selected_area_ha,treated_area_ha,area_ha,delta_area_ha,precip_m3_yr,delta_precip_m3_yr,water_m3_yr,delta_water_m3_yr,hillslope_loss_t_yr,delta_hillslope_loss_t_yr,channel_loss_t_yr,delta_channel_loss_t_yr,outlet_sediment_t_yr,delta_outlet_sediment_t_yr,delta_local_hillslope_loss_t_yr,delta_local_hillslope_delivery_t_yr,delta_outlet_sediment_t_yr_per_treated_ha,delta_water_m3_yr_per_treated_ha,water_m3_annual_increase_years,water_m3_annual_delta_median,water_m3_annual_delta_p05,water_m3_annual_delta_p95,outlet_sediment_t_annual_increase_years,outlet_sediment_t_annual_delta_median,outlet_sediment_t_annual_delta_p05,outlet_sediment_t_annual_delta_p95
1,1,thinning_30_75,183,173,2338.1009999999997,2309.0339999999997,26992.7,0.0,151085600.0,0.0,19749684.0,562250.0,143.5,33.8,1172.3,9.700000000000045,438.0,11.100000000000023,33.786100000000005,33.78510000000001,0.004807205090960127,243.50009571102032,100,468292.5,205761.7,1290350.9,32,-4.649999999999977,-73.305,287.85499999999985
2,1,thinning_65_90,183,173,2338.1009999999997,2309.0339999999997,26992.7,0.0,151085600.0,0.0,19591228.0,403794.0,124.7,15.0,1168.2,5.600000000000136,422.1,-4.7999999999999545,14.937299999999999,14.9373,-0.0020787913906854362,174.8757272521756,100,347740.5,139432.5,890404.8999999999,35,-2.6499999999999986,-62.52000000000003,19.17499999999993
3,2,thinning_30_75,296,249,3788.0199999999995,3321.738,26992.7,0.0,151085600.0,0.0,19851464.0,664030.0,143.4,33.7,1172.0,9.400000000000091,456.3,29.400000000000034,33.6728,33.6727,0.008850788352362539,199.90438740201665,100,532783.0,207052.95,1778143.4,71,2.25,-49.09500000000001,262.8549999999999
4,2,thinning_65_90,296,249,3788.0199999999995,3321.738,26992.7,0.0,151085600.0,0.0,19602366.0,414932.0,123.2,13.5,1167.8,5.2000000000000455,439.3,12.400000000000034,13.4425,13.442900000000002,0.003732985563581485,124.9141262796765,100,304884.0,100443.95,1123728.5,70,1.5,-20.14999999999997,40.06499999999954
5,3,thinning_30_75,80,79,997.576,980.5640000000001,26992.7,0.0,151085600.0,0.0,19874988.0,687554.0,126.0,16.299999999999997,1187.8,25.200000000000045,445.6,18.700000000000045,16.2421,16.2421,0.019070657295189343,701.1821767880525,100,637400.5,382338.9,1220240.5999999999,100,9.100000000000009,2.8949999999999987,43.33499999999979
6,3,thinning_65_90,80,79,997.576,980.5640000000001,26992.7,0.0,151085600.0,0.0,19712614.0,525180.0,114.9,5.200000000000003,1180.3,17.700000000000045,436.4,9.5,5.123399999999999,5.123399999999999,0.009688301834454457,535.589721833557,100,489170.0,268091.3,913833.2999999999,95,5.900000000000006,0.7350000000000043,25.124999999999908
7,4,thinning_30_75,5,3,90.101,67.235,26992.7,0.0,151085600.0,0.0,19191948.0,4514.0,110.2,0.5,1162.6,0.0,427.1,0.20000000000004547,0.4192000000000001,0.4192000000000001,0.0029746411839078678,67.13765152078531,92,1005.0,-159.5999999999998,18504.499999999996,51,0.0999999999999659,-0.9100000000000065,2.3049999999999553
8,4,thinning_65_90,5,3,90.101,67.235,26992.7,0.0,151085600.0,0.0,19189694.0,2260.0,109.9,0.20000000000000284,1162.6,0.0,427.0,0.10000000000002274,0.1444,0.1444,0.0014873205919539339,33.61344537815126,87,88.0,-163.5499999999998,11150.699999999995,38,0.0,-0.7050000000000409,1.904999999999978
9,5,thinning_30_75,2,2,43.919,43.919,26992.7,0.0,151085600.0,0.0,19190216.0,2782.0,109.9,0.20000000000000284,1162.6,0.0,427.3,0.4000000000000341,0.1994,0.1994,0.009107675493522944,63.34388305744667,89,138.0,-8.2,14827.699999999995,48,0.0,-0.5999999999999958,2.3999999999999786
10,5,thinning_65_90,2,2,43.919,43.919,26992.7,0.0,151085600.0,0.0,19189054.0,1620.0,109.8,0.09999999999999432,1162.6,0.0,427.1,0.20000000000004547,0.0577,0.0577,0.004553837746762119,36.88608574876477,83,16.5,-13.299999999999999,8497.599999999999,44,0.0,-0.6999999999999893,1.9150000000000338
