contrast_id,group,scenario,topaz_id,treatment_changed
1,1,thinning_30_75,771,True
1,1,thinning_30_75,772,True
1,1,thinning_30_75,812,False
1,1,thinning_30_75,862,False
1,1,thinning_30_75,872,False
1,1,thinning_30_75,873,True
1,1,thinning_30_75,922,True
1,1,thinning_30_75,931,True
1,1,thinning_30_75,932,True
1,1,thinning_30_75,933,True
1,1,thinning_30_75,941,True
1,1,thinning_30_75,942,True
1,1,thinning_30_75,943,False
1,1,thinning_30_75,951,True
1,1,thinning_30_75,952,True
1,1,thinning_30_75,953,True
1,1,thinning_30_75,992,True
1,1,thinning_30_75,1022,True
1,1,thinning_30_75,1032,True
1,1,thinning_30_75,1033,True
1,1,thinning_30_75,1052,True
1,1,thinning_30_75,1061,True
1,1,thinning_30_75,1062,True
1,1,thinning_30_75,1063,True
1,1,thinning_30_75,1072,True
1,1,thinning_30_75,1073,True
1,1,thinning_30_75,1112,True
1,1,thinning_30_75,1122,True
1,1,thinning_30_75,1123,True
1,1,thinning_30_75,1132,True
1,1,thinning_30_75,1133,True
1,1,thinning_30_75,1162,True
1,1,thinning_30_75,1171,True
1,1,thinning_30_75,1172,True
1,1,thinning_30_75,1173,True
1,1,thinning_30_75,1181,True
1,1,thinning_30_75,1182,True
1,1,thinning_30_75,1183,True
1,1,thinning_30_75,1191,True
1,1,thinning_30_75,1192,True
1,1,thinning_30_75,1193,True
1,1,thinning_30_75,1201,True
1,1,thinning_30_75,1202,True
1,1,thinning_30_75,1203,True
1,1,thinning_30_75,1211,True
1,1,thinning_30_75,1212,True
1,1,thinning_30_75,1213,True
1,1,thinning_30_75,1271,True
1,1,thinning_30_75,1272,True
1,1,thinning_30_75,1273,True
1,1,thinning_30_75,1281,True
1,1,thinning_30_75,1282,True
1,1,thinning_30_75,1283,True
1,1,thinning_30_75,1342,True
1,1,thinning_30_75,1402,False
1,1,thinning_30_75,1452,False
1,1,thinning_30_75,1461,True
1,1,thinning_30_75,1462,True
1,1,thinning_30_75,1463,True
1,1,thinning_30_75,1501,True
1,1,thinning_30_75,1502,True
1,1,thinning_30_75,1503,True
1,1,thinning_30_75,1562,True
1,1,thinning_30_75,1602,False
1,1,thinning_30_75,1652,True
1,1,thinning_30_75,1661,True
1,1,thinning_30_75,1662,True
1,1,thinning_30_75,1663,True
1,1,thinning_30_75,1752,True
1,1,thinning_30_75,1762,True
1,1,thinning_30_75,1763,True
1,1,thinning_30_75,1871,True
1,1,thinning_30_75,1873,True
1,1,thinning_30_75,1881,True
1,1,thinning_30_75,1882,True
1,1,thinning_30_75,1883,True
1,1,thinning_30_75,1892,True
1,1,thinning_30_75,1893,True
1,1,thinning_30_75,2001,True
1,1,thinning_30_75,2002,True
1,1,thinning_30_75,2003,True
1,1,thinning_30_75,2012,True
1,1,thinning_30_75,2013,True
1,1,thinning_30_75,2101,True
