year,channel_loss_t,hillslope_loss_t,outlet_sediment_t,water_m3,scenario
1,966.3,0.0,118.5,19188254.0,undisturbed
2,946.8,1.9,279.3,16133710.0,undisturbed
3,1190.4,54.2,406.8,19571064.0,undisturbed
4,741.6,0.0,188.0,13221083.0,undisturbed
5,673.5,0.0,197.7,11914014.0,undisturbed
6,1802.4,202.7,723.7,28161706.0,undisturbed
7,1448.1,2.7,541.8,22768604.0,undisturbed
8,1093.9,0.5,399.6,17576826.0,undisturbed
9,757.3,42.7,341.4,13255725.0,undisturbed
10,705.1,6.5,174.4,12631517.0,undisturbed
11,1246.5,279.3,512.1,21812306.0,undisturbed
12,1192.0,1.9,334.4,19298348.0,undisturbed
13,2020.0,939.1,474.8,34568064.0,undisturbed
14,2435.1,15.7,1090.6,34932284.0,undisturbed
15,642.8,0.0,153.6,11400307.0,undisturbed
16,461.7,0.0,124.4,9945901.0,undisturbed
17,849.2,0.0,309.9,14160434.0,undisturbed
18,719.5,0.3,154.3,13765291.0,undisturbed
19,1027.6,1.4,459.5,16936810.0,undisturbed
20,536.9,0.5,134.8,10646272.0,undisturbed
21,481.4,0.0,112.0,9420957.0,undisturbed
22,475.1,5.5,129.0,9829045.0,undisturbed
23,1765.3,346.8,702.8,29270026.0,undisturbed
24,1223.0,0.0,348.6,19515804.0,undisturbed
25,227.1,0.0,40.5,5545136.0,undisturbed
26,2013.2,10.0,929.5,29347808.0,undisturbed
27,1101.7,16.7,327.3,16971830.0,undisturbed
28,837.4,0.5,243.7,14493967.0,undisturbed
29,935.3,0.0,187.8,15632326.0,undisturbed
30,3993.6,2953.8,2236.7,66585484.0,undisturbed
31,3118.9,1218.5,1391.7,51639292.0,undisturbed
32,1822.1,0.1,727.2,28687008.0,undisturbed
33,361.1,0.0,38.2,7819694.0,undisturbed
34,530.2,0.0,133.8,9959915.0,undisturbed
35,814.0,713.7,530.3,15354544.0,undisturbed
36,561.9,4.7,151.0,11109706.0,undisturbed
37,2260.6,252.7,952.7,34391264.0,undisturbed
38,1889.3,0.5,1003.9,27351058.0,undisturbed
39,777.2,2.7,268.9,13721540.0,undisturbed
40,965.7,48.4,332.0,17179734.0,undisturbed
41,1565.9,1.2,458.1,23305626.0,undisturbed
42,601.8,0.3,197.5,12562218.0,undisturbed
43,735.8,0.0,194.0,13760149.0,undisturbed
44,851.0,1.3,209.5,14272117.0,undisturbed
45,206.3,0.0,28.3,5527174.0,undisturbed
46,1178.0,0.3,411.1,18305108.0,undisturbed
47,1597.2,55.5,474.9,24676220.0,undisturbed
48,787.4,0.0,169.1,13951815.0,undisturbed
49,1205.4,0.0,526.3,20197254.0,undisturbed
50,1938.4,4.8,1139.7,28726062.0,undisturbed
51,488.1,39.9,68.1,9842133.0,undisturbed
52,678.0,0.1,203.9,12465017.0,undisturbed
53,2929.5,160.3,1180.9,43095588.0,undisturbed
54,1952.8,107.8,783.6,29949242.0,undisturbed
55,1844.9,34.4,468.8,28272026.0,undisturbed
56,1112.0,0.0,314.0,18431674.0,undisturbed
57,1012.8,0.0,366.4,16876156.0,undisturbed
58,388.4,0.0,136.2,7862803.0,undisturbed
59,3584.0,41.0,1578.4,52096156.0,undisturbed
60,1049.5,0.3,399.5,17627252.0,undisturbed
61,621.6,0.3,129.9,12589880.0,undisturbed
