year,delta_channel_loss_t,delta_hillslope_loss_t,delta_outlet_sediment_t,delta_water_m3,contrast_id,group,scenario
1,4.400000000000091,0.0,13.5,510520.0,1,1,thinning_30_75
2,7.400000000000091,0.6000000000000001,-15.300000000000011,563981.0,1,1,thinning_30_75
3,9.5,3.0999999999999943,-88.80000000000001,643348.0,1,1,thinning_30_75
4,3.8999999999999773,0.0,-51.400000000000006,409466.0,1,1,thinning_30_75
5,2.7000000000000455,0.0,-8.0,285830.0,1,1,thinning_30_75
6,8.5,26.900000000000006,311.70000000000005,578440.0,1,1,thinning_30_75
7,11.5,0.0,-24.5,592140.0,1,1,thinning_30_75
8,6.599999999999909,0.0,-3.7000000000000455,419344.0,1,1,thinning_30_75
9,2.900000000000091,0.0,3.6000000000000227,303080.0,1,1,thinning_30_75
10,2.3999999999999773,0.0,1.0999999999999943,262403.0,1,1,thinning_30_75
11,8.0,87.30000000000001,-79.10000000000002,745226.0,1,1,thinning_30_75
12,9.799999999999955,0.0,-14.099999999999966,717488.0,1,1,thinning_30_75
13,31.800000000000182,42.89999999999998,-44.60000000000002,1242044.0,1,1,thinning_30_75
14,38.5,0.0,-67.79999999999995,1365124.0,1,1,thinning_30_75
15,6.2000000000000455,0.0,-42.89999999999999,553279.0,1,1,thinning_30_75
16,1.8000000000000114,0.0,-3.6000000000000085,248746.0,1,1,thinning_30_75
17,2.099999999999909,0.0,0.5,232983.0,1,1,thinning_30_75
18,2.7999999999999545,0.39999999999999997,-6.400000000000006,284444.0,1,1,thinning_30_75
19,4.100000000000136,0.0,0.6999999999999886,322034.0,1,1,thinning_30_75
20,1.5,0.0,-4.5,227435.0,1,1,thinning_30_75
21,1.5,0.0,1.0999999999999943,227738.0,1,1,thinning_30_75
22,0.8999999999999773,-0.09999999999999964,-1.2999999999999972,205357.0,1,1,thinning_30_75
23,11.799999999999955,154.2,99.40000000000009,725606.0,1,1,thinning_30_75
24,13.599999999999909,0.0,-43.30000000000001,683572.0,1,1,thinning_30_75
25,1.200000000000017,0.0,-2.200000000000003,282730.0,1,1,thinning_30_75
26,12.799999999999955,2.1999999999999993,-1.7000000000000455,604886.0,1,1,thinning_30_75
27,9.299999999999955,0.0,-8.800000000000011,584276.0,1,1,thinning_30_75
28,7.0,5.7,1.200000000000017,447228.0,1,1,thinning_30_75
29,4.7000000000000455,0.0,-9.900000000000006,353056.0,1,1,thinning_30_75
30,32.40000000000009,1262.8000000000002,996.2000000000003,1428540.0,1,1,thinning_30_75
31,46.69999999999982,488.0999999999999,459.39999999999986,1661928.0,1,1,thinning_30_75
32,33.80000000000018,0.0,-0.10000000000002274,1269144.0,1,1,thinning_30_75
33,4.0,0.0,-5.600000000000001,473640.0,1,1,thinning_30_75
34,1.0,0.0,-2.200000000000017,194795.0,1,1,thinning_30_75
35,-2.3999999999999773,92.0,-141.09999999999997,281873.0,1,1,thinning_30_75
36,1.8999999999999773,0.0,-13.900000000000006,347708.0,1,1,thinning_30_75
37,10.0,3.6999999999999886,286.5999999999999,598540.0,1,1,thinning_30_75
38,18.600000000000136,1.2,-63.89999999999998,783348.0,1,1,thinning_30_75
39,6.599999999999909,0.0,2.400000000000034,457092.0,1,1,thinning_30_75
40,-0.5,0.30000000000000426,-8.899999999999977,266904.0,1,1,thinning_30_75
41,13.799999999999955,0.0,-117.70000000000005,834440.0,1,1,thinning_30_75
42,5.600000000000023,0.0,-22.599999999999994,470665.0,1,1,thinning_30_75
43,3.7000000000000455,0.0,-5.300000000000011,349293.0,1,1,thinning_30_75
44,2.6000000000000227,0.0,-11.699999999999989,335045.0,1,1,thinning_30_75
45,0.8999999999999773,0.0,-1.0,253768.0,1,1,thinning_30_75
46,2.900000000000091,0.0,4.699999999999989,302648.0,1,1,thinning_30_75
47,15.399999999999864,10.5,-4.7999999999999545,764374.0,1,1,thinning_30_75
48,9.399999999999977,0.0,-32.5,618883.0,1,1,thinning_30_75
49,7.699999999999818,0.0,6.2000000000000455,465634.0,1,1,thinning_30_75
50,14.399999999999864,0.0,7.7000000000000455,663998.0,1,1,thinning_30_75
51,2.099999999999966,-1.5,124.20000000000002,362996.0,1,1,thinning_30_75
52,2.3999999999999773,0.0,-14.599999999999994,264230.0,1,1,thinning_30_75
53,21.90000000000009,3.299999999999983,-14.100000000000136,858144.0,1,1,thinning_30_75
54,22.0,0.20000000000000284,-49.30000000000007,970140.0,1,1,thinning_30_75
55,22.399999999999864,-0.19999999999999574,-31.80000000000001,1048058.0,1,1,thinning_30_75
56,11.799999999999955,0.0,-64.30000000000001,689968.0,1,1,thinning_30_75
57,6.300000000000068,0.0,-11.5,413296.0,1,1,thinning_30_75
58,0.9000000000000341,0.0,0.6000000000000227,205783.0,1,1,thinning_30_75
59,42.30000000000018,374.5,378.5999999999999,1478340.0,1,1,thinning_30_75
60,14.0,0.0,-19.0,806658.0,1,1,thinning_30_75
61,3.1000000000000227,0.0,-5.300000000000011,338554.0,1,1,thinning_30_75
62,32.5,1.9000000000000057,-3.0,1287080.0,1,1,thinning_30_75
63,16.199999999999932,0.0,-22.19999999999999,910394.0,1,1,thinning_30_75
64,3.2000000000000455,0.0,-38.2,393438.0,1,1,thinning_30_75
65,7.2999999999999545,0.0,-8.699999999999989,428494.0,1,1,thinning_30_75
66,17.799999999999955,0.0,-47.5,775088.0,1,1,thinning_30_75
67,2.8000000000000114,0.0,-3.0999999999999943,375374.0,1,1,thinning_30_75
68,1.6000000000000227,115.40000000000009,373.09999999999997,349583.0,1,1,thinning_30_75
69,4.0,0.0,-15.0,483101.0,1,1,thinning_30_75
70,33.40000000000009,44.5,-29.700000000000045,1190500.0,1,1,thinning_30_75
71,19.600000000000023,0.0,-14.0,981686.0,1,1,thinning_30_75
72,5.199999999999932,0.0,-18.700000000000017,445089.0,1,1,thinning_30_75
73,2.599999999999909,444.5999999999999,2.3999999999999773,503328.0,1,1,thinning_30_75
74,14.100000000000136,0.0,-2.3999999999999773,847978.0,1,1,thinning_30_75
75,32.79999999999973,-0.7999999999999972,-32.0,1352498.0,1,1,thinning_30_75
76,24.5,0.0,0.7999999999999545,1104372.0,1,1,thinning_30_75
77,9.800000000000068,0.0,-41.60000000000002,690603.0,1,1,thinning_30_75
78,12.5,6.1,-73.0,682472.0,1,1,thinning_30_75
79,20.199999999999818,0.0,-18.199999999999932,759430.0,1,1,thinning_30_75
80,3.3999999999999773,0.0,-2.700000000000003,371856.0,1,1,thinning_30_75
81,8.0,0.0,3.800000000000068,465920.0,1,1,thinning_30_75
82,12.900000000000091,0.0,-5.699999999999989,689910.0,1,1,thinning_30_75
83,7.7000000000000455,0.0,-22.0,533402.0,1,1,thinning_30_75
84,2.5,0.0,2.0999999999999943,276617.0,1,1,thinning_30_75
85,9.799999999999955,0.0,6.600000000000023,565782.0,1,1,thinning_30_75
86,2.900000000000034,0.0,-0.20000000000000284,365028.0,1,1,thinning_30_75
87,3.8999999999999773,0.0,-1.099999999999966,357247.0,1,1,thinning_30_75
88,0.9000000000000057,0.0,-1.3999999999999986,235490.0,1,1,thinning_30_75
89,3.1000000000000227,0.0,0.799999999999983,328684.0,1,1,thinning_30_75
90,10.0,208.79999999999995,-406.79999999999995,569094.0,1,1,thinning_30_75
91,5.899999999999977,0.0,-8.099999999999994,570830.0,1,1,thinning_30_75
92,6.699999999999932,0.0,-2.3999999999999773,441179.0,1,1,thinning_30_75
93,1.7000000000000455,0.0,2.0999999999999943,234582.0,1,1,thinning_30_75
94,0.30000000000001137,0.0,0.20000000000000284,123398.0,1,1,thinning_30_75
95,5.100000000000136,0.0,4.2000000000000455,358444.0,1,1,thinning_30_75
96,8.900000000000091,0.0,3.8000000000000114,527180.0,1,1,thinning_30_75
97,1.6000000000000227,0.0,1.6000000000000014,274260.0,1,1,thinning_30_75
98,0.39999999999997726,0.0,-2.3000000000000114,153528.0,1,1,thinning_30_75
99,0.19999999999998863,0.0,1.7999999999999972,84053.0,1,1,thinning_30_75
100,1.5,0.0,-10.699999999999989,247446.0,1,1,thinning_30_75
1,2.900000000000091,0.0,6.5,438168.0,2,1,thinning_65_90
2,3.6000000000000227,0.0,-16.5,408500.0,2,1,thinning_65_90
3,3.3999999999998636,4.299999999999997,-4.5,388794.0,2,1,thinning_65_90
4,1.1999999999999318,0.0,-48.5,223937.0,2,1,thinning_65_90
5,0.5,0.0,-11.599999999999994,108765.0,2,1,thinning_65_90
6,5.699999999999818,22.900000000000006,30.09999999999991,425260.0,2,1,thinning_65_90
7,8.100000000000136,0.0,-10.799999999999955,476802.0,2,1,thinning_65_90
8,4.2999999999999545,0.0,3.3999999999999773,339974.0,2,1,thinning_65_90
9,1.5,0.0,3.0,216346.0,2,1,thinning_65_90
10,1.1999999999999318,0.0,4.400000000000006,182028.0,2,1,thinning_65_90
11,5.2999999999999545,65.69999999999999,-62.400000000000034,657778.0,2,1,thinning_65_90
12,6.0,0.0,-10.199999999999989,562242.0,2,1,thinning_65_90
13,15.5,24.899999999999977,18.599999999999966,737120.0,2,1,thinning_65_90
14,22.09999999999991,0.0,-40.0,888624.0,2,1,thinning_65_90
15,3.800000000000068,0.0,-31.39999999999999,415692.0,2,1,thinning_65_90
16,1.1999999999999886,0.0,-3.1000000000000085,199233.0,2,1,thinning_65_90
17,0.8999999999999773,0.0,0.10000000000002274,169594.0,2,1,thinning_65_90
18,0.8999999999999773,0.0,-6.600000000000023,152955.0,2,1,thinning_65_90
19,2.0,0.0,-0.30000000000001137,222372.0,2,1,thinning_65_90
20,0.6000000000000227,0.0,-0.9000000000000057,151155.0,2,1,thinning_65_90
21,0.5,0.0,0.4000000000000057,139764.0,2,1,thinning_65_90
22,0.2999999999999545,0.0,-0.8000000000000114,142878.0,2,1,thinning_65_90
23,5.7000000000000455,80.80000000000001,-10.699999999999932,508134.0,2,1,thinning_65_90
24,7.099999999999909,0.0,-45.30000000000001,442404.0,2,1,thinning_65_90
25,0.5,0.0,-2.6000000000000014,199538.0,2,1,thinning_65_90
26,6.2999999999999545,0.0,-1.0,387788.0,2,1,thinning_65_90
27,4.0,0.0,-8.600000000000023,355548.0,2,1,thinning_65_90
28,2.3999999999999773,0.0,-1.799999999999983,253925.0,2,1,thinning_65_90
29,1.900000000000091,0.0,-0.20000000000001705,243643.0,2,1,thinning_65_90
30,16.300000000000182,631.1999999999998,347.7000000000003,1105620.0,2,1,thinning_65_90
31,33.5,207.79999999999995,185.0,1335068.0,2,1,thinning_65_90
32,26.800000000000182,0.0,3.699999999999932,1064064.0,2,1,thinning_65_90
33,2.7999999999999545,0.0,-2.3000000000000043,398927.0,2,1,thinning_65_90
34,0.599999999999909,0.0,-2.700000000000017,151503.0,2,1,thinning_65_90
35,-2.2999999999999545,47.299999999999955,-245.69999999999993,186415.0,2,1,thinning_65_90
36,0.7000000000000455,0.0,-11.900000000000006,224755.0,2,1,thinning_65_90
37,4.900000000000091,-4.0,276.5999999999999,398812.0,2,1,thinning_65_90
38,12.600000000000136,0.0,-60.19999999999993,614026.0,2,1,thinning_65_90
39,5.0,0.0,0.9000000000000341,387472.0,2,1,thinning_65_90
40,-2.0,-0.29999999999999716,-7.800000000000011,154748.0,2,1,thinning_65_90
41,4.599999999999909,0.0,-66.0,428478.0,2,1,thinning_65_90
42,2.7000000000000455,0.2,-2.0999999999999943,287576.0,2,1,thinning_65_90
43,1.900000000000091,0.0,0.19999999999998863,231674.0,2,1,thinning_65_90
44,0.8999999999999773,0.09999999999999987,0.4000000000000057,222592.0,2,1,thinning_65_90
45,0.19999999999998863,0.0,-1.1000000000000014,152815.0,2,1,thinning_65_90
46,0.2999999999999545,0.0,2.7999999999999545,133134.0,2,1,thinning_65_90
47,7.899999999999864,8.100000000000001,-3.3999999999999773,553246.0,2,1,thinning_65_90
48,4.7000000000000455,0.0,-32.400000000000006,442344.0,2,1,thinning_65_90
49,4.2999999999999545,0.0,1.5,322142.0,2,1,thinning_65_90
50,8.399999999999864,0.0,6.2000000000000455,461824.0,2,1,thinning_65_90
