recurrence_years,date_key,peak_discharge_m3s,rank,weibull_T_years
2,1991-12-28,80.78218,23,2.0434782608695654
5,2005-01-09,174.8826,9,5.222222222222222
10,1996-02-20,215.3737,5,9.4
