recurrence_years,date_key,peak_discharge_m3s,rank,weibull_T_years
2,2009-10-14,97.26179,23,2.0434782608695654
5,1980-02-15,165.64967,9,5.222222222222222
10,2004-10-20,189.68129,5,9.4
