recurrence_years,date_key,peak_discharge_m3s,rank,weibull_T_years,burned_peak_on_same_date,year,julian,month,day_of_month,Suct_mean_mm,Saturation_mean,TSW_mean_mm
2,2004-02-26,148.51926,23,2.0001190334483994,115.80353,2004,57,2,26,2.2075757575757597,0.7521212121212116,31.85878787878787
5,1983-03-01,179.6318,9,5.111415307701464,116.90556,1983,60,3,1,0.34,0.8918181818181821,37.80000000000001
10,1996-02-20,215.3737,5,9.200547553862636,129.53085,1996,51,2,20,1.5544444444444472,0.8666666666666655,36.73494949494949
