recurrence_years,date_key,peak_discharge_m3s,rank,weibull_T_years,undisturbed_peak_on_same_date,year,julian,month,day_of_month,Suct_mean_mm,Saturation_mean,TSW_mean_mm
2,1992-03-02,120.51982,23,2.0001190334483994,53.96154,1992,62,3,2,0.34,0.8722222222222218,36.96838383838382
5,1980-02-15,165.64967,9,5.111415307701464,217.93573,1980,46,2,15,0.34,0.9258585858585872,39.24030303030302
10,2004-10-20,189.68129,5,9.200547553862636,154.68608,2004,294,10,20,3.937878787878785,0.5710101010101006,24.188686868686876
