date,precip_mm_burned,runoff_volume_m3_burned,peak_discharge_m3s_burned,precip_mm_undisturbed,runoff_volume_m3_undisturbed,peak_discharge_m3s_undisturbed,peak_diff,runoff_vol_diff_m3
1980-02-15,116.3,1028897.68,165.64967,116.3,1010426.96,217.93573,52.28606000000002,-18470.72000000009
1983-03-01,136.4,1228988.91,116.90556,136.4,1229888.17,179.6318,62.726240000000004,899.2600000000093
1992-03-02,73.9,257602.32,120.51982,73.9,143883.21,53.96154,-66.55828,-113719.11000000002
1996-02-20,103.9,826900.52,129.53085,103.9,825128.18,215.3737,85.84285000000003,-1772.3399999999674
2004-02-26,108.7,750371.9,115.80353,108.7,679195.09,148.51926,32.71573000000001,-71176.81000000006
2004-10-20,74.4,405073.01,189.68129,74.4,356340.74,154.68608,-34.995209999999986,-48732.27000000002
