return_period_yr,date_burned,qp_m3s_burned,date_undist,qp_m3s_undist
2,2005-01-08,127.0,2004-10-20,161.0
5,1987-10-31,176.0,2004-12-29,200.0
10,1982-11-30,226.0,2010-12-19,233.0
