id_weatherstation,name,date_install,last_data,Years,municipality_id,municipality_name,place,latitude,longitude,station_type,x_cords,y_cords,altitude,datalogger_type,sensors_count
1,ARICO_01,1996-09-10,2025-11-09,29.183561643835617,38005,Arico,Los Llanos de San Juan,28.131,-16.472139,A,355400,3112604,135.0,DL15 estacion,6
2,GALLETAS,1996-08-20,2025-11-09,29.24109589041096,38006,Arona,La Cañada Verde,28.0406074763221,-16.653235658342055,A,337498,3102802,95.0,DL15 estacion,6
5,GUIAIS01,1996-08-19,2025-11-09,29.243835616438357,38019,Guía de Isora,Guía  de Isora,28.191165,-16.779196,A,324373,3122251,476.0,DL15 estacion,6
7,OROTAV01,1996-08-16,2025-11-09,29.252054794520546,38026,La Orotava,El Rincón,28.40657674111988,-16.514323028739682,B,351661,3143174,214.0,DL15 estacion,6
9,HELECHO1,1997-11-13,2025-11-09,28.008219178082193,38005,Arico,El Helecho,28.216946,-16.490603,B,353719,3122139,930.0,DL15 estacion,6
10,RAVELO01,1998-05-29,2025-11-09,27.46849315068493,38041,El Sauzal,Ravelo,28.454984,-16.409038,B,362091,3148289,922.0,DL15 estacion,6
11,TEJINA01,1998-05-29,2025-11-09,27.46849315068493,38023,San Cristóbal de La Laguna,La Barranquera,28.53235755880462,-16.39553829079091,A,363460,3156971,69.0,DL15 estacion,6
12,GUAN1HA1,1998-05-29,2025-11-09,27.46849315068493,38022,Icod de los Vinos,Guincho,28.37903962361776,-16.734752238544502,B,330020,3140415,17.0,DL15 estacion,6
13,VILAFLOR,1999-02-10,2025-11-09,26.764383561643836,38052,Vilaflor,El Frontón ,28.14421887515193,-16.62806642189878,B,340126,3114250,1258.0,DL15 estacion,6
54,TOPONEGR,2003-06-30,2025-11-09,22.378082191780823,38020,Güímar,Topo Negro,28.326394,-16.405642,C,362210,3134158,280.0,DL15 estacion,5
55,ABONACOP,2003-02-05,2025-11-09,22.775342465753425,38005,Arico,Coop. Cumbres de Abona,28.172219,-16.488439,C,353849,3117213,410.0,DL15 estacion,6
56,TEGUESTE,2003-02-11,2025-11-09,22.75890410958904,38046,Tegueste,Llanos de San Ignacio,28.507142,-16.358632,C,367096,3154122,400.0,DL15 estacion,6
57,LLANITOP,2003-02-12,2025-11-09,22.756164383561643,38022,Icod de los Vinos,Llanito Perera,28.364708,-16.694771,C,334646,3138781,475.0,DL15 estacion,5
58,RATINO 01,2003-02-21,2025-11-09,22.731506849315068,38026,La Orotava,El Ratiño,28.38042984063693,-16.54181014731114,C,348931,3140312,380.0,DL15 estacion,5
60,ELVIENTO,2022-03-03,2025-11-09,3.6904109589041094,38020,Güímar,Güímar,28.298157,-16.388571,D,363842,3131013,78.0,DLx estacion,2
61,ANAVISTH,2004-04-22,2025-11-09,21.564383561643837,38004,Arafo,Añavingo,28.34192236243308,-16.433264104157388,C,359517,3135914,700.0,DL15 estacion,5
62,TRIGOTH,2004-04-22,2025-11-09,21.564383561643837,38042,Los Silos,Tierra del Trigo,28.35145,-16.8034521,C,323244,3137463,450.0,DL15 estacion,5
63,URSULATH,2004-04-22,2025-11-09,21.564383561643837,38039,Santa Úrsula,Los Castaños,28.41046666964356,-16.49470829470704,C,353588,3143582,550.0,DL15 estacion,5
64,HOYOSTH,2004-04-22,2025-11-09,21.564383561643837,38040,Santiago del Teide,Valle de Arriba ,28.30537451512538,-16.80554495238232,C,322961,3132354,990.0,DL15 estacion,5
65,PALMATH,2004-04-22,2025-11-09,21.564383561643837,38010,Buenavista del Norte,Los Pedregales,28.3370310306053,-16.852060071376172,C,318453,3135931,556.0,DL15 estacion,5
66,TACORTH,2004-04-27,2025-11-09,21.55068493150685,38043,Tacoronte,El Escaño,28.475146,-16.393598,C,363576,3150629,694.0,DLx estacion,6
67,MATANTH,2004-03-23,2025-11-09,21.646575342465752,38025,La Matanza de Acentejo,Cruz del Camino,28.4494524261844,-16.4379904049174,C,359196,3147834,650.0,DL15 estacion,5
68,VICTOTH,2004-06-15,2025-11-09,21.416438356164385,38051,La Victoria de Acentejo ,El Lomo,28.42115686071251,-16.450062556789703,C,357976,3144713,825.0,DL15 estacion,5
69,SUERTETH,2004-05-25,2025-11-09,21.473972602739725,38026,La Orotava,La Suerte,28.37287519265395,-16.541874347900148,C,348914,3139475,551.0,DL15 estacion,5
70,BENIJTH,2004-05-07,2025-11-09,21.523287671232875,38026,La Orotava,Benijos,28.36148455137196,-16.546749854091445,C,348420,3138219,906.0,DL15 estacion,5
71,PALOBTH,2004-05-06,2025-11-09,21.526027397260275,38031,Los Realejos,Palo Blanco,28.368476,-16.577253,C,345375,3139052,595.0,DL15 estacion,5
73,REDONTH,2004-04-25,2025-11-09,21.556164383561644,38022,Icod de los Vinos,Redondo,28.35107,-16.698333,C,332578,3137523,525.0,DL15 estacion,5
74,CHIOTH,2004-05-19,2025-11-09,21.49041095890411,38019,Guía de Isora,Chío,28.2333391114064,-16.789239397517463,C,324442,3124348,735.0,DL15 estacion,5
75,GUIATH,2004-04-15,2025-11-09,21.583561643835615,38019,Guía de Isora,Los Llanitos,28.22306443725068,-16.752673019760095,C,328014,3123157,1032.0,DL15 estacion,5
76,POZOTH,2004-04-16,2025-11-09,21.58082191780822,38019,Guía de Isora,El Pozo,28.200183,-16.763093,C,326949,3120648,700.0,DL15 estacion,5
77,PINALTH,2004-05-13,2025-11-09,21.506849315068493,38017,Granadilla de Abona,El Pinalete,28.12699883284683,-16.60589806308758,C,342278,3112313,850.0,DL15 estacion,5
