ecoregion,holdout,components_total,components_with_corestrictions,components_with_resdept_r,components_with_reshard,corestriction_rate_pct,resdept_given_core_pct,reshard_given_core_pct,reasonableness_structural_failures,bedrock_mean_resdept_r,nonbedrock_mean_resdept_r,semantic_direction_ok,sample_total,sample_present,sample_absent,candidate_a_mean_delta_vs_legacy,candidate_b_mean_delta_vs_legacy,candidate_a_pct_lt_legacy,candidate_b_pct_lt_legacy,candidate_a_pct_fallback,candidate_b_pct_fallback
Marine West Coast Forest,0,300,150,150,150,50.0,100.0,100.0,0,99.24691358024691,88.21739130434783,0,300,150,150,-0.0048019679999999985,-0.008705686666666665,47.67,48.0,51.67,51.67
Cascades,0,300,150,150,150,50.0,100.0,100.0,0,99.83185840707965,88.0,0,300,150,150,-0.009434478666666666,-0.015101044499999999,42.67,44.0,51.67,51.67
Sierra Nevada,0,300,150,149,149,50.0,99.33,99.33,0,103.17460317460318,113.8695652173913,1,300,150,150,-0.006335888,-0.007838027300000001,29.33,43.0,53.0,53.0
Mediterranean California,0,300,150,150,150,50.0,100.0,100.0,1,67.03125,34.54545454545455,0,300,150,150,-0.0034200613333333334,-0.005623406533333333,40.33,42.33,54.0,54.0
Columbia Plateau / Intermountain Basins,0,286,136,135,136,47.55,99.26,100.0,0,45.2970297029703,69.47058823529412,1,286,136,150,-0.007690436713286711,-0.009319465244755243,38.81,38.81,59.44,59.44
High Plains / Northern Great Plains,0,250,100,100,98,40.0,100.0,98.0,0,65.03333333333333,51.925,0,250,100,150,-0.003406392880000001,-0.0059219133200000005,27.2,27.2,61.2,61.2
Central Corn Belt Plains,0,236,86,86,80,36.44,100.0,93.02,1,115.4,65.87654320987654,0,236,86,150,-0.0008311838983050849,-0.0012986094067796612,34.75,34.75,65.25,65.25
Ridge and Valley / Blue Ridge,0,300,150,150,145,50.0,100.0,96.67,0,76.26573426573427,74.0,0,300,150,150,-0.006721597333333334,-0.0112175581,33.33,34.33,51.0,51.0
Southeastern Plains,0,192,42,41,38,21.88,97.62,90.48,0,93.5,76.0,0,192,42,150,-0.0007674223958333316,-0.0012965226562499984,20.31,20.31,78.65,78.65
Southern Coastal Plain,0,231,81,81,81,35.06,100.0,100.0,0,79.61111111111111,71.44444444444444,0,231,81,150,-0.014827522943722945,-0.018078993333333335,32.03,32.47,67.1,67.1
Mississippi Alluvial Plain,0,178,28,28,26,15.73,100.0,92.86,0,,58.642857142857146,1,178,28,150,-0.0003423955056179786,-0.0005037442696629209,15.73,15.73,84.27,84.27
Mojave/Chihuahuan Basin and Range,1,300,150,150,150,50.0,100.0,100.0,1,42.470588235294116,48.041666666666664,1,300,150,150,-0.002158184666666666,-0.0028866779333333323,19.0,19.33,54.67,54.67
