cokey,mukey,comppct_r,has_corestriction,reskind,reshard,resdept_r,resdepb_r,resthk_r,ksat_anchor_um_s,brockdepmin,rn,ecoregion,legacy_kslast_mm_h,legacy_fallback,candidate_a_kslast_mm_h,candidate_b_kslast_mm_h
26574127,73673,100,1,Paralithic bedrock,Weakly coherent,127,,,9,127,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
26574133,73679,100,1,Cemented horizon,Weakly coherent,130,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26574134,73680,100,1,Cemented horizon,Weakly coherent,137,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26574135,73681,100,1,Cemented horizon,Weakly coherent,145,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26574136,73682,100,1,Cemented horizon,Weakly coherent,130,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26574137,73683,100,1,Cemented horizon,Weakly coherent,137,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26574138,73684,100,1,Cemented horizon,Weakly coherent,145,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26574141,73687,100,1,Paralithic bedrock,Moderately coherent,145,,,9,145,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
26574142,73688,100,1,Paralithic bedrock,Moderately coherent,145,,,9,145,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
26574144,73690,100,1,Paralithic bedrock,Moderately coherent,145,,,9,145,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
26575306,73703,100,1,Lithic bedrock,Indurated,76,,,9,76,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26575309,73705,100,1,Densic material,noncoherent,76,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575312,73711,100,1,Lithic bedrock,Indurated,84,,,9,84,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26575361,73743,100,1,Paralithic bedrock,Moderately coherent,41,,,3,41,1,Marine West Coast Forest,0.0108,0,0.00378,0.0007559999999999999
26575363,73745,100,1,Densic material,noncoherent,84,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575373,73757,100,1,Densic material,noncoherent,74,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575374,73758,100,1,Densic material,noncoherent,74,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575375,73759,100,1,Densic material,noncoherent,74,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575383,73764,100,1,Densic material,noncoherent,71,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575384,73765,100,1,Densic material,noncoherent,71,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575385,73766,100,1,Densic material,noncoherent,71,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575420,73795,100,1,Paralithic bedrock,Moderately coherent,61,,,9,61,1,Marine West Coast Forest,0.0324,0,0.02106,0.004212
26575421,73796,100,1,Paralithic bedrock,Moderately coherent,61,,,9,61,1,Marine West Coast Forest,0.0324,0,0.02106,0.004212
26575430,73801,100,1,Densic material,noncoherent,41,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575442,73811,100,1,Lithic bedrock,Indurated,102,,,9,102,1,Marine West Coast Forest,0.0324,0,0.01377,0.002754
26575452,73820,100,1,Densic material,noncoherent,56,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575453,73821,100,1,Densic material,noncoherent,56,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575463,73828,100,1,Densic material,noncoherent,43,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575464,73829,100,1,Densic material,noncoherent,43,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26575751,78042,100,1,Cemented horizon,Moderately coherent,97,,18,0.05,,1,Marine West Coast Forest,0.00018,0,0.0005,0.0005
26582600,74252,100,1,Lithic bedrock,Indurated,74,,,9,74,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26582604,74253,100,1,Lithic bedrock,Indurated,74,,,9,74,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26582613,74255,100,1,Lithic bedrock,Indurated,74,,,9,74,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26582705,74267,100,1,Lithic bedrock,Indurated,86,,,9,86,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26582709,74268,100,1,Lithic bedrock,Indurated,86,,,9,86,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26582720,74270,100,1,Paralithic bedrock,Moderately coherent,127,,,9,127,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
26582725,74271,100,1,Paralithic bedrock,Moderately coherent,127,,,9,127,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
26582839,74309,100,1,Lithic bedrock,Indurated,74,,,9,74,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26582841,74311,100,1,Lithic bedrock,Indurated,74,,,9,74,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26582842,74312,100,1,Lithic bedrock,Indurated,74,,,9,74,1,Marine West Coast Forest,0.0324,0,0.01053,0.002106
26582883,74334,100,1,Lithic bedrock,Indurated,0,,,,0,1,Marine West Coast Forest,0.01,1,0.01,0.01
26582980,74393,100,1,Paralithic bedrock,Moderately coherent,109,,,9,109,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
26583002,74408,100,1,Strongly contrasting textural stratification,noncoherent,89,,,23,,1,Marine West Coast Forest,0.0828,0,0.05,0.040365000000000005
26583014,74420,100,1,Lithic bedrock,Indurated,152,,,9,152,1,Marine West Coast Forest,0.0324,0,0.0162,0.00324
26583015,74421,100,1,Lithic bedrock,Indurated,114,,,9,114,1,Marine West Coast Forest,0.0324,0,0.01377,0.002754
26583016,74422,100,1,Lithic bedrock,Indurated,152,,,9,152,1,Marine West Coast Forest,0.0324,0,0.0162,0.00324
26583080,74461,100,1,Lithic bedrock,Indurated,127,,,28,127,1,Marine West Coast Forest,0.1008,0,0.042839999999999996,0.008568000000000001
26583084,74465,100,1,Lithic bedrock,Indurated,117,,,9,117,1,Marine West Coast Forest,0.0324,0,0.01377,0.002754
26583144,74518,100,1,Strongly contrasting textural stratification,noncoherent,66,,,3,,1,Marine West Coast Forest,0.0108,0,0.00702,0.005265000000000001
26583145,74519,100,1,Strongly contrasting textural stratification,noncoherent,66,,,9,,1,Marine West Coast Forest,0.0324,0,0.02106,0.015795
26583146,74520,100,1,Strongly contrasting textural stratification,noncoherent,66,,,3,,1,Marine West Coast Forest,0.0108,0,0.00702,0.005265000000000001
26583147,74521,100,1,Strongly contrasting textural stratification,noncoherent,66,,,3,,1,Marine West Coast Forest,0.0108,0,0.00702,0.005265000000000001
26583148,74522,100,1,Densic material,noncoherent,127,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26583149,74523,100,1,Densic material,noncoherent,127,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26583154,74528,100,1,Strongly contrasting textural stratification,noncoherent,61,,,9,,1,Marine West Coast Forest,0.0324,0,0.02106,0.015795
26583163,74540,100,1,Strongly contrasting textural stratification,noncoherent,71,,,28,,1,Marine West Coast Forest,0.1008,0,0.05,0.04914
26583164,74541,100,1,Strongly contrasting textural stratification,noncoherent,71,,,28,,1,Marine West Coast Forest,0.1008,0,0.05,0.04914
26583165,74542,100,1,Strongly contrasting textural stratification,noncoherent,89,,,28,,1,Marine West Coast Forest,0.1008,0,0.05,0.04914
26583172,74551,100,1,Densic material,noncoherent,61,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583173,74552,100,1,Densic material,noncoherent,61,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583174,74553,100,1,Densic material,noncoherent,61,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583175,74554,100,1,Densic material,noncoherent,61,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583176,74555,100,1,Densic material,noncoherent,61,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583177,74556,100,1,Densic material,noncoherent,61,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583178,74557,100,1,Densic material,noncoherent,132,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26583179,74558,100,1,Densic material,noncoherent,132,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26583180,74559,100,1,Densic material,noncoherent,132,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26583181,74560,100,1,Densic material,noncoherent,132,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26583182,74561,100,1,Densic material,noncoherent,132,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26583183,74562,100,1,Densic material,noncoherent,132,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.000612,0.0005
26583191,74571,100,1,Strongly contrasting textural stratification,noncoherent,43,,,28,,1,Marine West Coast Forest,0.1008,0,0.03528,0.026459999999999997
26583193,74573,100,1,Strongly contrasting textural stratification,noncoherent,43,,,28,,1,Marine West Coast Forest,0.1008,0,0.03528,0.026459999999999997
26583210,74590,100,1,Densic material,noncoherent,66,,,0.42,,1,Marine West Coast Forest,0.001512,0,0.0009828,0.0005
26583211,74591,100,1,Densic material,noncoherent,66,,5,0.42,,1,Marine West Coast Forest,0.001512,0,0.0009828,0.0005
26583229,74609,100,1,Densic material,noncoherent,109,,5,9,,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
26583240,74616,100,1,Densic material,noncoherent,68,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583241,74617,100,1,Densic material,noncoherent,68,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583242,74618,100,1,Densic material,noncoherent,68,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583243,74619,100,1,Densic material,noncoherent,68,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
26583244,74620,100,1,Densic material,noncoherent,68,,5,0.2,,1,Marine West Coast Forest,0.00072,0,0.0005,0.0005
