cokey,mukey,comppct_r,has_corestriction,reskind,reshard,resdept_r,resdepb_r,resthk_r,ksat_anchor_um_s,brockdepmin,rn,ecoregion,legacy_kslast_mm_h,legacy_fallback,candidate_a_kslast_mm_h,candidate_b_kslast_mm_h
26396764,460278,85,1,Lithic bedrock,Strongly coherent,51,,,0.21,51,1,Sierra Nevada,0.000756,0,0.0005,0.0005
26396806,460291,85,1,Paralithic bedrock,Moderately coherent,152,,,0.21,152,1,Sierra Nevada,0.000756,0,0.000756,0.0005
26396840,460301,85,1,Paralithic bedrock,Moderately coherent,145,,,0.21,145,1,Sierra Nevada,0.000756,0,0.0006426,0.0005
26397035,460355,85,1,Paralithic bedrock,Moderately coherent,84,102,18,0.21,84,1,Sierra Nevada,0.000756,0,0.0005,0.0005
26397102,460351,85,1,Paralithic bedrock,Moderately coherent,184,200,,0.2,184,1,Sierra Nevada,0.00072,0,0.00072,0.0005
26397107,460350,85,1,Paralithic bedrock,Moderately coherent,184,200,,0.2,184,1,Sierra Nevada,0.00072,0,0.00072,0.0005
26336376,471792,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26337146,1652176,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26394618,460208,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26394925,460263,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26394926,640132,100,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26397016,460342,100,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26397018,460344,100,0,,,,,,141,,2,Sierra Nevada,0.01,1,0.01,0.01
26397054,460363,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26397101,1414773,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26397716,462232,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26397996,462301,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26398004,612762,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26398005,612765,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26399384,462410,100,0,,,,,,0.91,,2,Sierra Nevada,0.01,1,0.01,0.01
26399387,462415,100,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26399388,462416,100,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26399389,462417,100,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26399531,1014977,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26411974,2462630,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26412214,2924912,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26430634,463305,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26491704,3292046,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26519968,464778,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26520183,1585944,100,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26520185,1585948,100,0,,,,,,141,,2,Sierra Nevada,0.01,1,0.01,0.01
26520361,3233159,100,0,,,,,,4.2,,2,Sierra Nevada,0.01,1,0.01,0.01
26538544,464850,100,0,,,,,,100,,2,Sierra Nevada,0.01,1,0.01,0.01
26538756,464974,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26538770,1591316,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26550116,465075,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26550455,1670187,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26618768,2230043,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26638233,1674978,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26638602,1674961,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26638765,1675004,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26653677,474274,100,0,,,,,,70.71,,2,Sierra Nevada,0.01,1,0.01,0.01
26654376,474425,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26654380,474428,100,0,,,,,,7.21,,2,Sierra Nevada,0.01,1,0.01,0.01
26654394,474433,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26660525,2371572,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26674814,466389,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26675276,1651736,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26677936,2766840,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26877211,487317,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26883137,460112,100,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26883139,460114,100,0,,,,,,141,,2,Sierra Nevada,0.01,1,0.01,0.01
26883323,1395761,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26886667,487993,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27071747,1546091,100,0,,,,,,4.2,,2,Sierra Nevada,0.01,1,0.01,0.01
27071776,1546107,100,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
27071786,1546113,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27071819,1546235,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27071820,1547195,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27071821,1547201,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27071822,1547199,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27072060,460454,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27072488,460669,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27072671,486518,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27072770,486566,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27073070,3233152,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27073094,3233166,100,0,,,,,,4.2,,2,Sierra Nevada,0.01,1,0.01,0.01
27089893,1528729,100,0,,,,,,141,,2,Sierra Nevada,0.01,1,0.01,0.01
27089910,1528739,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27091069,1883777,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27091070,1883778,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27091076,1883783,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27091292,2426465,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27305095,461204,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27305441,461264,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27306781,1544649,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27307167,460918,100,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
27307169,460920,100,0,,,,,,141,,2,Sierra Nevada,0.01,1,0.01,0.01
27308013,1403687,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27416620,1609262,100,0,,,,,,21.7,,2,Sierra Nevada,0.01,1,0.01,0.01
27416738,1609599,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27417835,3416822,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27428796,493241,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27434622,471515,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
27444966,488568,100,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26394909,460259,98,0,,,,,,423,,2,Sierra Nevada,0.01,1,0.01,0.01
26399178,462316,98,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26399182,462318,98,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26399184,462319,98,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26519423,1595781,98,0,,,,,,423,,2,Sierra Nevada,0.01,1,0.01,0.01
26396995,460337,95,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26397040,460356,95,0,,,,,,78,,2,Sierra Nevada,0.01,1,0.01,0.01
26397172,460264,95,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26397993,462300,95,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26397997,462302,95,0,,,,,,9,,2,Sierra Nevada,0.01,1,0.01,0.01
26398047,462183,95,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26399176,462315,95,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26399180,462317,95,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26399386,462414,95,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26491574,463616,95,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26520124,1585902,95,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26520333,3233147,95,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26659678,2370745,95,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26674813,466388,95,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26885603,487452,95,0,,,,,,2.82,,2,Sierra Nevada,0.01,1,0.01,0.01
26886008,487560,95,0,,,,,,9.17,,2,Sierra Nevada,0.01,1,0.01,0.01
26886094,487590,95,0,,,,,,28.23,,2,Sierra Nevada,0.01,1,0.01,0.01
26886487,487716,95,0,,,,,,2.82,,2,Sierra Nevada,0.01,1,0.01,0.01
26886489,487717,95,0,,,,,,2.82,,2,Sierra Nevada,0.01,1,0.01,0.01
26897300,644078,95,0,,,,,,9,,2,Sierra Nevada,0.01,1,0.01,0.01
27089790,1528343,95,0,,,,,,9.17,,2,Sierra Nevada,0.01,1,0.01,0.01
27090142,2434266,95,0,,,,,,28,,2,Sierra Nevada,0.01,1,0.01,0.01
27091216,2377748,95,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
27091217,2377749,95,0,,,,,,28,,2,Sierra Nevada,0.01,1,0.01,0.01
27416728,1609588,95,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26411842,2403709,94,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26550469,2925013,94,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26618967,3231057,94,0,,,,,,9,,2,Sierra Nevada,0.01,1,0.01,0.01
26660655,3231102,94,0,,,,,,9,,2,Sierra Nevada,0.01,1,0.01,0.01
26678209,2924684,94,0,,,,,,9,,2,Sierra Nevada,0.01,1,0.01,0.01
26397044,460358,90,0,,,,,,7.5,,2,Sierra Nevada,0.01,1,0.01,0.01
26397050,460360,90,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26397875,462268,90,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26399341,462394,90,0,,,,,,28,,2,Sierra Nevada,0.01,1,0.01,0.01
26399383,462409,90,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26430521,463279,90,0,,,,,,7.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26491578,463617,90,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26491638,463629,90,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26519506,3233041,90,0,,,,,,1,,2,Sierra Nevada,0.01,1,0.01,0.01
26519539,3233051,90,0,,,,,,1,,2,Sierra Nevada,0.01,1,0.01,0.01
26519549,3233055,90,0,,,,,,3,,2,Sierra Nevada,0.01,1,0.01,0.01
26519570,3233061,90,0,,,,,,3,,2,Sierra Nevada,0.01,1,0.01,0.01
26520200,1585956,90,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26520330,3233146,90,0,,,,,,1,,2,Sierra Nevada,0.01,1,0.01,0.01
26538849,1591408,90,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26550115,465074,90,0,,,,,,9,,2,Sierra Nevada,0.01,1,0.01,0.01
26550440,1670149,90,0,,,,,,28.23,,2,Sierra Nevada,0.01,1,0.01,0.01
26550457,1670191,90,0,,,,,,7.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26618449,466881,90,0,,,,,,21.88,,2,Sierra Nevada,0.01,1,0.01,0.01
26618960,3231047,90,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26618962,3231049,90,0,,,,,,423.3,,2,Sierra Nevada,0.01,1,0.01,0.01
26638672,1675002,90,0,,,,,,28.23,,2,Sierra Nevada,0.01,1,0.01,0.01
26653920,474330,90,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26654179,474385,90,0,,,,,,2.7,,2,Sierra Nevada,0.01,1,0.01,0.01
26659210,465183,90,0,,,,,,50,,2,Sierra Nevada,0.01,1,0.01,0.01
26659682,2370746,90,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26660786,3422952,90,0,,,,,,92,,2,Sierra Nevada,0.01,1,0.01,0.01
26674745,466373,90,0,,,,,,9.17,,2,Sierra Nevada,0.01,1,0.01,0.01
26674749,466374,90,0,,,,,,28.23,,2,Sierra Nevada,0.01,1,0.01,0.01
26674802,466386,90,0,,,,,,28.23,,2,Sierra Nevada,0.01,1,0.01,0.01
26674808,466387,90,0,,,,,,28.23,,2,Sierra Nevada,0.01,1,0.01,0.01
26674852,1476718,90,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26674992,1540933,90,0,,,,,,28.23,,2,Sierra Nevada,0.01,1,0.01,0.01
26678101,2777249,90,0,,,,,,,,2,Sierra Nevada,0.01,1,0.01,0.01
26678107,2924631,90,0,,,,,,423.3,,2,Sierra Nevada,0.01,1,0.01,0.01
26876459,486972,90,0,,,,,,2.82,,2,Sierra Nevada,0.01,1,0.01,0.01
27408725,3295927,100,1,Lithic bedrock,Indurated,0,10,10,0.035,0,,Mediterranean California,0.00012600000000000003,0,0.0005,0.0005
27306489,767484,95,1,Cemented horizon,Extremely weakly coherent,81,,,0.6,,,Mediterranean California,0.00216,0,0.001404,0.0010530000000000001
27421668,2441753,95,1,Manufactured layer,Indurated,0,25,25,,,,Mediterranean California,0.01,1,0.01,0.01
27448330,1607439,90,1,Salic,noncoherent,0,200,200,0.42,,,Mediterranean California,0.001512,0,0.0005292,0.0005
26702683,456994,88,1,Lithic bedrock,Very strongly coherent,48,,,0.7,48,,Mediterranean California,0.00252,0,0.000882,0.0005
26396911,460319,85,1,Paralithic bedrock,Moderately coherent,130,,,0.21,130,,Mediterranean California,0.000756,0,0.0006426,0.0005
26417039,462775,85,1,Paralithic bedrock,Very weakly coherent,119,,,0.91,119,,Mediterranean California,0.0032760000000000003,0,0.0027846000000000004,0.0005569200000000001
26472460,464514,85,1,Paralithic bedrock,Moderately coherent,76,152,76,2.8,76,,Mediterranean California,0.01008,0,0.0065520000000000005,0.0013104000000000002
26687076,455811,85,1,Paralithic bedrock,Weakly coherent,46,,,0.7,46,,Mediterranean California,0.00252,0,0.000882,0.0005
26687111,455819,85,1,Paralithic bedrock,Extremely weakly coherent,81,,,1,81,,Mediterranean California,0.0036,0,0.00234,0.0005
26690400,3251921,85,1,Lithic bedrock,Strongly coherent,117,,,0.035,117,,Mediterranean California,0.00012600000000000003,0,0.0005,0.0005
26691614,458978,85,1,Lithic bedrock,Indurated,38,63,,2.7,38,,Mediterranean California,0.009720000000000001,0,0.001701,0.0005
26702908,457061,85,1,Lithic bedrock,Strongly coherent,48,,,0.2,48,,Mediterranean California,0.00072,0,0.0005,0.0005
26789832,458782,85,1,Strongly contrasting textural stratification,noncoherent,127,152,,9,,,Mediterranean California,0.0324,0,0.02754,0.020654999999999996
26882590,459966,85,1,Paralithic bedrock,Moderately coherent,173,,,0.21,173,,Mediterranean California,0.000756,0,0.000756,0.0005
26882866,460037,85,1,Abrupt textural change,noncoherent,23,112,89,0.91,112,,Mediterranean California,0.0032760000000000003,0,0.0011466,0.00085995
26882961,460061,85,1,Lithic bedrock,Very strongly coherent,41,66,25,5,41,,Mediterranean California,0.018,0,0.006299999999999999,0.0012599999999999998
27308135,460751,85,1,Lithic bedrock,Very strongly coherent,48,,,2.7,48,,Mediterranean California,0.009720000000000001,0,0.003402,0.0006804000000000001
27408907,456811,85,1,Paralithic bedrock,Moderately coherent,119,,,2.7,119,,Mediterranean California,0.009720000000000001,0,0.008262,0.0016524000000000003
27408953,456821,85,1,Lithic bedrock,Strongly coherent,30,,,28,30,,Mediterranean California,0.1008,0,0.03528,0.007055999999999999
27412801,458008,85,1,Paralithic bedrock,Moderately coherent,66,137,71,0.21,66,,Mediterranean California,0.000756,0,0.0005,0.0005
27446713,455718,85,1,Lithic bedrock,Strongly coherent,61,,,7.7,61,,Mediterranean California,0.02772,0,0.018018000000000003,0.0036036
27446780,455729,85,1,Paralithic bedrock,Very weakly coherent,76,,,0.7,76,,Mediterranean California,0.00252,0,0.0016380000000000001,0.0005
27448847,459740,85,1,Lithic bedrock,Indurated,51,,,9,51,,Mediterranean California,0.0324,0,0.01053,0.002106
27449225,459834,85,1,Lithic bedrock,Indurated,25,,,0.21,25,,Mediterranean California,0.000756,0,0.0005,0.0005
27451431,457363,85,1,Strongly contrasting textural stratification,noncoherent,46,152,106,0.91,,,Mediterranean California,0.0032760000000000003,0,0.0011466,0.00085995
27451544,457408,85,1,Lithic bedrock,Strongly coherent,76,,,0.7,76,,Mediterranean California,0.00252,0,0.0016380000000000001,0.0005
26491359,463572,80,1,Paralithic bedrock,Moderately coherent,91,152,61,2.7,91,,Mediterranean California,0.009720000000000001,0,0.006318000000000001,0.0012636000000000001
26689628,456199,80,1,Lithic bedrock,Strongly coherent,30,,,0.7,30,,Mediterranean California,0.00252,0,0.000882,0.0005
26702293,2747715,80,1,Lithic bedrock,Very strongly coherent,48,73,25,0.03,48,,Mediterranean California,0.000108,0,0.0005,0.0005
26806462,459265,80,1,Lithic bedrock,Indurated,0,25,25,,0,,Mediterranean California,0.01,1,0.01,0.01
26397591,462200,75,1,Paralithic bedrock,Weakly coherent,91,,,0.21,91,,Mediterranean California,0.000756,0,0.0005,0.0005
26471549,464203,75,1,Paralithic bedrock,Moderately coherent,107,152,45,0.5,107,,Mediterranean California,0.0018,0,0.00153,0.0005
27412835,458017,75,1,Paralithic bedrock,Moderately coherent,66,,,0.21,66,,Mediterranean California,0.000756,0,0.0005,0.0005
27413111,458074,75,1,Abrupt textural change,noncoherent,30,46,16,2.82,,,Mediterranean California,0.010152,0,0.0035531999999999994,0.0026648999999999996
27414120,458237,75,1,Paralithic bedrock,Moderately coherent,46,,,0.21,46,,Mediterranean California,0.000756,0,0.0005,0.0005
26399257,462347,70,1,Lithic bedrock,Very strongly coherent,15,,,2.03,15,,Mediterranean California,0.007308,0,0.0025578,0.00051156
26411923,2440242,70,1,Paralithic bedrock,Moderately coherent,60,85,25,9,60,,Mediterranean California,0.0324,0,0.02106,0.004212
26882724,460000,70,1,Lithic bedrock,Indurated,58,,,2.7,0,,Mediterranean California,0.009720000000000001,0,0.0031590000000000003,0.0006318000000000001
26638438,465113,65,1,Paralithic bedrock,Moderately coherent,168,200,,0.5,91,,Mediterranean California,0.0018,0,0.0018,0.0005
26703012,458433,65,1,Lithic bedrock,Very strongly coherent,38,63,25,28,38,,Mediterranean California,0.1008,0,0.03528,0.007055999999999999
27409433,456956,65,1,Paralithic bedrock,Moderately coherent,64,,,28,0,,Mediterranean California,0.1008,0,0.05,0.013104000000000001
26417571,462871,60,1,Lithic bedrock,Strongly coherent,28,,,7.7,0,,Mediterranean California,0.02772,0,0.009702,0.0019404
26702743,457017,60,1,Lithic bedrock,Very strongly coherent,89,,,0.2,48,,Mediterranean California,0.00072,0,0.0005,0.0005
26801089,456080,60,1,Paralithic bedrock,Moderately coherent,51,,,0.91,51,,Mediterranean California,0.0032760000000000003,0,0.0021294,0.0005
27307667,460944,60,1,Lithic bedrock,Very strongly coherent,30,,,9,0,,Mediterranean California,0.0324,0,0.01134,0.0022679999999999996
26432663,467119,55,1,Lithic bedrock,Very strongly coherent,46,71,25,0.1,46,,Mediterranean California,0.00036,0,0.0005,0.0005
26491647,463633,55,1,Paralithic bedrock,Moderately coherent,69,152,83,28,69,,Mediterranean California,0.1008,0,0.05,0.013104000000000001
27309702,461086,55,1,Lithic bedrock,Very strongly coherent,81,96,15,2.82,81,,Mediterranean California,0.010152,0,0.0065988,0.00131976
27421654,2441746,55,1,Manufactured layer,Indurated,0,25,25,,,,Mediterranean California,0.01,1,0.01,0.01
27422149,2833547,55,1,Manufactured layer,Indurated,0,25,25,,,,Mediterranean California,0.01,1,0.01,0.01
26411999,2600458,50,1,Paralithic bedrock,Moderately coherent,122,147,,0.2,76,,Mediterranean California,0.00072,0,0.000612,0.0005
26491365,463573,50,1,Paralithic bedrock,Moderately coherent,91,152,61,2.7,91,,Mediterranean California,0.009720000000000001,0,0.006318000000000001,0.0012636000000000001
26491633,463628,50,1,Paralithic bedrock,Moderately coherent,107,152,45,0.91,107,,Mediterranean California,0.0032760000000000003,0,0.0027846000000000004,0.0005569200000000001
26638389,465102,50,1,Paralithic bedrock,Moderately coherent,56,152,,0.5,56,,Mediterranean California,0.0018,0,0.00117,0.0005
26789822,458778,50,1,Abrupt textural change,noncoherent,38,66,28,0.215,,,Mediterranean California,0.0007740000000000001,0,0.0005,0.0005
26790025,458837,50,1,Lithic bedrock,Very strongly coherent,69,94,,1,41,,Mediterranean California,0.0036,0,0.00234,0.0005
27307298,2766038,50,1,Duripan,Indurated,33,,,0.01,,,Mediterranean California,3.6e-05,0,0.0005,0.0005
27408859,456798,50,1,Paralithic bedrock,Moderately coherent,81,,,0.91,81,,Mediterranean California,0.0032760000000000003,0,0.0021294,0.0005
27410271,463915,50,1,Paralithic bedrock,Moderately coherent,13,38,25,1.13,13,,Mediterranean California,0.004068,0,0.0014237999999999998,0.0005
27413018,458053,50,1,Lithic bedrock,Very strongly coherent,46,,,0.21,0,,Mediterranean California,0.000756,0,0.0005,0.0005
26432515,467101,45,1,Paralithic bedrock,Moderately coherent,119,203,84,0.5,36,,Mediterranean California,0.0018,0,0.00153,0.0005
26432742,467132,45,1,Paralithic bedrock,Moderately coherent,61,152,91,2,28,,Mediterranean California,0.0072,0,0.00468,0.000936
26499175,463717,45,1,Lithic bedrock,Very strongly coherent,81,106,25,0.035,38,,Mediterranean California,0.00012600000000000003,0,0.0005,0.0005
26638296,465083,45,1,Paralithic bedrock,Moderately coherent,157,200,43,0.5,74,,Mediterranean California,0.0018,0,0.0018,0.0005
26734862,457218,45,1,Paralithic bedrock,Moderately coherent,71,,,9,71,,Mediterranean California,0.0324,0,0.02106,0.004212
27408807,456781,45,1,Paralithic bedrock,Weakly coherent,25,,,28,0,,Mediterranean California,0.1008,0,0.03528,0.007055999999999999
27419828,469954,45,1,Paralithic bedrock,Weakly coherent,30,55,25,0.21,30,,Mediterranean California,0.000756,0,0.0005,0.0005
27421627,2408054,45,1,Manufactured layer,Indurated,0,25,25,,,,Mediterranean California,0.01,1,0.01,0.01
27421727,2513716,45,1,Manufactured layer,Indurated,0,25,25,,,,Mediterranean California,0.01,1,0.01,0.01
27421784,2562663,45,1,Manufactured layer,Indurated,0,25,25,,,,Mediterranean California,0.01,1,0.01,0.01
27450841,457126,45,1,Paralithic bedrock,Very weakly coherent,81,150,,9,38,,Mediterranean California,0.0324,0,0.02106,0.004212
27452449,465291,45,1,Lithic bedrock,Indurated,46,,,28,41,,Mediterranean California,0.1008,0,0.01764,0.0035279999999999995
27306974,460869,41,1,Paralithic bedrock,Weakly coherent,64,,,0.7,64,,Mediterranean California,0.00252,0,0.0016380000000000001,0.0005
27307175,460922,41,1,Lithic bedrock,Very strongly coherent,84,,,0.91,84,,Mediterranean California,0.0032760000000000003,0,0.0021294,0.0005
27308014,460724,41,1,Abrupt textural change,noncoherent,53,91,38,0.215,,,Mediterranean California,0.0007740000000000001,0,0.0005031,0.0005
26327358,461854,40,1,Lithic bedrock,Very strongly coherent,41,,,9,41,,Mediterranean California,0.0324,0,0.01134,0.0022679999999999996
26412000,2600458,40,1,Paralithic bedrock,Moderately coherent,76,101,,0.2,76,,Mediterranean California,0.00072,0,0.0005,0.0005
26432729,467131,40,1,Paralithic bedrock,Moderately coherent,137,162,25,0.6,28,,Mediterranean California,0.00216,0,0.001836,0.0005
26499176,463717,40,1,Lithic bedrock,Strongly coherent,38,63,25,28,38,,Mediterranean California,0.1008,0,0.03528,0.007055999999999999
26638297,465083,40,1,Paralithic bedrock,Moderately coherent,74,152,,0.5,74,,Mediterranean California,0.0018,0,0.00117,0.0005
26688809,459447,40,1,Lithic bedrock,Strongly coherent,104,,,9,104,,Mediterranean California,0.0324,0,0.02754,0.005508
26790026,458837,40,1,Lithic bedrock,Very strongly coherent,41,66,,1.4,41,,Mediterranean California,0.00504,0,0.001764,0.0005
27072419,460545,40,1,Paralithic bedrock,Moderately coherent,89,102,13,9,89,,Mediterranean California,0.0324,0,0.02106,0.004212
27419829,469954,40,1,Paralithic bedrock,Weakly coherent,45,70,25,0.21,30,,Mediterranean California,0.000756,0,0.0005,0.0005
27445865,455572,40,1,Paralithic bedrock,Weakly coherent,28,,,0.21,28,,Mediterranean California,0.000756,0,0.0005,0.0005
27446254,455635,40,1,Paralithic bedrock,Weakly coherent,91,,,0.7,76,,Mediterranean California,0.00252,0,0.0016380000000000001,0.0005
27306975,460869,39,1,Abrupt textural change,noncoherent,33,51,18,0.215,64,,Mediterranean California,0.0007740000000000001,0,0.0005,0.0005
27307176,460922,39,1,Lithic bedrock,Very strongly coherent,84,,,0.91,84,,Mediterranean California,0.0032760000000000003,0,0.0021294,0.0005
27308015,460724,39,1,Abrupt textural change,noncoherent,33,58,25,0.215,,,Mediterranean California,0.0007740000000000001,0,0.0005,0.0005
26430877,463318,36,1,Paralithic bedrock,Moderately coherent,122,152,,0.21,91,,Mediterranean California,0.000756,0,0.0006426,0.0005
26327359,461854,35,1,Paralithic bedrock,Moderately coherent,74,,,0.215,41,,Mediterranean California,0.0007740000000000001,0,0.0005031,0.0005
26411887,2424963,35,1,Lithic bedrock,Indurated,107,200,,3,79,,Mediterranean California,0.0108,0,0.00459,0.0009180000000000001
26417850,462923,35,1,Paralithic bedrock,Weakly coherent,36,41,5,2.7,0,,Mediterranean California,0.009720000000000001,0,0.003402,0.0006804000000000001
26638388,465102,35,1,Paralithic bedrock,Moderately coherent,157,200,43,0.5,56,,Mediterranean California,0.0018,0,0.0018,0.0005
26688618,459420,35,1,Lithic bedrock,Indurated,76,,,0.5,46,,Mediterranean California,0.0018,0,0.000585,0.0005
26703490,458459,35,1,Paralithic bedrock,Moderately coherent,38,63,25,0.5,38,,Mediterranean California,0.0018,0,0.0006299999999999999,0.0005
26703529,458479,35,1,Paralithic bedrock,Moderately coherent,48,,,9,48,,Mediterranean California,0.0324,0,0.01134,0.0022679999999999996
26703958,458511,35,1,Paralithic bedrock,Weakly coherent,97,122,25,0.5,61,,Mediterranean California,0.0018,0,0.00117,0.0005
26795026,459591,35,1,Lithic bedrock,Very strongly coherent,79,104,,7.7,69,,Mediterranean California,0.02772,0,0.018018000000000003,0.0036036
