ecoregion,holdout,sample_total,sample_present,sample_absent,legacy_mean,legacy_p50,legacy_p95,candidate_a_mean,candidate_a_p50,candidate_a_p95,candidate_b_mean,candidate_b_p50,candidate_b_p95,candidate_a_fallback_count,candidate_b_fallback_count,candidate_a_lower_bound_hits,candidate_a_upper_bound_hits,candidate_b_lower_bound_hits,candidate_b_upper_bound_hits,candidate_a_lt_legacy,candidate_a_gt_legacy,candidate_b_lt_legacy,candidate_b_gt_legacy
Marine West Coast Forest,0,300,150,150,0.016049346666666665,0.01,0.0324,0.011247378666666667,0.01,0.02754,0.00734366,0.01,0.01,155,155,32,4,53,0,143,1,144,1
Cascades,0,300,150,150,0.022850586666666665,0.01,0.0837000000000002,0.013416108,0.01,0.0351945,0.0077495421666666665,0.01,0.015795,155,155,14,9,17,1,128,13,132,13
Sierra Nevada,0,300,150,150,0.01429616,0.01,0.010083600000000002,0.007960272000000001,0.01,0.01,0.0064581327,0.01,0.01,159,159,24,9,96,0,88,12,129,12
Mediterranean California,0,300,150,150,0.0118449,0.01,0.0324,0.008424838666666667,0.01,0.02106,0.006221493466666667,0.01,0.01,162,162,33,4,82,0,121,11,127,11
Columbia Plateau / Intermountain Basins,0,286,136,150,0.01726718881118881,0.01,0.0324,0.009576752097902099,0.01,0.01053,0.007947723566433567,0.01,0.01,170,170,20,9,42,2,111,5,111,5
High Plains / Northern Great Plains,0,250,100,150,0.01306966608,0.01,0.04413779999999975,0.0096632732,0.01,0.026162999999999947,0.00714775276,0.01,0.01,153,153,34,3,41,0,68,29,68,29
Central Corn Belt Plains,0,236,86,150,0.00858077966101695,0.01,0.01,0.007749595762711865,0.01,0.01,0.0072821702542372885,0.01,0.01,154,154,19,1,36,1,82,0,82,0
Ridge and Valley / Blue Ridge,0,300,150,150,0.018641442,0.01,0.1008,0.011919844666666667,0.01,0.04319800000000008,0.0074238839,0.01,0.010004,153,153,49,15,57,0,100,43,103,43
Southeastern Plains,0,192,42,150,0.009955489583333333,0.01,0.010152,0.009188067187500001,0.01,0.01,0.008658966927083334,0.01,0.01,151,151,3,1,8,1,39,1,39,1
Southern Coastal Plain,0,231,81,150,0.0261015670995671,0.01,0.1008,0.011274044155844156,0.01,0.042839999999999996,0.008022573766233766,0.01,0.01,155,155,2,9,17,0,74,1,75,1
Mississippi Alluvial Plain,0,178,28,150,0.009251528089887641,0.01,0.01,0.008909132584269662,0.01,0.01,0.00874778382022472,0.01,0.01,150,150,14,0,14,0,28,0,28,0
Mojave/Chihuahuan Basin and Range,1,300,150,150,0.008855238666666666,0.01,0.01,0.006697054,0.01,0.01,0.005968560733333334,0.01,0.01,164,164,89,3,112,0,57,78,58,78
