"ARARN"|"Artemisia arbuscula var. nova"|"black sagebrush"|||"2965035"|"14209949"
"AGSP"|"Agropyron spicatum"|"bluebunch wheatgrass"|||"2965035"|"14058155"
"PIMO"|"Pinus monophylla"|"singleleaf pinyon"|||"2965035"|"14058156"
"STTH2"|"Stipa thurberiana"|"Thurber needlegrass"|||"2965035"|"13754569"
"JUOS"|"Juniperus osteosperma"|"Utah juniper"|||"2965035"|"13754568"
"UNKNOWN"|"unknown scientific name"|"bluegrass"|||"2965035"|"14209950"
"ORHY"|"Oryzopsis hymenoides"|"Indian ricegrass"|||"2965035"|"13906362"
"SYMPH"|"Symphoricarpos"|"snowberry"|||"2965036"|"14209962"
"CRAC2"|"Crepis acuminata"|"tapertip hawksbeard"|||"2965036"|"13754579"
"UNKNOWN"|"unknown scientific name"|"bluegrass"|||"2965036"|"13754580"
"UNKNOWN"|"unknown scientific name"|"other perennial grasses"|||"2965036"|"13906374"
"FEID"|"Festuca idahoensis"|"Idaho fescue"|||"2965036"|"13906373"
"JUOS"|"Juniperus osteosperma"|"Utah juniper"|||"2965036"|"14058167"
"ARVA2"|"Artemisia vaseyana"|"mountain big sagebrush"|||"2965036"|"14058166"
"PUTR2"|"Purshia tridentata"|"antelope bitterbrush"|||"2965036"|"14058168"
"ARAR8"|"Artemisia arbuscula"|"low sagebrush"|||"2965036"|"13906372"
"PHLOX"|"Phlox"|"phlox"|||"2965036"|"14209961"
"AGSP"|"Agropyron spicatum"|"bluebunch wheatgrass"|||"2965036"|"13754578"
"BASA3"|"Balsamorhiza sagittata"|"arrowleaf balsamroot"|||"2965036"|"14209960"
"JUNCU"|"Juncus"|"rush"||5|"2965042"|"13906408"
"CAREX"|"Carex"|"sedge"||20|"2965042"|"14209995"
"AGROP2"|"Agropyron"|"wheatgrass"||10|"2965042"|"14058201"
"SALIX"|"Salix"|"willow"||5|"2965042"|"14058203"
"TRIFO"|"Trifolium"|"clover"||5|"2965042"|"14209997"
"TRISE"|"Trisetum"|"trisetum"||5|"2965042"|"13754616"
"UNKNOWN"|"unknown scientific name"|"other perennial grasses"||5|"2965042"|"13906409"
"UNKNOWN"|"unknown scientific name"|"tufted hairgrass"||20|"2965042"|"13754614"
"UNKNOWN"|"unknown scientific name"|"bluegrass"||10|"2965042"|"14058202"
"UNKNOWN"|"unknown scientific name"|"other perennial forbs"||5|"2965042"|"13754615"
"POTEN"|"Potentilla"|"cinquefoil"||5|"2965042"|"14209996"
"AGAL3"|"Agrostis alba"|"redtop"||5|"2965042"|"13906407"
"UNKNOWN"|"unknown scientific name"|"other perennial forbs"|||"2965044"|"14058215"
"UNKNOWN"|"unknown scientific name"|"other perennial grasses"|||"2965044"|"14210009"
"UNKNOWN"|"unknown scientific name"|"mountain brome"|||"2965044"|"14058214"
"UNKNOWN"|"unknown scientific name"|"other shrubs"|||"2965044"|"13754628"
"FEID"|"Festuca idahoensis"|"Idaho fescue"|||"2965044"|"14210008"
"SYOC"|"Symphoricarpos occidentalis"|"western snowberry"|||"2965044"|"13906422"
"AMAL2"|"Amelanchier alnifolia"|"Saskatoon serviceberry"|||"2965044"|"14210007"
"BASA3"|"Balsamorhiza sagittata"|"arrowleaf balsamroot"|||"2965044"|"13906420"
"ARTR2"|"Artemisia tridentata"|"big sagebrush"|||"2965044"|"13754626"
"AGSP"|"Agropyron spicatum"|"bluebunch wheatgrass"|||"2965044"|"13906419"
"PONE3"|"Poa nevadensis"|"Nevada bluegrass"|||"2965044"|"13906421"
