ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
CurCond4.1.3b.6_Watershed_1,CurCond4.1.3b.6,Watershed_1,262.83,2411256.0,917.4203858007077,651273.0,247.79248944184454,24.9,94.7380436023285,4.9,18.643229463912036,6.9,26.25271087775368,0.23,9.4,0.035764562645055745,0.18930000000000002,1.3061700000000003,4.969638169158773
CurCond4.1.3b.6_Watershed_2,CurCond4.1.3b.6,Watershed_2,110.68,1032881.0,933.2137694253704,220956.0,199.63498373689916,20.5,185.2186483556198,1.7,15.359595229490422,13.1,118.35923382724972,0.591,11.8,0.10661366100469823,0.16860000000000003,2.2086600000000005,19.955366823274307
CurCond4.1.3b.6_Watershed_3,CurCond4.1.3b.6,Watershed_3,188.22,1790664.0,951.3675486133249,412591.0,219.2067793008182,21.0,111.57156518967166,4.0,21.251726702794603,8.5,45.15991924343853,0.339,9.1,0.04834767824885772,0.1804,1.5334,8.146849431516312
CurCond4.1.3b.6_Watershed_4,CurCond4.1.3b.6,Watershed_4,1345.08,13708196.0,1019.1361108632943,4267264.0,317.2498290064531,522.2,388.22969637493685,31.5,23.41868141671871,44.5,33.08353406488833,0.08,92.5,0.06876914384274542,0.188,8.366,6.219704404199007
CurCond4.1.3b.6_Watershed_5,CurCond4.1.3b.6,Watershed_5,268.63,2753813.0,1025.132338160295,822289.0,306.1046792986636,309.3,1151.3978334512155,5.8,21.591035997468637,8.9,33.13107247887429,0.028,11.7,0.04355433123627294,0.1807,1.60823,5.986784796932584
CurCond4.1.3b.6_Watershed_6,CurCond4.1.3b.6,Watershed_6,122.51,1216674.0,993.1221941066035,358210.0,292.39245775855034,29.3,239.1641498653171,2.2,17.957717737327563,3.4,27.7528365031426,0.11,4.9,0.039996734960411395,0.1832,0.62288,5.084319647375724
CurCond4.1.3b.6_Watershed_7_Ward,CurCond4.1.3b.6,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,13871898.0,599.4174304196213,14050.7,6071.436287663715,65.0,28.087095923914216,203.8,88.06384845067258,0.014,238.3,0.10297161474875013,0.2178,44.387640000000005,19.18030619255649
CurCond4.1.3b.6_Watershed_8,CurCond4.1.3b.6,Watershed_8,160.26,1925546.0,1201.513790091102,733445.0,457.6594284288032,452.5,2823.536752776738,4.3,26.831398976662925,9.9,61.77461624859603,0.022,11.7,0.07300636465743167,0.2174,2.15226,13.429801572444779
CurCond4.1.3b.6_Watershed_9_Blackwood,CurCond4.1.3b.6,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,20266233.0,758.7308831292329,35204.0,13179.736959345879,93.4,34.96726031141078,116.4,43.5780417585462,0.003,190.5,0.07131973329040421,0.2619,30.485160000000004,11.41308913656325
CurCond4.1.3b.6_Watershed_10,CurCond4.1.3b.6,Watershed_10,1309.41,15380623.0,1174.6223871820132,6582977.0,502.7437548208735,2841.5,2170.0613253297283,35.6,27.18781741394979,111.4,85.07648482904514,0.039,187.8,0.14342337388594864,0.23620000000000002,26.312680000000004,20.095065716620464
CurCond4.1.3b.6_Watershed_11_General,CurCond4.1.3b.6,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,9830347.0,540.2180029675221,3231.2,1775.677309446612,54.7,30.059899983513766,69.6,38.24806286750563,0.021,106.9,0.058745947134142995,0.3416,23.77536,13.065538275539923
CurCond4.1.3b.6_Watershed_12_Meeks,CurCond4.1.3b.6,Watershed_12_Meeks,1981.45,23568024.0,1189.4331928638119,9646382.0,486.83448989376467,4776.4,2410.5579247520755,46.9,23.669534936536376,80.4,40.57634560549093,0.017,25746.3,12.993666254510584,0.1996,16.04784,8.09903858285599
CurCond4.1.3b.6_Watershed_13,CurCond4.1.3b.6,Watershed_13,211.44,2173747.0,1028.0680098373061,768114.0,363.27752553916,97.5,461.1237230419977,3.4,16.080211880438895,3.9,18.44494892167991,0.038,9.8,0.046348846008323875,0.18730000000000002,0.7304700000000001,3.4547389330306473
CurCond4.1.3b.6_Watershed_14,CurCond4.1.3b.6,Watershed_14,246.15,2690698.0,1093.1131423928498,1247775.0,506.91651432053624,235.9,958.358724355068,5.2,21.125330083282552,6.7,27.219175299614054,0.028,14.3,0.05809465772902702,0.1628,1.09076,4.431281738777169
CurCond4.1.3b.6_Watershed_15,CurCond4.1.3b.6,Watershed_15,149.32,1489562.0,997.5636217519422,690831.0,462.6513527993571,112.8,755.4245914813823,2.3,15.403160996517547,3.4,22.76989016876507,0.029,6.7,0.04487007768550764,0.20750000000000002,0.7055,4.724752210018752
CurCond4.1.3b.6_Watershed_16,CurCond4.1.3b.6,Watershed_16,295.18,2955582.0,1001.2812521173521,1435707.0,486.38356257198996,334.0,1131.5129751338166,7.1,24.053120130090115,12.6,42.685818822413445,0.037,18.3,0.06199607019445762,0.1632,2.05632,6.966325631817873
CurCond4.1.3b.6_Watershed_17,CurCond4.1.3b.6,Watershed_17,386.9,3754816.0,970.487464461101,1697914.0,438.8508658568106,526.2,1360.0413543551306,7.9,20.418712845696565,13.6,35.15120186094598,0.026,20.4,0.05272680279141897,0.1554,2.11344,5.462496769191006
CurCond4.1.3b.6_Watershed_18,CurCond4.1.3b.6,Watershed_18,1647.08,20362331.0,1236.2684872623067,10365970.0,629.3543725866382,8109.4,4923.500983558783,36.3,22.039002355683998,111.6,67.75627170507808,0.014,5704516.3,3463.411795419773,0.2269,25.322039999999998,15.373898049882214
CurCond4.1.3b.6_Watershed_19,CurCond4.1.3b.6,Watershed_19,845.73,10312303.0,1219.3374954181595,5593341.0,661.3624915753254,2531.6,2993.3903255176,19.0,22.465798777387583,71.8,84.89707116928571,0.028,108.3,0.1280550530311092,0.26639999999999997,19.127519999999997,22.616579759497707
CurCond4.1.3b.6_Watershed_20,CurCond4.1.3b.6,Watershed_20,877.52,8733199.0,995.2136703436959,3689942.0,420.4966268575075,2100.7,2393.9055520102106,18.8,21.424013127905916,33.9,38.63159814021333,0.016,48.5,0.055269395569331754,0.2069,7.01391,7.992877655210138
SimFire4.2.2b.6_Watershed_1,SimFire4.2.2b.6,Watershed_1,262.83,2411256.0,917.4203858007077,1185785.0,451.16044591561086,248.8,946.6194878819009,6.2,23.589392382909107,209.8,798.2346003119887,0.823,174.6,0.6643077274283757,0.219,45.946200000000005,174.81337746832557
SimFire4.2.2b.6_Watershed_2,SimFire4.2.2b.6,Watershed_2,110.68,1032881.0,933.2137694253704,474102.0,428.3538127936393,69.4,627.0328876039031,2.6,23.491145645103,73.0,659.5590892663535,1.014,60.9,0.550234911456451,0.2207,16.1111,145.5646910010842
SimFire4.2.2b.6_Watershed_3,SimFire4.2.2b.6,Watershed_3,188.22,1790664.0,951.3675486133249,847960.0,450.5153543725428,120.4,639.6769737541175,5.2,27.627244713632983,127.6,677.9300818191479,1.015,109.2,0.5801721389862926,0.20700000000000002,26.4132,140.3315269365636
SimFire4.2.2b.6_Watershed_4,SimFire4.2.2b.6,Watershed_4,1345.08,13708196.0,1019.1361108632943,7006129.0,520.8708032236001,2120.3,1576.337466916466,165.3,122.89231867249532,1515.4,1126.6244386950962,0.663,1252.1,0.930874000059476,0.2482,376.12228000000005,279.6281856841229
SimFire4.2.2b.6_Watershed_5,SimFire4.2.2b.6,Watershed_5,268.63,2753813.0,1025.132338160295,1495321.0,556.6470610132897,916.4,3411.3836876000446,7.6,28.29170234151063,836.9,3115.43759073819,0.906,677.4,2.5216841008078026,0.1673,140.01337,521.2127089304992
SimFire4.2.2b.6_Watershed_6,SimFire4.2.2b.6,Watershed_6,122.51,1216674.0,993.1221941066035,690573.0,563.6870459554322,293.3,2394.090278344625,3.0,24.487796914537586,279.8,2283.895192229206,0.944,227.8,1.8594400457105542,0.2062,57.69476,470.93918863766226
SimFire4.2.2b.6_Watershed_7_Ward,SimFire4.2.2b.6,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,16965126.0,733.0786481896787,26266.0,11349.779408269706,23168.9,10011.494103870402,6524.2,2819.166634258479,0.132,5301.9,2.2909995981384736,0.5819,3796.43198,1640.4730644750089
SimFire4.2.2b.6_Watershed_8,SimFire4.2.2b.6,Watershed_8,160.26,1925546.0,1201.513790091102,977792.0,610.1285411206788,1243.5,7759.26619243729,4.3,26.831398976662925,1162.1,7251.341569948833,0.931,934.4,5.830525396231125,0.2493,289.71153,1807.759453388244
SimFire4.2.2b.6_Watershed_9_Blackwood,SimFire4.2.2b.6,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,23029191.0,862.1710026319041,70274.0,26309.306757217142,80633.8,30187.827350088166,4433.0,1659.6345284848394,0.029,3655.1,1.3684029246706375,0.6335,2808.3055,1051.3784737951457
SimFire4.2.2b.6_Watershed_10,SimFire4.2.2b.6,Watershed_10,1309.41,15380623.0,1174.6223871820132,8716281.0,665.6647650468532,6785.4,5182.028547208284,612.0,467.38607464430544,2009.2,1534.4315378682002,0.272,1672.0,1.276910975172024,0.4682,940.70744,718.4208460298913
SimFire4.2.2b.6_Watershed_11_General,SimFire4.2.2b.6,Watershed_11_General,1819.7,22100076.0,1214.4900807825466,13145280.0,722.3872066824201,9302.1,5111.886574710117,3190.1,1753.0911688739902,522.2,286.97037973292305,0.042,487.4,0.2678463482991702,0.5391,281.51802000000004,154.7057317140188
SimFire4.2.2b.6_Watershed_12_Meeks,SimFire4.2.2b.6,Watershed_12_Meeks,1981.45,23568024.0,1189.4331928638119,12481545.0,629.9197557344369,8184.4,4130.510484746019,2041.0,1030.0537485174998,368.2,185.82351308385273,0.036,8211.6,4.144237805647379,0.33920000000000006,124.89344000000001,63.031335638042854
SimFire4.2.2b.6_Watershed_13,SimFire4.2.2b.6,Watershed_13,211.44,2173747.0,1028.0680098373061,1342359.0,634.8652099886492,522.7,2472.0961029133564,3.1,14.661369655694287,330.1,1561.1993946273174,0.628,271.7,1.284998108210367,0.14700000000000002,48.52470000000001,229.49631101021572
SimFire4.2.2b.6_Watershed_14,SimFire4.2.2b.6,Watershed_14,246.15,2690698.0,1093.1131423928498,1643873.0,667.833841153768,470.7,1912.2486288848263,5.0,20.312817387771684,418.3,1699.370302660979,0.879,344.0,1.3975218362786919,0.0784,32.79472,133.23063172862075
SimFire4.2.2b.6_Watershed_15,SimFire4.2.2b.6,Watershed_15,149.32,1489562.0,997.5636217519422,867649.0,581.0668363246718,265.1,1775.381730511653,2.3,15.403160996517547,246.1,1648.1382266273774,0.92,202.1,1.3534690597374766,0.1135,27.93235,187.06368872220733
SimFire4.2.2b.6_Watershed_16,SimFire4.2.2b.6,Watershed_16,295.18,2955582.0,1001.2812521173521,1687781.0,571.7802696659666,557.7,1889.3556474015854,7.2,24.391896469950538,218.3,739.5487499153058,0.386,184.4,0.6247035707026222,0.0759,16.56897,56.13175011857172
SimFire4.2.2b.6_Watershed_17,SimFire4.2.2b.6,Watershed_17,386.9,3754816.0,970.487464461101,2055935.0,531.3866632204704,890.3,2301.111398294133,7.9,20.418712845696565,172.3,445.33471181183774,0.192,150.6,0.38924786766606356,0.10110000000000001,17.41953,45.0233393641768
SimFire4.2.2b.6_Watershed_18,SimFire4.2.2b.6,Watershed_18,1647.08,20362331.0,1236.2684872623067,10801022.0,655.7679044126576,10953.9,6650.4966364718175,64.6,39.220924302401826,404.8,245.76826869368824,0.037,24165751.8,14671.874954464873,0.1936,78.36928,47.58073681909804
SimFire4.2.2b.6_Watershed_19,SimFire4.2.2b.6,Watershed_19,845.73,10312303.0,1219.3374954181595,5628555.0,665.5262317760987,4054.4,4793.964977002116,18.9,22.347557731190804,325.0,384.2834001395244,0.08,309.7,0.36619252007141756,0.1573,51.122499999999995,60.44777884194718
SimFire4.2.2b.6_Watershed_20,SimFire4.2.2b.6,Watershed_20,877.52,8733199.0,995.2136703436959,4859084.0,553.7291457744553,4080.1,4649.580636338773,376.9,429.5058802078585,895.5,1020.489561491476,0.201,743.8,0.8476160087519372,0.3315,296.85825,338.2922896344243
