ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
lt_Watershed_8_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_8,160.26,1925540.0,1201.5100461749657,1180630.0,736.6966179957569,35.4,220.89105204043432,19.9,124.17321851990516,55.9,348.808186696618,1.011,67.2,0.41931860726319736,0.21580000000000002,12.063220000000001,75.27280668913018
lt_Watershed_1_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_1,262.83,2411256.0,917.4203858007077,1256953.0,478.23802457862496,65.7,249.9714644446981,10.1,38.427881139900315,66.1,251.49336072746644,0.873,78.4,0.2982916714225926,0.2239,14.799789999999998,56.309363466879724
lt_Watershed_2_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_2,110.68,1032881.0,933.2137694253704,517715.0,467.7584026020961,10.5,94.86808818214672,2.2,19.877123238164074,12.7,114.7452114203108,0.997,16.2,0.14636790748102638,0.1718,2.18186,19.713227322009395
lt_Watershed_3_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_3,188.22,1790657.0,951.3638295611519,925344.0,491.62894485176923,8.6,45.691212411008394,11.5,61.09871427053448,20.1,106.78992668154288,1.002,26.1,0.1386675167357348,0.2103,4.22703,22.457921581128467
lt_Watershed_4_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_4,1345.08,13708196.0,1019.1361108632943,7426894.0,552.1525857198085,358.8,266.74993308948166,111.1,82.59731763166504,423.2,314.6281262081066,0.901,499.3,0.37120468671008416,0.2113,89.42215999999999,66.48092306777292
lt_Watershed_5_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_5,268.63,2753813.0,1025.132338160295,1599934.0,595.5902170271377,92.9,345.82883520083385,21.3,79.29121840449689,113.7,423.25875739865245,0.995,131.9,0.4910099393217437,0.1644,18.69228,69.58373971633846
lt_Watershed_6_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_6,122.51,1216669.0,993.1181128071178,729592.0,595.536690882377,43.2,352.62427556934125,3.3,26.93657660599135,48.9,399.1510897069627,1.051,57.0,0.4652681413762142,0.15689999999999998,7.672409999999999,62.626805975022435
lt_Watershed_7_Ward_10336676_SimFire.202007.kikrcs.chn_cs70_fccsFuels_obs_cli,10336676SimFire.202007.kikrcs.chncs70fccsFuelsobscli,lt_Watershed_7_Ward,2310.98,30741761.0,1330.2478169434612,19554764.0,846.1675998926862,3256.3,1409.0558983634648,80.4,34.790435226613816,2035.3,880.7086171234714,0.61,2552.0,1.104293416645752,0.27649999999999997,562.7604499999999,243.51593263463977
lt_Watershed_9_Blackwood_10336660_SimFire.202007.kikrcs.chn_cs10_fccsFuels_obs_cli,10336660SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_9_Blackwood,2668.96,37545736.0,1406.755290450213,25611260.0,959.5969965829387,7485.6,2804.687968347221,6573.1,2462.79449673281,3537.2,1325.3102331994485,0.252,3651.6,1.368173370901025,0.3127,1106.08244,414.4245099214675
lt_Watershed_10_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_10,1309.41,15380522.0,1174.6146737843762,9876248.0,754.2517622440641,694.7,530.5442909401944,175.5,134.0298302288817,639.3,488.2351593465759,0.735,749.7,0.5725479414392741,0.1799,115.01007,87.833505166449
lt_Watershed_11_General_10336645_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,10336645SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_11_General,1821.08,22123514.0,1214.8567882794825,13859730.0,761.0720012300393,1786.1,980.791618160652,215.9,118.55602170140796,387.2,212.6210819952995,0.193,474.6,0.26061458035890794,0.3617,140.05024,76.90504535769982
lt_Watershed_12_Meeks_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_12_Meeks,1981.45,23568024.0,1189.4331928638119,14464440.0,729.9926821267254,1301.8,656.993615786419,253.7,128.03754826011254,257.5,129.95533573897902,0.166,348.6,0.1759317671402256,0.3386,87.18950000000001,44.002876681218304
lt_Watershed_13_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_13,211.44,2173739.0,1028.0642262580402,1381213.0,653.241108588725,280.6,1327.090427544457,15.1,71.41505864547862,265.8,1257.094211123723,0.899,299.2,1.4150586454786227,0.11230000000000001,29.849340000000005,141.17167990919413
lt_Watershed_14_SimFire.202007.kikrcs.chn_cs30_fccsFuels_obs_cli,SimFire.202007.kikrcs.fccsFuelsobscli,lt_Watershed_14,246.15,2690698.0,1093.1131423928498,1684096.0,684.1746902295348,78.9,320.5362583790372,45.4,184.4403818809669,124.9,507.41417834653663,1.005,145.5,0.591102985984156,0.1164,14.53836,59.06301035953687
