ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
CurCond4.1.3b_Watershed_20,CurCond4.1.3b,Watershed_20,877.52,8733199.0,995.2136703436959,4040314.0,460.42414987692587,2415.3,2752.415899352721,48.0,54.699607986142766,560.4,638.6179232382168,0.227,476.8,0.5433494393290181,0.3307,185.32428,211.1909472148783
SimFire4.2.2b_Watershed_9_Blackwood,SimFire4.2.2b,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,22142071.0,828.9588442085008,160935.5,60251.32250371574,19286589.6,7220548.16983456,1676783.8,627757.3406911837,0.086,1341533.5,502.2457292395931,0.8272,1387035.55936,519280.87221974717
SimFire4.2.2b_Watershed_1,SimFire4.2.2b,Watershed_1,262.83,2411256.0,917.4203858007077,1104074.0,420.0715291252901,93.6,356.12373016778906,6.3,23.96986645360119,41.4,157.51626526652208,0.415,39.3,0.14952630978198836,0.23720000000000002,9.82008,37.36285812121904
SimFire4.2.2b_Watershed_2,SimFire4.2.2b,Watershed_2,110.68,1032881.0,933.2137694253704,444573.0,401.67419588001445,5.2,46.982291290206,2.5,22.587640043368268,7.7,69.56993133357426,1.002,8.4,0.07589447054571738,0.1704,1.31208,11.854716299241053
SimFire4.2.2b_Watershed_3,SimFire4.2.2b,Watershed_3,188.22,1790664.0,951.3675486133249,770124.0,409.1616193815748,0.4,2.1251726702794604,5.8,30.81500371905217,6.1,32.40888322176177,0.991,10.0,0.053129316756986504,0.19779999999999998,1.2065799999999998,6.410477101264476
SimFire4.2.2b_Watershed_4,SimFire4.2.2b,Watershed_4,1345.08,13708196.0,1019.1361108632943,6501001.0,483.3170517738722,816.6,607.1014363457936,82.2,61.11160674458025,543.7,404.213875754602,0.605,471.4,0.35046242602670474,0.2992,162.67504000000002,120.94079162577694
SimFire4.2.2b_Watershed_5,SimFire4.2.2b,Watershed_5,268.63,2753813.0,1025.132338160295,1383964.0,515.1933886758738,46.0,171.23925101440645,7.3,27.17492461750363,31.7,118.00617950340617,0.594,33.0,0.12284554964076984,0.27170000000000005,8.612890000000002,32.062278971075465
SimFire4.2.2b_Watershed_6,SimFire4.2.2b,Watershed_6,122.51,1216674.0,993.1221941066035,635466.0,518.7054118031181,27.1,221.20643212798953,3.0,24.487796914537586,23.8,194.2698555219982,0.791,29.1,0.2375316300710146,0.2209,5.257420000000001,42.91421108480941
SimFire4.2.2b_Watershed_7_Ward,SimFire4.2.2b,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,16111697.0,696.2011986708322,41675.3,18008.279211660032,22668.6,9795.309887089874,7298.5,3153.748763087506,0.113,5918.0,2.5572220565803745,0.6358,4640.3863,2005.1534635710366
SimFire4.2.2b_Watershed_8,SimFire4.2.2b,Watershed_8,160.26,1925546.0,1201.513790091102,948597.0,591.9112691875702,50.1,312.61699737925875,4.5,28.079371022089106,41.4,258.3302134032198,0.758,37.7,0.23524273056283543,0.3064,12.68496,79.15237738674655
