ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
lt_Watershed_20_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_20,0.032,0.174,0.146,0.29,0.358,0.092,0.319,0.589,0.039,0.021120361098145902,0.14808392398870743,0.11195108696664434,0.2811262261857816,0.4377184017607209,0.07257353684050025,0.2656504591287111,0.6617760040307888,0.03094353423790541,1053.4,1673.8048550532365,41.67,1.3
lt_Watershed_1_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_1,0.088,0.023,0.039,0.69,0.16,0.164,0.126,0.71,0.07,0.10197376040139951,0.00012395579735546147,0.02178631394003124,0.7783840346322825,0.09773193522893113,0.18363069207134208,0.0982652970977975,0.7181040108308603,0.07839964092135907,258.9,215.16938521514834,71.94,2.25
lt_Watershed_2_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_2,0.057,0.034,0.111,0.578,0.22,0.137,0.182,0.681,0.059,0.06940618063604762,0.00010060731931362561,0.10600998602654922,0.6869261460065551,0.13755708001153436,0.15977997614229844,0.1551828054789427,0.6850372183787587,0.06816704836752917,42.2,31.473859456817287,60.58,1.89
lt_Watershed_3_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_3,0.052,0.065,0.068,0.542,0.273,0.12,0.175,0.705,0.052,0.08280635856380053,0.0004408025655630548,0.016856319585902408,0.7986925981097776,0.10120392117495641,0.16543360920929392,0.09680446892225693,0.7377619218684492,0.07058608570721231,80.1,42.16014441583379,53.37,1.67
lt_Watershed_10_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_10,0.028,0.12,0.108,0.28,0.464,0.078,0.235,0.687,0.033,0.019370100328692196,0.08487024447374598,0.06834569196061893,0.25351002399697964,0.5739039392399629,0.05888853370808378,0.16516003792636022,0.7759514283655556,0.025108306325337802,704.7,797.1721762554585,35.38,1.11
lt_Watershed_5_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_5,0.073,0.018,0.045,0.708,0.156,0.153,0.127,0.721,0.065,0.08098462610420873,0.00010342729176248537,0.03375563088346139,0.7745922425218357,0.1105640731987315,0.1647916962302808,0.10729421328108445,0.7279140904886345,0.07031328556413416,419.4,364.93413787697915,66.92,2.09
lt_Watershed_4_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_4,0.076,0.025,0.064,0.65,0.185,0.154,0.144,0.703,0.066,0.07733058701981142,0.0002966652640680344,0.04616520971603476,0.7528122952482436,0.1233952427518423,0.16159986349947086,0.11501349443583679,0.7233866420646925,0.06894780710636846,1616.6,1514.7667645295971,67.57,2.11
lt_Watershed_6_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_6,0.072,0.013,0.038,0.723,0.153,0.152,0.119,0.73,0.065,0.07782962281657599,0.00010056059235446489,0.02873780997207167,0.773389950069909,0.11994205654908896,0.1604589057776041,0.10320724746758955,0.7363338467548064,0.06845768898873372,169.6,140.74034421878585,66.52,2.08
lt_Watershed_8_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_8,0.027,0.102,0.129,0.339,0.404,0.087,0.239,0.674,0.037,0.05076966609585299,0.0037217921264532184,0.13713158015330432,0.5812989695992334,0.22707799202515666,0.1372530274985243,0.17237370170573063,0.6903732707957457,0.05853658569208613,55.3,14.00651891951179,39.41,1.23
lt_Watershed_7_Ward_SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,SimFire.2020.ki5krcs.chn_12_fccsFuels_obs_cli,lt_Watershed_7_Ward,0.133,0.162,0.244,0.26,0.202,0.21,0.381,0.409,0.09,0.042790028585441515,0.10994798957414073,0.14621823596496691,0.3843699294480172,0.3166738164274337,0.11169469938940324,0.2652886504130934,0.6230166501975034,0.047660100536818156,11884.0,15475.318124031093,92.06,2.88
