ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
CurCond4.1.3b.6_Watershed_1,CurCond4.1.3b.6,Watershed_1,0.019,0.131,0.131,0.264,0.455,0.073,0.262,0.666,0.031,0.020920030381200563,0.1155950383223615,0.14479906698992978,0.28574009451164467,0.4329457697948633,0.07976090287272858,0.2595584720066272,0.6606806251206441,0.0340076930321178,6.9,1.9261847609620095,33.17,1.04
CurCond4.1.3b.6_Watershed_2,CurCond4.1.3b.6,Watershed_2,0.037,0.074,0.192,0.406,0.291,0.118,0.268,0.614,0.05,0.039252879872013396,0.06414519312457397,0.19845607232654328,0.42182023949274866,0.27632561518412047,0.12288731484269615,0.2645963390974625,0.6125163460598412,0.052416982033178086,13.1,10.917123387697128,52.64,1.65
CurCond4.1.3b.6_Watershed_3,CurCond4.1.3b.6,Watershed_3,0.02,0.119,0.138,0.275,0.448,0.076,0.256,0.668,0.033,0.021326261916115707,0.10447426538248171,0.1475504497216238,0.29235070485047343,0.4342983181293055,0.0814021265875752,0.2512960435172921,0.6673018298951329,0.03470723644067966,8.5,4.385989910296318,34.63,1.08
CurCond4.1.3b.6_Watershed_4,CurCond4.1.3b.6,Watershed_4,0.022,0.124,0.14,0.278,0.437,0.079,0.263,0.658,0.034,0.02941155489902783,0.09701480111245585,0.1709689243431097,0.32603896452191156,0.37656575512349505,0.09776385542309322,0.26581733472944824,0.6364188098474586,0.0416983967524831,44.5,12.960133356233214,35.92,1.12
CurCond4.1.3b.6_Watershed_5,CurCond4.1.3b.6,Watershed_5,0.02,0.119,0.139,0.277,0.444,0.077,0.258,0.665,0.033,0.023890005234211663,0.08892996561422221,0.1624628709881185,0.3167730714984699,0.4079440866649777,0.0895302050910532,0.2500575702596886,0.6604122246492583,0.038174939637343204,8.9,2.668299259897417,34.98,1.09
CurCond4.1.3b.6_Watershed_6,CurCond4.1.3b.6,Watershed_6,0.019,0.124,0.134,0.269,0.453,0.074,0.258,0.668,0.032,0.02133494171368341,0.10396158919929986,0.1477033575590538,0.2927563339990325,0.4342437775289304,0.08148322722454798,0.25094619704929266,0.6675705757261593,0.03474175820344439,3.4,1.2216553267945731,33.82,1.06
CurCond4.1.3b.6_Watershed_7_Ward,CurCond4.1.3b.6,Watershed_7_Ward,0.018,0.165,0.116,0.234,0.467,0.066,0.281,0.653,0.028,0.017612355889392077,0.1739593422011985,0.11202319305982238,0.2261125838861058,0.4702925249634813,0.06363439542973907,0.28586135024955334,0.6505042543207076,0.02713451657514966,203.8,159.30840099873436,30.26,0.95
CurCond4.1.3b.6_Watershed_8,CurCond4.1.3b.6,Watershed_8,0.016,0.169,0.108,0.219,0.488,0.06,0.277,0.663,0.026,0.013660246822283553,0.19416148729772265,0.09457090696421937,0.19243209430546687,0.5051752646103076,0.052665485527975064,0.2887908707002603,0.6585436437717647,0.022453775474368998,9.9,5.052740393776601,27.72,0.87
CurCond4.1.3b.6_Watershed_9_Blackwood,CurCond4.1.3b.6,Watershed_9_Blackwood,0.032,0.175,0.183,0.266,0.343,0.097,0.347,0.556,0.042,0.024389697067241454,0.12759495317198138,0.1510169425972066,0.3076512468443806,0.38934716031919003,0.08671174539284573,0.278743050552993,0.6345452040541614,0.03697605724305916,116.4,97.76664004525348,44.12,1.38
CurCond4.1.3b.6_Watershed_10,CurCond4.1.3b.6,Watershed_10,0.034,0.153,0.164,0.2,0.45,0.088,0.303,0.609,0.038,0.01590038021405634,0.06835238679970974,0.0856713836485858,0.24830106573967586,0.5817747835979722,0.05855884767213586,0.16177041933537023,0.7796707329924939,0.024960332401269276,111.4,173.39540049142022,40.04,1.25
