ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
CurCond4.1.3b.6f_Watershed_1,CurCond4.1.3b.6f,Watershed_1,262.83,2411256.0,917.4203858007077,629551.0,239.52783167827113,22.2,84.46524369364228,4.9,18.643229463912036,6.4,24.35034052429327,0.235,8.9,0.03386219229159533,0.18930000000000002,1.2115200000000002,4.609519461248717
CurCond4.1.3b.6f_Watershed_2,CurCond4.1.3b.6f,Watershed_2,110.68,1032881.0,933.2137694253704,216706.0,195.79508492952655,20.6,186.12215395735453,1.7,15.359595229490422,13.4,121.06975063245392,0.601,11.9,0.10751716660643296,0.1689,2.26326,20.448680881821463
CurCond4.1.3b.6f_Watershed_3,CurCond4.1.3b.6f,Watershed_3,188.22,1790664.0,951.3675486133249,404346.0,214.82626713420464,20.1,106.78992668154288,4.0,21.251726702794603,8.2,43.56603974072893,0.34,8.8,0.04675379874614813,0.1811,1.48502,7.88980979704601
CurCond4.1.3b.6f_Watershed_4,CurCond4.1.3b.6f,Watershed_4,1345.08,13708196.0,1019.1361108632943,4201046.0,312.32685044755704,519.0,385.8506557230797,30.9,22.972611294495497,44.1,32.786153983406194,0.08,59.9,0.044532667201950815,0.187,8.2467,6.131010794896959
CurCond4.1.3b.6f_Watershed_5,CurCond4.1.3b.6f,Watershed_5,268.63,2753813.0,1025.132338160295,813826.0,302.9542493392398,305.2,1136.1352045564531,5.8,21.591035997468637,8.8,32.758813237538625,0.028,11.5,0.04280981275360161,0.1807,1.59016,5.91951755202323
CurCond4.1.3b.6f_Watershed_6,CurCond4.1.3b.6f,Watershed_6,122.51,1216674.0,993.1221941066035,354364.0,289.2531221941066,27.8,226.9202514080483,2.2,17.957717737327563,3.4,27.7528365031426,0.113,4.8,0.03918047506326014,0.1832,0.62288,5.084319647375724
CurCond4.1.3b.6f_Watershed_7_Ward,CurCond4.1.3b.6f,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,13850850.0,598.507927042688,14022.1,6059.077965457193,65.3,28.216728674332284,205.2,88.66880128595689,0.015,282.5,0.12207083997701179,0.2188,44.89776,19.400733721367363
CurCond4.1.3b.6f_Watershed_8,CurCond4.1.3b.6f,Watershed_8,160.26,1925546.0,1201.513790091102,731915.0,456.70472981405214,447.3,2791.0894795956574,4.4,27.455384999376015,9.7,60.52664420316985,0.021,11.6,0.07238237863471858,0.2164,2.09908,13.097965805565956
CurCond4.1.3b.6f_Watershed_9_Blackwood,CurCond4.1.3b.6f,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,20269318.0,758.8463799151651,35180.6,13170.976425177923,98.6,36.91404568206748,116.3,43.54060357834126,0.003,190.0,0.07113254238937954,0.267,31.0521,11.625341155417116
CurCond4.1.3b.6f_Watershed_10,CurCond4.1.3b.6f,Watershed_10,1309.41,15380623.0,1174.6223871820132,6517358.0,497.7324138352388,2845.0,2172.734284906943,36.0,27.493298508488554,111.8,85.3819659235839,0.039,144.5,0.11035504540212766,0.2359,26.37362,20.14160576137344
