ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
Thinn96.4.2b.6f_Watershed_13,Thinn96.4.2b.6f,Watershed_13,0.018,0.134,0.121,0.249,0.478,0.068,0.256,0.677,0.029,0.012978697783283132,0.10627048677816207,0.08104355227041687,0.19963653027356165,0.6000707328945765,0.0498429038094237,0.1909760486679714,0.7591810475226051,0.02124651532485557,3.8,0.3929773165845291,31.04,0.97
Thinn96.4.2b.6f_Watershed_14,Thinn96.4.2b.6f,Watershed_14,0.018,0.134,0.123,0.246,0.479,0.068,0.257,0.675,0.029,0.012956191034844137,0.10834186057129784,0.07264273571699781,0.09426453505381693,0.7117946776230432,0.03761599724145855,0.17546049069760605,0.7869235120609352,0.01605516264073825,5.6,0.32473786313187597,31.13,0.97
Thinn96.4.2b.6f_Watershed_15,Thinn96.4.2b.6f,Watershed_15,0.066,0.133,0.243,0.226,0.331,0.14,0.349,0.511,0.06,0.13390476796050274,0.13168512985722713,0.40525744573096745,0.1841053743430546,0.14504728210824777,0.2376405210696993,0.4705802134706381,0.29177926545966226,0.10165074129325102,4.3,1.7219132887028037,62.5,1.95
Thinn96.4.2b.6f_Watershed_16,Thinn96.4.2b.6f,Watershed_16,0.02,0.129,0.121,0.228,0.501,0.068,0.249,0.683,0.029,0.021830342943783984,0.12038741769074171,0.11322119337328872,0.1892090907308581,0.5553519552613275,0.06445171472790286,0.22939668469827576,0.7061516005738214,0.02750190633717535,12.5,5.0185022203541445,31.02,0.97
Thinn96.4.2b.6f_Watershed_17,Thinn96.4.2b.6f,Watershed_17,0.032,0.109,0.11,0.206,0.543,0.076,0.217,0.707,0.033,0.05355191276629142,0.07152992613891894,0.08987279492053979,0.13741522211730745,0.6476301440569422,0.08611917948413876,0.1567307444314248,0.7571500760844362,0.03683376144851451,13.7,5.622415880544994,34.4,1.08
Thinn96.4.2b.6f_Watershed_18,Thinn96.4.2b.6f,Watershed_18,0.115,0.046,0.253,0.263,0.324,0.194,0.273,0.533,0.083,0.04341748108366167,0.0048193954305670505,0.11463255294755512,0.3547937060259475,0.4823368645122687,0.10272952665216462,0.13216302513288658,0.7651074482149489,0.04384436480326061,108.7,494.1033680428219,85.11,2.66
Thinn96.4.2b.6f_Watershed_19,Thinn96.4.2b.6f,Watershed_19,0.061,0.163,0.187,0.239,0.351,0.124,0.335,0.541,0.053,0.02320150039734189,0.07252061117055396,0.0874999670406277,0.2658807864550252,0.5508971349364513,0.06798619130196183,0.1692096869569318,0.7628041217411065,0.02899543373522722,69.0,154.0393505232628,55.42,1.73
Thinn96.4.2b.6f_Watershed_20,Thinn96.4.2b.6f,Watershed_20,0.018,0.133,0.114,0.22,0.514,0.064,0.246,0.69,0.027,0.015802966460849017,0.12073009638345984,0.09007197896095454,0.14575338443353858,0.6276415737611982,0.04923773908053075,0.20695523976474098,0.7438070211547285,0.021007592864398756,29.9,12.810433567262649,29.16,0.91
Thinn85.4.2b.6f_Watershed_1,Thinn85.4.2b.6f,Watershed_1,0.019,0.133,0.129,0.259,0.46,0.071,0.261,0.667,0.031,0.02102087654008781,0.11352550877825185,0.14545180747038888,0.28671846385948707,0.4332833433517846,0.0800963358384291,0.25810570511377534,0.6617979590477958,0.03415079419013113,6.0,0.7945450199054339,32.58,1.02
Thinn85.4.2b.6f_Watershed_2,Thinn85.4.2b.6f,Watershed_2,0.042,0.074,0.2,0.405,0.278,0.124,0.275,0.601,0.053,0.04514366777709006,0.06492648403717881,0.20959502398754945,0.42341109831121565,0.25692372588696594,0.13128591657127334,0.27433171218772173,0.5943823712410048,0.056013451764322146,16.8,12.512658181973027,55.42,1.73
Thinn85.4.2b.6f_Watershed_3,Thinn85.4.2b.6f,Watershed_3,0.019,0.124,0.134,0.27,0.453,0.074,0.258,0.668,0.032,0.02134276625638094,0.10420240276262793,0.14763379670454818,0.29252797026112604,0.4342930640153169,0.08145376641689209,0.25110837726967355,0.6674378563134344,0.03472926317836405,7.7,2.728648816755864,33.91,1.06
Thinn85.4.2b.6f_Watershed_4,Thinn85.4.2b.6f,Watershed_4,0.032,0.131,0.152,0.264,0.422,0.09,0.278,0.632,0.038,0.06772805523960874,0.1156419520494787,0.2199533763117127,0.28867345336714406,0.30800316303205566,0.14271688952472739,0.319207205109603,0.5380759053656695,0.06097542460726634,45.2,11.744960819044497,40.64,1.27
Thinn85.4.2b.6f_Watershed_5,Thinn85.4.2b.6f,Watershed_5,0.019,0.125,0.133,0.268,0.454,0.074,0.259,0.667,0.032,0.021728802862354533,0.10173051836103039,0.14999923808452448,0.2964718097385617,0.43006963095352885,0.08272935126230681,0.2509129854225306,0.6663576633151626,0.03527340386457689,9.4,2.113008447671206,33.69,1.05
Thinn85.4.2b.6f_Watershed_6,Thinn85.4.2b.6f,Watershed_6,0.018,0.134,0.128,0.258,0.462,0.071,0.261,0.668,0.03,0.02131979546173307,0.10419948585774962,0.14759880882268103,0.2925519993182085,0.4343299105396278,0.08142579205582143,0.25108035394793865,0.66749385399624,0.03471726901848954,2.6,0.1650295548694577,32.34,1.01
Thinn85.4.2b.6f_Watershed_7_Ward,Thinn85.4.2b.6f,Watershed_7_Ward,0.03,0.163,0.13,0.224,0.454,0.08,0.288,0.632,0.034,0.016876730640944873,0.1717634450093349,0.11145531673829144,0.2252884832051197,0.474616024406309,0.06269736231003122,0.2831316921691793,0.6541709455207895,0.026733212246026608,324.6,267.8657485737036,36.42,1.14
Thinn85.4.2b.6f_Watershed_8,Thinn85.4.2b.6f,Watershed_8,0.017,0.147,0.12,0.243,0.472,0.067,0.267,0.667,0.029,0.013677095561299977,0.19170803710941706,0.09468746387086352,0.1951579697518905,0.504769433706529,0.05297678944348934,0.286712874957725,0.6603103355987858,0.022585980473754808,5.8,0.9806021835625895,30.56,0.96
Thinn85.4.2b.6f_Watershed_9_Blackwood,Thinn85.4.2b.6f,Watershed_9_Blackwood,0.034,0.165,0.175,0.264,0.362,0.097,0.331,0.572,0.042,0.023613001700533154,0.12705287957063424,0.14424946976527234,0.30089760783286734,0.4041870411306928,0.0838385029964595,0.27215906243005233,0.644002434573488,0.035750129537383664,113.5,63.43599793822082,44.01,1.38
Thinn85.4.2b.6f_Watershed_10,Thinn85.4.2b.6f,Watershed_10,0.028,0.172,0.151,0.223,0.426,0.082,0.315,0.603,0.035,0.01612770102735193,0.10357812200501512,0.09584498934468944,0.24201713982052436,0.5424320478024192,0.06031069062131332,0.2043696011393096,0.7353197082393771,0.02570955265421805,171.5,234.9442679841642,37.35,1.17
Thinn85.4.2b.6f_Watershed_11_General,Thinn85.4.2b.6f,Watershed_11_General,0.056,0.238,0.267,0.241,0.198,0.137,0.474,0.39,0.059,0.01892040192233582,0.10773328191866977,0.10727418481658098,0.28794592452152185,0.4781262068208917,0.07006190144626506,0.2223189898891904,0.7076191086645446,0.029865257888078273,104.2,243.17797134374047,61.45,1.92
Thinn85.4.2b.6f_Watershed_12_Meeks,Thinn85.4.2b.6f,Watershed_12_Meeks,0.04,0.107,0.187,0.295,0.371,0.108,0.285,0.607,0.046,0.02113436800774801,0.015125444775065382,0.0974360403099407,0.29363439760135296,0.5726697493058929,0.07076317787567946,0.12254045793014932,0.8066963641941712,0.03016853220247538,64.2,93.84112587383737,48.73,1.52
Thinn85.4.2b.6f_Watershed_13,Thinn85.4.2b.6f,Watershed_13,0.018,0.133,0.124,0.253,0.472,0.069,0.257,0.674,0.03,0.015348084160813902,0.09161283416340624,0.09198142935257267,0.2286797470678512,0.5723779052553553,0.05739546071392401,0.1879688756176426,0.7546356636684327,0.024467206123570454,3.6,0.2914568351360123,31.56,0.99
